county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Autauga County,10 JONES COMMUNITY CTR,105.0,168.0,109.0,162.0,127.0,,,,,,170.0,98.0,,110.0,118.0,153.0,Autauga County,10 JONES COMMUNITY CTR
Autauga County,100 TRINITY METHODIST,333.0,1436.0,288.0,1470.0,252.0,,,1499.0,,,1494.0,150.0,,916.0,391.0,1375.0,Autauga County,100 TRINITY METHODIST
Autauga County,110 CENTRAL AL ELECTRIC,149.0,106.0,157.0,97.0,166.0,,,,,,107.0,138.0,,59.0,159.0,94.0,Autauga County,110 CENTRAL AL ELECTRIC
Autauga County,140 AUTAUGAVILLE VFD,308.0,280.0,314.0,271.0,351.0,,,,,,296.0,267.0,,186.0,326.0,254.0,Autauga County,140 AUTAUGAVILLE VFD
Autauga County,150 PRATTMONT BAPTIST CH,175.0,472.0,163.0,478.0,158.0,,,482.0,,,507.0,94.0,,300.0,196.0,448.0,Autauga County,150 PRATTMONT BAPTIST CH
Autauga County,160 DOSTER COMMUNITY CTR,1317.0,2658.0,1233.0,2723.0,1179.0,,,1891.0,,,2835.0,865.0,,1717.0,1368.0,2589.0,Autauga County,160 DOSTER COMMUNITY CTR
Autauga County,170 CAMELLIA BAPTIST CH,431.0,745.0,415.0,748.0,391.0,,,772.0,,,799.0,291.0,,478.0,465.0,701.0,Autauga County,170 CAMELLIA BAPTIST CH
Autauga County,180 OLD KINGSTON VFD,263.0,303.0,280.0,287.0,,,,303.0,,,310.0,234.0,,200.0,294.0,270.0,Autauga County,180 OLD KINGSTON VFD
Autauga County,20 HERITAGE BAPTIST,417.0,1355.0,380.0,1390.0,334.0,,,1425.0,,,1469.0,212.0,,819.0,456.0,1308.0,Autauga County,20 HERITAGE BAPTIST
Autauga County,220 UPPER KINGSTON,193.0,583.0,182.0,589.0,67.0,,,614.0,,,631.0,100.0,,385.0,214.0,556.0,Autauga County,220 UPPER KINGSTON
Autauga County,230 COUNTY LINE BAPTIST,138.0,732.0,125.0,740.0,66.0,,,747.0,,,756.0,65.0,,501.0,160.0,706.0,Autauga County,230 COUNTY LINE BAPTIST
Autauga County,30 BILLINGSLEY COMM_ CTR_,35.0,294.0,33.0,294.0,,,,294.0,,,294.0,23.0,,216.0,50.0,274.0,Autauga County,30 BILLINGSLEY COMM_ CTR_
Autauga County,40  E_MEMORIAL CHRISTIAN,904.0,1776.0,843.0,1821.0,790.0,,,1858.0,,,1955.0,470.0,,1107.0,949.0,1714.0,Autauga County,40  E_MEMORIAL CHRISTIAN
Autauga County,50 WHITE CITY VFD,118.0,291.0,122.0,288.0,,,,289.0,,,291.0,98.0,,196.0,135.0,273.0,Autauga County,50 WHITE CITY VFD
Autauga County,60 MARBURY MIDDLE SCH,97.0,483.0,93.0,494.0,,,,483.0,,,492.0,61.0,,320.0,117.0,464.0,Autauga County,60 MARBURY MIDDLE SCH
Autauga County,70 BOONE'S CHAPEL,260.0,1130.0,234.0,1148.0,,,,1160.0,,,1168.0,140.0,,777.0,287.0,1093.0,Autauga County,70 BOONE'S CHAPEL
Autauga County,80 INDEPENDENCE VFD,171.0,169.0,177.0,163.0,196.0,,,,,,172.0,143.0,,106.0,184.0,156.0,Autauga County,80 INDEPENDENCE VFD
Autauga County,90 BOOTH VFD,160.0,426.0,156.0,429.0,,,,434.0,,,440.0,123.0,,294.0,188.0,395.0,Autauga County,90 BOOTH VFD
Autauga County,ABSENTEE,152.0,574.0,137.0,579.0,108.0,,,524.0,,,609.0,81.0,,404.0,153.0,566.0,Autauga County,ABSENTEE
Autauga County,PROVISIONAL,8.0,13.0,9.0,12.0,6.0,,,12.0,,,13.0,13.0,,27.0,11.0,11.0,Autauga County,PROVISIONAL
