county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Baldwin County,ABSENTEE,776.0,1858.0,736.0,1891.0,534.0,,26.0,1883.0,668.0,,1899.0,388.0,0.0,1445.0,705.0,1930.0,Baldwin County,ABSENTEE
Baldwin County,BARNWELL VFD,418.0,1621.0,350.0,1670.0,421.0,,,1605.0,365.0,,1638.0,191.0,0.0,1104.0,344.0,1690.0,Baldwin County,BARNWELL VFD
Baldwin County,BAY MINETTE CIVIC CENTER,641.0,2046.0,622.0,2044.0,645.0,,,1998.0,,,2116.0,396.0,0.0,1335.0,597.0,2085.0,Baldwin County,BAY MINETTE CIVIC CENTER
Baldwin County,BELFOREST COMM CTR_,399.0,1453.0,346.0,1497.0,345.0,,58.0,1433.0,346.0,,1481.0,158.0,4.0,964.0,327.0,1521.0,Baldwin County,BELFOREST COMM CTR_
Baldwin County,BON SECOUR MORG CHAPEL,233.0,898.0,221.0,910.0,,,,936.0,211.0,,912.0,126.0,0.0,670.0,214.0,915.0,Baldwin County,BON SECOUR MORG CHAPEL
Baldwin County,BROMLEY VFD SUBST,221.0,467.0,203.0,483.0,188.0,,25.0,470.0,,,503.0,134.0,0.0,316.0,199.0,491.0,Baldwin County,BROMLEY VFD SUBST
Baldwin County,CLEAR SPG FELLOWSHIP,4.0,124.0,4.0,123.0,5.0,,,122.0,,,123.0,2.0,0.0,89.0,4.0,123.0,Baldwin County,CLEAR SPG FELLOWSHIP
Baldwin County,CROSSROADS DURANT,108.0,292.0,107.0,291.0,102.0,,6.0,286.0,,,305.0,74.0,0.0,196.0,106.0,292.0,Baldwin County,CROSSROADS DURANT
Baldwin County,DAPHNE CIVIC CENTER,2075.0,2742.0,1887.0,2890.0,1725.0,,327.0,2729.0,1905.0,,2871.0,1083.0,15.0,1769.0,1860.0,2948.0,Baldwin County,DAPHNE CIVIC CENTER
Baldwin County,DAPHNE HIGH SCHOOL,1398.0,2748.0,1256.0,2871.0,1123.0,,250.0,2754.0,1287.0,,2826.0,703.0,8.0,1861.0,1226.0,2914.0,Baldwin County,DAPHNE HIGH SCHOOL
Baldwin County,"DOUGLASVILLE, BOYKIN CTR",295.0,37.0,302.0,29.0,293.0,,,38.0,,,47.0,259.0,0.0,20.0,308.0,25.0,Baldwin County,"DOUGLASVILLE, BOYKIN CTR"
Baldwin County,ELBERTA CIVIC CENTER,244.0,1182.0,229.0,1188.0,48.0,,,1231.0,226.0,,1191.0,117.0,0.0,824.0,225.0,1198.0,Baldwin County,ELBERTA CIVIC CENTER
Baldwin County,ELLISVILLE COMM_ CENTER,155.0,322.0,152.0,325.0,147.0,,,328.0,148.0,,327.0,115.0,0.0,227.0,148.0,329.0,Baldwin County,ELLISVILLE COMM_ CENTER
Baldwin County,ELSANOR BETHAL BAPTIST,78.0,588.0,63.0,599.0,69.0,,,590.0,,,605.0,33.0,0.0,414.0,63.0,602.0,Baldwin County,ELSANOR BETHAL BAPTIST
Baldwin County,FAIRHOPE -3 CIRCLE CHURCH,533.0,1709.0,493.0,1743.0,567.0,,,1661.0,483.0,,1731.0,239.0,0.0,1142.0,456.0,1782.0,Baldwin County,FAIRHOPE -3 CIRCLE CHURCH
Baldwin County,FAIRHOPE AVE_ BAPTIST,1050.0,2736.0,910.0,2853.0,1089.0,,1.0,2680.0,900.0,,2848.0,433.0,0.0,1891.0,853.0,2927.0,Baldwin County,FAIRHOPE AVE_ BAPTIST
Baldwin County,FAIRHOPE CIVIC CENTER,1761.0,2890.0,1580.0,3032.0,1928.0,,0.0,2722.0,1617.0,,2993.0,834.0,1.0,1849.0,1490.0,3160.0,Baldwin County,FAIRHOPE CIVIC CENTER
Baldwin County,FOLEY CIVIC CENTER,612.0,1300.0,582.0,1324.0,61.0,,,1375.0,565.0,,1317.0,378.0,0.0,911.0,569.0,1337.0,Baldwin County,FOLEY CIVIC CENTER
Baldwin County,FOLEY UNITED METHOIDIST,789.0,2205.0,713.0,2256.0,110.0,,,2341.0,730.0,,2239.0,460.0,0.0,1601.0,701.0,2286.0,Baldwin County,FOLEY UNITED METHOIDIST
Baldwin County,FT_ MORGAN VFD #1,111.0,287.0,93.0,303.0,,,,310.0,91.0,,305.0,49.0,0.0,207.0,86.0,311.0,Baldwin County,FT_ MORGAN VFD #1
Baldwin County,GATESWOOD VFD,20.0,187.0,21.0,183.0,23.0,,,182.0,,,187.0,9.0,0.0,131.0,20.0,188.0,Baldwin County,GATESWOOD VFD
Baldwin County,GULF SHORES CULTURAL CTR_,596.0,1887.0,527.0,1941.0,,,,2033.0,528.0,,1925.0,317.0,0.0,1417.0,503.0,1977.0,Baldwin County,GULF SHORES CULTURAL CTR_
Baldwin County,JOSEPHINE VFD,62.0,358.0,60.0,359.0,,,,375.0,55.0,,365.0,26.0,0.0,270.0,53.0,367.0,Baldwin County,JOSEPHINE VFD
Baldwin County,LILLIAN COMMUNITY,536.0,2090.0,528.0,2090.0,121.0,,,2129.0,429.0,,2089.0,302.0,0.0,1503.0,521.0,2098.0,Baldwin County,LILLIAN COMMUNITY
Baldwin County,LITTLE RIVER VFD,34.0,106.0,31.0,106.0,32.0,,,106.0,,,108.0,25.0,0.0,66.0,31.0,109.0,Baldwin County,LITTLE RIVER VFD
Baldwin County,LOTTIE VFD,13.0,107.0,11.0,107.0,19.0,,,100.0,,,104.0,3.0,0.0,75.0,13.0,106.0,Baldwin County,LOTTIE VFD
Baldwin County,LOXLEY CIVIC CENTER,131.0,587.0,113.0,602.0,119.0,,,597.0,43.0,,601.0,66.0,0.0,422.0,105.0,610.0,Baldwin County,LOXLEY CIVIC CENTER
Baldwin County,MAG SPGS WESLEYAN CH_,619.0,1750.0,560.0,1796.0,592.0,,,1759.0,566.0,,1779.0,349.0,0.0,1315.0,559.0,1806.0,Baldwin County,MAG SPGS WESLEYAN CH_
Baldwin County,MARLOW VFD,367.0,1109.0,340.0,1127.0,348.0,,,1110.0,332.0,,1129.0,182.0,0.0,774.0,324.0,1150.0,Baldwin County,MARLOW VFD
Baldwin County,MEYER'S CIVIC CENTER,719.0,1943.0,644.0,2009.0,,,,2128.0,645.0,,1999.0,359.0,0.0,1416.0,620.0,2040.0,Baldwin County,MEYER'S CIVIC CENTER
Baldwin County,MIFLIN GRAHAM CREEK CTR_,347.0,1256.0,314.0,1282.0,,,,1340.0,319.0,,1277.0,173.0,0.0,1015.0,300.0,1303.0,Baldwin County,MIFLIN GRAHAM CREEK CTR_
Baldwin County,NEW LIFE ASSEMBLY OF GOD,907.0,2003.0,809.0,2085.0,737.0,,124.0,2034.0,416.0,,2157.0,443.0,9.0,1399.0,758.0,2163.0,Baldwin County,NEW LIFE ASSEMBLY OF GOD
Baldwin County,ORANGE BEACH COMM_,711.0,2945.0,584.0,3063.0,,,,3156.0,562.0,,3061.0,276.0,0.0,2241.0,538.0,3107.0,Baldwin County,ORANGE BEACH COMM_
Baldwin County,PERDIDO BEACH VFD,79.0,368.0,68.0,376.0,,,,379.0,65.0,,379.0,34.0,0.0,276.0,68.0,376.0,Baldwin County,PERDIDO BEACH VFD
Baldwin County,PERDIDO VOL_ FIRE DEPT_,68.0,423.0,61.0,423.0,67.0,,,416.0,,,430.0,36.0,0.0,286.0,63.0,423.0,Baldwin County,PERDIDO VOL_ FIRE DEPT_
Baldwin County,PINEGROVE VFD #1,133.0,547.0,149.0,531.0,146.0,,,528.0,,,559.0,99.0,0.0,371.0,138.0,544.0,Baldwin County,PINEGROVE VFD #1
Baldwin County,PROVISIONAL,101.0,324.0,90.0,334.0,25.0,,7.0,46.0,28.0,,52.0,56.0,0.0,283.0,87.0,337.0,Baldwin County,PROVISIONAL
Baldwin County,PT CLEAR ST FRANCIS,429.0,847.0,351.0,915.0,440.0,,,834.0,365.0,,901.0,229.0,0.0,564.0,341.0,935.0,Baldwin County,PT CLEAR ST FRANCIS
Baldwin County,RABUN VFD,34.0,362.0,32.0,362.0,34.0,,,357.0,,,365.0,15.0,0.0,265.0,32.0,363.0,Baldwin County,RABUN VFD
Baldwin County,ROBERTSDALE PZK HALL,381.0,1551.0,342.0,1583.0,376.0,,,1550.0,0.0,,1636.0,194.0,0.0,1090.0,326.0,1602.0,Baldwin County,ROBERTSDALE PZK HALL
