county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Barbour County,ABSENTEE,486.0,192.0,491.0,186.0,530.0,,,,542.0,,,347.0,,110.0,494.0,186.0,Barbour County,ABSENTEE
Barbour County,BAKERHILL TOWN HALL,122.0,196.0,123.0,191.0,171.0,,,,182.0,,,100.0,,118.0,125.0,193.0,Barbour County,BAKERHILL TOWN HALL
Barbour County,BEVILL CENTER,186.0,622.0,184.0,617.0,306.0,,,,323.0,,,131.0,,382.0,182.0,622.0,Barbour County,BEVILL CENTER
Barbour County,BLUE SPRINGS CITY HALL,25.0,171.0,30.0,162.0,47.0,,,,62.0,,,17.0,,110.0,31.0,163.0,Barbour County,BLUE SPRINGS CITY HALL
Barbour County,CLAYTON COURTHOUSE,396.0,279.0,414.0,247.0,483.0,,,,500.0,,,328.0,,125.0,428.0,245.0,Barbour County,CLAYTON COURTHOUSE
Barbour County,CLIO CITY HALL,181.0,171.0,189.0,162.0,215.0,,,,233.0,,,159.0,,95.0,201.0,154.0,Barbour County,CLIO CITY HALL
Barbour County,ELAMVILLE VOL_ FIRE,59.0,156.0,55.0,158.0,83.0,,,,92.0,,,46.0,,93.0,59.0,153.0,Barbour County,ELAMVILLE VOL_ FIRE
Barbour County,EUFAULA COMMUNITY CENTER,387.0,510.0,389.0,506.0,509.0,,,,530.0,,,311.0,,265.0,388.0,510.0,Barbour County,EUFAULA COMMUNITY CENTER
Barbour County,EUFAULA WATER BOARD,357.0,235.0,365.0,219.0,433.0,,,,439.0,,,312.0,,122.0,367.0,221.0,Barbour County,EUFAULA WATER BOARD
Barbour County,FELLOWSHIP BAPTIST,249.0,582.0,259.0,569.0,379.0,,,,397.0,,,188.0,,344.0,252.0,579.0,Barbour County,FELLOWSHIP BAPTIST
Barbour County,GREENS CROSSROADS,42.0,62.0,48.0,56.0,58.0,,,,59.0,,,38.0,,30.0,51.0,54.0,Barbour County,GREENS CROSSROADS
Barbour County,LOUISVILLE CITY HALL,247.0,201.0,253.0,182.0,301.0,,,,320.0,,,205.0,,86.0,261.0,177.0,Barbour County,LOUISVILLE CITY HALL
Barbour County,MCCOO SCHOOL,552.0,270.0,562.0,261.0,625.0,,,,633.0,,,479.0,,154.0,559.0,265.0,Barbour County,MCCOO SCHOOL
Barbour County,MT_ ANDREW COMMUNITY CTR_,88.0,32.0,95.0,25.0,98.0,,,,103.0,,,88.0,,19.0,95.0,25.0,Barbour County,MT_ ANDREW COMMUNITY CTR_
Barbour County,PROVISIONAL,52.0,26.0,51.0,27.0,57.0,,,,59.0,,,49.0,,13.0,52.0,25.0,Barbour County,PROVISIONAL
Barbour County,SANFORD AVENUE GYM,392.0,360.0,399.0,347.0,498.0,,,,523.0,,,312.0,,161.0,397.0,351.0,Barbour County,SANFORD AVENUE GYM
Barbour County,SPRINGHILL VFD,171.0,102.0,170.0,101.0,198.0,,,,202.0,,,142.0,,41.0,167.0,103.0,Barbour County,SPRINGHILL VFD
Barbour County,TEXASVILLE COMMUNITY CTR_,51.0,169.0,49.0,167.0,92.0,,,,106.0,,,33.0,,86.0,53.0,165.0,Barbour County,TEXASVILLE COMMUNITY CTR_
