county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Bibb County,ABSENTEE,41.0,155.0,38.0,157.0,14.0,,,139.0,37.0,,155.0,27.0,,125.0,35.0,159.0,Bibb County,ABSENTEE
Bibb County,ALTERNATIVE SCHOOL,374.0,1034.0,333.0,1065.0,,,,1087.0,329.0,,1071.0,260.0,,775.0,326.0,1070.0,Bibb County,ALTERNATIVE SCHOOL
Bibb County,BRENT CITY HALL,419.0,252.0,419.0,249.0,445.0,,,2.0,415.0,,255.0,374.0,,169.0,418.0,251.0,Bibb County,BRENT CITY HALL
Bibb County,CENTREVILLE ROCK BLDG,203.0,647.0,172.0,675.0,127.0,,,471.0,161.0,,689.0,133.0,,488.0,167.0,682.0,Bibb County,CENTREVILLE ROCK BLDG
Bibb County,EOLINE FIRE DEPT,83.0,434.0,78.0,436.0,82.0,,,94.0,78.0,,436.0,59.0,,324.0,71.0,444.0,Bibb County,EOLINE FIRE DEPT
Bibb County,GREENPOND FIRE DEPT,188.0,1084.0,146.0,1123.0,,,,1149.0,144.0,,1123.0,82.0,,821.0,136.0,1135.0,Bibb County,GREENPOND FIRE DEPT
Bibb County,LAWLEY COMMUNITY CTR,68.0,270.0,58.0,280.0,,,,289.0,52.0,,283.0,39.0,,197.0,53.0,285.0,Bibb County,LAWLEY COMMUNITY CTR
Bibb County,NATIONAL GUARD ARMORY,246.0,746.0,227.0,760.0,92.0,,,629.0,206.0,,782.0,177.0,,546.0,211.0,777.0,Bibb County,NATIONAL GUARD ARMORY
Bibb County,PROVISIONAL,3.0,0.0,1.0,2.0,1.0,,,2.0,0.0,,3.0,1.0,,1.0,0.0,3.0,Bibb County,PROVISIONAL
Bibb County,SIX MILE COMMUNITY CTR,174.0,460.0,143.0,493.0,,,,509.0,136.0,,501.0,100.0,,336.0,142.0,493.0,Bibb County,SIX MILE COMMUNITY CTR
