county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Bullock County,ABERFOIL,124.0,37.0,125.0,36.0,133.0,,,,133.0,,,114.0,,19.0,128.0,33.0,Bullock County,ABERFOIL
Bullock County,ABSENTEE,141.0,49.0,143.0,48.0,158.0,,,,158.0,,,118.0,,21.0,145.0,46.0,Bullock County,ABSENTEE
Bullock County,CORINTH,11.0,20.0,11.0,20.0,10.0,,,,14.0,,,8.0,,12.0,10.0,22.0,Bullock County,CORINTH
Bullock County,CORNERSTONE,169.0,68.0,170.0,65.0,175.0,,,,178.0,,,152.0,,43.0,172.0,61.0,Bullock County,CORNERSTONE
Bullock County,FITZPATRICK,64.0,127.0,61.0,130.0,76.0,,,,83.0,,,46.0,,78.0,69.0,120.0,Bullock County,FITZPATRICK
Bullock County,GUERRYTON,57.0,5.0,58.0,4.0,58.0,,,,58.0,,,57.0,,4.0,57.0,5.0,Bullock County,GUERRYTON
Bullock County,INDIAN CREEK,59.0,26.0,60.0,25.0,61.0,,,,62.0,,,56.0,,20.0,60.0,25.0,Bullock County,INDIAN CREEK
Bullock County,INVERNESS,33.0,51.0,35.0,49.0,49.0,,,,52.0,,,33.0,,22.0,45.0,39.0,Bullock County,INVERNESS
Bullock County,MIDWAY,357.0,23.0,365.0,17.0,366.0,,,,367.0,,,338.0,,13.0,363.0,20.0,Bullock County,MIDWAY
Bullock County,PEACHBURG,59.0,21.0,68.0,12.0,66.0,,,,69.0,,,57.0,,6.0,64.0,15.0,Bullock County,PEACHBURG
Bullock County,PEROTE,41.0,60.0,43.0,58.0,47.0,,,,55.0,,,34.0,,31.0,50.0,52.0,Bullock County,PEROTE
Bullock County,POST OAK,79.0,134.0,78.0,135.0,95.0,,,,101.0,,,68.0,,78.0,85.0,129.0,Bullock County,POST OAK
Bullock County,PROVISIONAL,0.0,2.0,0.0,2.0,0.0,,,,0.0,,,0.0,,2.0,1.0,1.0,Bullock County,PROVISIONAL
Bullock County,SARDIS,78.0,17.0,77.0,18.0,78.0,,,,82.0,,,74.0,,8.0,78.0,17.0,Bullock County,SARDIS
Bullock County,THOMPSON,63.0,31.0,64.0,29.0,67.0,,,,75.0,,,55.0,,15.0,67.0,24.0,Bullock County,THOMPSON
Bullock County,THREE NOTCH,95.0,16.0,96.0,15.0,95.0,,,,95.0,,,90.0,,13.0,96.0,15.0,Bullock County,THREE NOTCH
Bullock County,UNION SPRINGS ARMORY,1299.0,262.0,1335.0,226.0,1379.0,,,,1389.0,,,1186.0,,128.0,1340.0,226.0,Bullock County,UNION SPRINGS ARMORY
