county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Butler County,ABSENTEE,321.0,280.0,314.0,266.0,303.0,,,292.0,307.0,184.0,,261.0,,56.0,318.0,271.0,Butler County,ABSENTEE
Butler County,BOLLING-VOTING HOUSE,33.0,69.0,32.0,67.0,31.0,,,71.0,34.0,42.0,,23.0,,24.0,36.0,66.0,Butler County,BOLLING-VOTING HOUSE
Butler County,CENTER HILL-VOTING HOUSE,78.0,55.0,80.0,53.0,77.0,,,55.0,77.0,39.0,,62.0,,15.0,75.0,56.0,Butler County,CENTER HILL-VOTING HOUSE
Butler County,CENTRAL VOL_ FIRE DEPT_,183.0,248.0,188.0,236.0,178.0,,,249.0,192.0,172.0,,126.0,,56.0,210.0,219.0,Butler County,CENTRAL VOL_ FIRE DEPT_
Butler County,CHAPMAN POST OFFICE,24.0,108.0,22.0,103.0,18.0,,,114.0,22.0,72.0,,9.0,,27.0,36.0,91.0,Butler County,CHAPMAN POST OFFICE
Butler County,DUNBAR COMMUNITY CTR_,621.0,193.0,651.0,155.0,627.0,,,182.0,640.0,131.0,,435.0,,27.0,646.0,168.0,Butler County,DUNBAR COMMUNITY CTR_
Butler County,FOREST HOME - VOTING HOUS,26.0,90.0,23.0,91.0,23.0,,,90.0,26.0,69.0,,18.0,,16.0,30.0,85.0,Butler County,FOREST HOME - VOTING HOUS
Butler County,FRIENDSHIP OLD SCHOOL,8.0,114.0,7.0,109.0,9.0,,,108.0,8.0,80.0,,1.0,,24.0,13.0,105.0,Butler County,FRIENDSHIP OLD SCHOOL
Butler County,GARLAND-VOTING HOUSE,70.0,165.0,64.0,165.0,66.0,,,167.0,70.0,129.0,,45.0,,38.0,90.0,144.0,Butler County,GARLAND-VOTING HOUSE
Butler County,GREENVILLE POLICE DEPT_,522.0,572.0,524.0,556.0,510.0,,,578.0,515.0,453.0,,347.0,,103.0,554.0,530.0,Butler County,GREENVILLE POLICE DEPT_
Butler County,HARRISON - VOTING HOUSE,27.0,175.0,25.0,173.0,18.0,,,184.0,26.0,121.0,,13.0,,59.0,29.0,173.0,Butler County,HARRISON - VOTING HOUSE
Butler County,HEALTH DEPARTMENT,383.0,711.0,398.0,682.0,363.0,,,727.0,372.0,543.0,,239.0,,117.0,425.0,664.0,Butler County,HEALTH DEPARTMENT
Butler County,INDUSTRY,11.0,114.0,10.0,113.0,10.0,,,115.0,7.0,74.0,,3.0,,26.0,14.0,108.0,Butler County,INDUSTRY
Butler County,MANNINGHAM - VOTING HOUSE,101.0,119.0,99.0,114.0,94.0,,,123.0,95.0,80.0,,67.0,,33.0,113.0,103.0,Butler County,MANNINGHAM - VOTING HOUSE
Butler County,MIDWAY - VOTING HOUSE,56.0,150.0,62.0,144.0,64.0,,,143.0,61.0,111.0,,39.0,,27.0,68.0,139.0,Butler County,MIDWAY - VOTING HOUSE
Butler County,MONTEREY - OLD SCHOOL HOU,26.0,23.0,28.0,21.0,27.0,,,21.0,24.0,21.0,,19.0,,3.0,28.0,21.0,Butler County,MONTEREY - OLD SCHOOL HOU
Butler County,McKENZIE TOWN HALL,88.0,216.0,84.0,211.0,86.0,,,216.0,86.0,146.0,,74.0,,56.0,105.0,194.0,Butler County,McKENZIE TOWN HALL
Butler County,McLAINS - VOTING HOUSE,88.0,356.0,99.0,336.0,88.0,,,353.0,103.0,247.0,,64.0,,61.0,127.0,315.0,Butler County,McLAINS - VOTING HOUSE
Butler County,PROVIDENCE-VOTING HOUSE,130.0,275.0,122.0,279.0,105.0,,,297.0,115.0,203.0,,73.0,,64.0,143.0,263.0,Butler County,PROVIDENCE-VOTING HOUSE
Butler County,PROVISIONAL,5.0,6.0,2.0,9.0,4.0,,,7.0,2.0,8.0,,4.0,,1.0,6.0,5.0,Butler County,PROVISIONAL
Butler County,ROCKY CREEK-VOTING HOUSE,42.0,227.0,35.0,230.0,33.0,,,235.0,38.0,167.0,,23.0,,48.0,55.0,207.0,Butler County,ROCKY CREEK-VOTING HOUSE
Butler County,SEARCY - VOLUNTEER FIRE,45.0,127.0,43.0,123.0,42.0,,,130.0,43.0,88.0,,35.0,,28.0,49.0,119.0,Butler County,SEARCY - VOLUNTEER FIRE
Butler County,SR_ MUTLI PURPOSE CTR_,452.0,299.0,478.0,263.0,461.0,,,287.0,477.0,184.0,,340.0,,68.0,496.0,253.0,Butler County,SR_ MUTLI PURPOSE CTR_
Butler County,STEINER'S STORE,23.0,120.0,20.0,118.0,20.0,,,126.0,20.0,77.0,,15.0,,31.0,27.0,115.0,Butler County,STEINER'S STORE
