county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Calhoun County,1ST UNITED METH_ - WEAVER,443.0,1290.0,428.0,1307.0,422.0,,,1303.0,532.0,,1184.0,230.0,,827.0,434.0,1299.0,Calhoun County,1ST UNITED METH_ - WEAVER
Calhoun County,ABSENTEE,342.0,640.0,331.0,646.0,302.0,,,659.0,341.0,,638.0,221.0,,523.0,335.0,646.0,Calhoun County,ABSENTEE
Calhoun County,ALEXANDRIA CIVITAN CLUB,331.0,1413.0,311.0,1417.0,312.0,,,1412.0,382.0,,1336.0,183.0,,932.0,340.0,1401.0,Calhoun County,ALEXANDRIA CIVITAN CLUB
Calhoun County,ANGEL FIRE STATION,121.0,440.0,114.0,446.0,119.0,,,443.0,144.0,,408.0,63.0,,315.0,124.0,432.0,Calhoun County,ANGEL FIRE STATION
Calhoun County,ANNISTON 1ST PRSBY_ CHU_,106.0,142.0,102.0,143.0,111.0,,,129.0,110.0,,138.0,54.0,,69.0,109.0,138.0,Calhoun County,ANNISTON 1ST PRSBY_ CHU_
Calhoun County,ANNISTON CARVER CENTER,208.0,9.0,214.0,3.0,209.0,,,3.0,214.0,,3.0,192.0,,3.0,206.0,10.0,Calhoun County,ANNISTON CARVER CENTER
Calhoun County,ANNISTON GOLDEN SPRINGS,816.0,1455.0,759.0,1491.0,750.0,,,1485.0,811.0,,1436.0,459.0,,958.0,782.0,1479.0,Calhoun County,ANNISTON GOLDEN SPRINGS
Calhoun County,ANNISTON MEETING CTR_,1563.0,504.0,1572.0,485.0,1581.0,,,474.0,1569.0,,493.0,1204.0,,303.0,1566.0,496.0,Calhoun County,ANNISTON MEETING CTR_
Calhoun County,ANNISTON THANKFUL BAPT_,257.0,34.0,259.0,29.0,264.0,,,26.0,260.0,,30.0,219.0,,18.0,258.0,30.0,Calhoun County,ANNISTON THANKFUL BAPT_
Calhoun County,ASBERRY BAPTIST CHURCH,122.0,636.0,108.0,644.0,117.0,,,632.0,146.0,,603.0,44.0,,425.0,120.0,635.0,Calhoun County,ASBERRY BAPTIST CHURCH
Calhoun County,A_P_ HOLLINGSWORTH CC,113.0,611.0,94.0,628.0,83.0,,,634.0,126.0,,590.0,45.0,,412.0,92.0,635.0,Calhoun County,A_P_ HOLLINGSWORTH CC
Calhoun County,BETTA VIEW CHURCH CHRIST,332.0,918.0,303.0,943.0,,,,996.0,327.0,,917.0,183.0,,670.0,311.0,939.0,Calhoun County,BETTA VIEW CHURCH CHRIST
Calhoun County,BOILING SPRINGS BAPT_ CH_,60.0,337.0,48.0,345.0,50.0,,,343.0,63.0,,326.0,23.0,,229.0,61.0,333.0,Calhoun County,BOILING SPRINGS BAPT_ CH_
Calhoun County,BYNUM COMMUNITY CTR_,350.0,1156.0,345.0,1160.0,7.0,,,1201.0,370.0,,1129.0,231.0,,854.0,346.0,1159.0,Calhoun County,BYNUM COMMUNITY CTR_
Calhoun County,CALHOUN CO_ HWY_ DEPT_,31.0,23.0,34.0,20.0,34.0,,,20.0,34.0,,20.0,23.0,,13.0,34.0,19.0,Calhoun County,CALHOUN CO_ HWY_ DEPT_
Calhoun County,CHOCCOLOCCO COMM_ CTR_,212.0,787.0,190.0,798.0,194.0,,,789.0,231.0,,757.0,116.0,,557.0,193.0,802.0,Calhoun County,CHOCCOLOCCO COMM_ CTR_
Calhoun County,DEARMANVILLE UNITED METH_,146.0,491.0,116.0,512.0,109.0,,,514.0,129.0,,498.0,58.0,,321.0,126.0,502.0,Calhoun County,DEARMANVILLE UNITED METH_
Calhoun County,EAGLEPOINT CHURCH,490.0,674.0,478.0,685.0,474.0,,,693.0,541.0,,627.0,274.0,,421.0,490.0,679.0,Calhoun County,EAGLEPOINT CHURCH
Calhoun County,EULATON UNITED METHODIST,118.0,407.0,117.0,407.0,129.0,,,386.0,111.0,,412.0,68.0,,290.0,107.0,417.0,Calhoun County,EULATON UNITED METHODIST
Calhoun County,FRIENDSHIP BAPTIST CHURCH,127.0,615.0,119.0,617.0,124.0,,,612.0,174.0,,550.0,53.0,,420.0,122.0,618.0,Calhoun County,FRIENDSHIP BAPTIST CHURCH
Calhoun County,FRIENDSHIP COMM_ CENTER,297.0,931.0,267.0,962.0,274.0,,,945.0,309.0,,916.0,154.0,,613.0,275.0,955.0,Calhoun County,FRIENDSHIP COMM_ CENTER
Calhoun County,GLENWOOD MEADOWS MTG_ RM_,452.0,529.0,437.0,538.0,440.0,,,540.0,488.0,,485.0,310.0,,347.0,446.0,533.0,Calhoun County,GLENWOOD MEADOWS MTG_ RM_
Calhoun County,GOD'S COVENANT MINISTRY,185.0,241.0,184.0,241.0,184.0,,,239.0,191.0,,236.0,155.0,,180.0,184.0,242.0,Calhoun County,GOD'S COVENANT MINISTRY
Calhoun County,HOBSON CITY - CITY HALL,253.0,34.0,256.0,31.0,257.0,,,30.0,249.0,,39.0,216.0,,20.0,250.0,36.0,Calhoun County,HOBSON CITY - CITY HALL
Calhoun County,HOPE COMM_ CENTER,71.0,257.0,71.0,258.0,73.0,,,253.0,83.0,,245.0,45.0,,182.0,76.0,254.0,Calhoun County,HOPE COMM_ CENTER
