county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Chambers County,ABSENTEE,96.0,261.0,97.0,254.0,106.0,,,250.0,100.0,,255.0,67.0,,104.0,102.0,255.0,Chambers County,ABSENTEE
Chambers County,BUFFALO,73.0,139.0,78.0,132.0,75.0,,,136.0,76.0,,135.0,65.0,,40.0,75.0,136.0,Chambers County,BUFFALO
Chambers County,CUSSETA,77.0,170.0,77.0,168.0,91.0,,,150.0,74.0,,169.0,56.0,,63.0,79.0,167.0,Chambers County,CUSSETA
Chambers County,FIVE POINTS,121.0,63.0,123.0,59.0,120.0,,,64.0,123.0,,59.0,92.0,,21.0,121.0,63.0,Chambers County,FIVE POINTS
Chambers County,FREDONIA,75.0,239.0,83.0,226.0,76.0,,,236.0,85.0,,226.0,50.0,,86.0,79.0,235.0,Chambers County,FREDONIA
Chambers County,HUGULEY,365.0,954.0,354.0,934.0,378.0,,,931.0,361.0,,943.0,225.0,,334.0,374.0,942.0,Chambers County,HUGULEY
Chambers County,LAFAYETTE,673.0,365.0,683.0,349.0,675.0,,,353.0,686.0,,347.0,533.0,,125.0,686.0,352.0,Chambers County,LAFAYETTE
Chambers County,LAKEVIEW,60.0,200.0,61.0,199.0,58.0,,,201.0,62.0,,197.0,42.0,,86.0,61.0,200.0,Chambers County,LAKEVIEW
Chambers County,LANETT,1185.0,768.0,1213.0,712.0,1171.0,,,737.0,1185.0,,745.0,897.0,,265.0,1217.0,730.0,Chambers County,LANETT
Chambers County,MILLTOWN,53.0,107.0,54.0,100.0,54.0,,,102.0,55.0,,104.0,43.0,,42.0,58.0,101.0,Chambers County,MILLTOWN
Chambers County,MT_ OLIVE,46.0,74.0,48.0,72.0,46.0,,,76.0,49.0,,72.0,35.0,,40.0,54.0,68.0,Chambers County,MT_ OLIVE
Chambers County,PENTON,18.0,92.0,21.0,86.0,22.0,,,83.0,24.0,,83.0,14.0,,34.0,20.0,88.0,Chambers County,PENTON
Chambers County,PROVISIONAL,9.0,17.0,8.0,17.0,15.0,,,19.0,9.0,,17.0,6.0,,2.0,9.0,17.0,Chambers County,PROVISIONAL
Chambers County,RIDGE GROVE,101.0,158.0,104.0,152.0,106.0,,,151.0,109.0,,144.0,84.0,,61.0,108.0,151.0,Chambers County,RIDGE GROVE
Chambers County,SPARKLING SPRINGS,3.0,47.0,3.0,47.0,1.0,,,49.0,6.0,,43.0,1.0,,22.0,3.0,46.0,Chambers County,SPARKLING SPRINGS
Chambers County,STANDING ROCK,18.0,196.0,19.0,195.0,22.0,,,192.0,20.0,,196.0,10.0,,120.0,24.0,191.0,Chambers County,STANDING ROCK
Chambers County,STROUD,81.0,73.0,80.0,72.0,79.0,,,74.0,81.0,,73.0,65.0,,38.0,81.0,73.0,Chambers County,STROUD
Chambers County,UNION HILL,18.0,129.0,13.0,129.0,12.0,,,130.0,18.0,,125.0,6.0,,37.0,17.0,128.0,Chambers County,UNION HILL
Chambers County,VALLEY SPORTSPLEX,1247.0,2277.0,1260.0,2212.0,1344.0,,,2170.0,1256.0,,2247.0,888.0,,827.0,1283.0,2243.0,Chambers County,VALLEY SPORTSPLEX
Chambers County,WAVERLY,38.0,95.0,39.0,93.0,44.0,,,89.0,43.0,,91.0,27.0,,42.0,48.0,87.0,Chambers County,WAVERLY
Chambers County,WEST CHAMBERS,268.0,263.0,270.0,255.0,273.0,,,252.0,277.0,,249.0,218.0,,140.0,278.0,251.0,Chambers County,WEST CHAMBERS
