county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Cherokee County,ABSENTEE,59.0,243.0,57.0,242.0,,,,253.0,,56.0,233.0,20.0,,168.0,53.0,245.0,Cherokee County,ABSENTEE
Cherokee County,BROOMTOWN FIRE DEPT_,14.0,238.0,17.0,234.0,,,,231.0,,34.0,217.0,9.0,,166.0,17.0,234.0,Cherokee County,BROOMTOWN FIRE DEPT_
Cherokee County,CEDAR BLUFF 1ST BAPTIST,150.0,658.0,140.0,660.0,,,,672.0,,182.0,600.0,64.0,,442.0,140.0,662.0,Cherokee County,CEDAR BLUFF 1ST BAPTIST
Cherokee County,CONGREGATIONAL METHODIST,22.0,108.0,22.0,105.0,,,,101.0,,28.0,95.0,15.0,,57.0,25.0,101.0,Cherokee County,CONGREGATIONAL METHODIST
Cherokee County,DANIELS CHAPEL FELLOWSHIP,28.0,95.0,26.0,97.0,,,,98.0,,30.0,91.0,7.0,,58.0,23.0,97.0,Cherokee County,DANIELS CHAPEL FELLOWSHIP
Cherokee County,EBENEZER FELLOWSHIP HALL,121.0,202.0,126.0,192.0,,,,187.0,,114.0,176.0,95.0,,115.0,115.0,202.0,Cherokee County,EBENEZER FELLOWSHIP HALL
Cherokee County,FRIENDSHIP BAP FELLOWSHIP,17.0,137.0,15.0,139.0,,,,144.0,,14.0,137.0,5.0,,101.0,17.0,138.0,Cherokee County,FRIENDSHIP BAP FELLOWSHIP
Cherokee County,GAYLESVILLE CITY HALL,33.0,247.0,27.0,248.0,,,,247.0,,53.0,221.0,10.0,,161.0,26.0,253.0,Cherokee County,GAYLESVILLE CITY HALL
Cherokee County,GOSHEN METHODIST CHURCH,27.0,224.0,27.0,220.0,,,,225.0,,33.0,209.0,9.0,,154.0,30.0,219.0,Cherokee County,GOSHEN METHODIST CHURCH
Cherokee County,LEESBURG FEMA BLDG_,130.0,611.0,113.0,620.0,,,,621.0,,172.0,535.0,51.0,,373.0,111.0,627.0,Cherokee County,LEESBURG FEMA BLDG_
Cherokee County,MT CALVARY BAPTIST CHURCH,42.0,79.0,42.0,77.0,,,,78.0,,31.0,72.0,24.0,,63.0,42.0,77.0,Cherokee County,MT CALVARY BAPTIST CHURCH
Cherokee County,MT_ WEISNER FIRE HALL,41.0,152.0,39.0,151.0,,,,152.0,,37.0,140.0,22.0,,101.0,36.0,154.0,Cherokee County,MT_ WEISNER FIRE HALL
Cherokee County,MT_ WESINER VFD #2,51.0,127.0,46.0,128.0,,,,128.0,,42.0,122.0,31.0,,88.0,50.0,127.0,Cherokee County,MT_ WESINER VFD #2
Cherokee County,McCORDS CROSSROADS FIRE,19.0,231.0,19.0,229.0,,,,234.0,,16.0,232.0,8.0,,164.0,16.0,238.0,Cherokee County,McCORDS CROSSROADS FIRE
Cherokee County,NEW HOPE METHODIST,65.0,205.0,58.0,208.0,,,,211.0,,54.0,193.0,48.0,,144.0,59.0,211.0,Cherokee County,NEW HOPE METHODIST
Cherokee County,PROVISIONAL,3.0,2.0,3.0,2.0,,,,5.0,,5.0,0.0,3.0,,4.0,2.0,3.0,Cherokee County,PROVISIONAL
Cherokee County,ROCK RUN CHURCH,16.0,93.0,13.0,92.0,,,,98.0,,15.0,92.0,4.0,,70.0,11.0,98.0,Cherokee County,ROCK RUN CHURCH
Cherokee County,SAND ROCK TOWN HALL,96.0,495.0,67.0,505.0,,,,509.0,,119.0,462.0,32.0,,317.0,68.0,514.0,Cherokee County,SAND ROCK TOWN HALL
Cherokee County,SHADY GROVE CHURCH,46.0,103.0,41.0,106.0,,,,112.0,,33.0,100.0,25.0,,53.0,42.0,103.0,Cherokee County,SHADY GROVE CHURCH
Cherokee County,SPRING CREEK VFD,38.0,325.0,37.0,316.0,,,,314.0,,43.0,312.0,15.0,,203.0,38.0,320.0,Cherokee County,SPRING CREEK VFD
Cherokee County,SPRING GARDEN FIRE STA_,52.0,374.0,47.0,375.0,,,,376.0,,47.0,363.0,23.0,,278.0,48.0,378.0,Cherokee County,SPRING GARDEN FIRE STA_
Cherokee County,THE ROC,417.0,1578.0,349.0,1600.0,,,,1606.0,,475.0,1464.0,161.0,,844.0,336.0,1644.0,Cherokee County,THE ROC
Cherokee County,THE VALLEY CHURCH,17.0,143.0,14.0,146.0,,,,140.0,,14.0,138.0,6.0,,87.0,16.0,143.0,Cherokee County,THE VALLEY CHURCH
Cherokee County,TUCKER'S CHAPEL FIRE DEPT,21.0,124.0,23.0,123.0,,,,125.0,,23.0,118.0,12.0,,82.0,20.0,124.0,Cherokee County,TUCKER'S CHAPEL FIRE DEPT
Cherokee County,UNITY MISSIONARY BAPTIST,27.0,180.0,22.0,180.0,,,,179.0,,33.0,166.0,12.0,,125.0,23.0,180.0,Cherokee County,UNITY MISSIONARY BAPTIST
