county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Chilton County,ABSEN,62.0,313.0,68.0,312.0,5.0,,,323.0,45.0,,316.0,28.0,,208.0,57.0,314.0,Chilton County,ABSEN
Chilton County,CANE,49.0,466.0,43.0,465.0,44.0,,,457.0,49.0,,455.0,20.0,,271.0,43.0,465.0,Chilton County,CANE
Chilton County,CLANT,212.0,1270.0,189.0,1283.0,,,,1282.0,178.0,,1284.0,96.0,,671.0,169.0,1305.0,Chilton County,CLANT
Chilton County,COLLI,41.0,262.0,33.0,267.0,,,,266.0,29.0,,268.0,11.0,,136.0,33.0,266.0,Chilton County,COLLI
Chilton County,COURT,131.0,636.0,118.0,643.0,,,,646.0,124.0,,630.0,71.0,,362.0,114.0,648.0,Chilton County,COURT
Chilton County,ENTER,97.0,570.0,84.0,578.0,,,,563.0,,,567.0,59.0,,334.0,87.0,576.0,Chilton County,ENTER
Chilton County,FAIRV,77.0,441.0,64.0,453.0,,,,447.0,,,450.0,42.0,,264.0,58.0,456.0,Chilton County,FAIRV
Chilton County,HILLC,57.0,493.0,51.0,495.0,,,,488.0,,,492.0,35.0,,306.0,51.0,494.0,Chilton County,HILLC
Chilton County,ISABE,81.0,367.0,78.0,369.0,,,,379.0,78.0,,366.0,50.0,,196.0,68.0,379.0,Chilton County,ISABE
Chilton County,JEMIS,320.0,933.0,282.0,966.0,,,,986.0,282.0,,954.0,167.0,,505.0,277.0,972.0,Chilton County,JEMIS
Chilton County,LIBRA,137.0,781.0,126.0,787.0,,,,789.0,125.0,,779.0,60.0,,414.0,117.0,795.0,Chilton County,LIBRA
Chilton County,MAPLE,212.0,308.0,201.0,316.0,,,,327.0,,,326.0,144.0,,184.0,198.0,316.0,Chilton County,MAPLE
Chilton County,MARS,85.0,453.0,78.0,458.0,,,,473.0,79.0,,453.0,40.0,,264.0,72.0,463.0,Chilton County,MARS
Chilton County,PROVI,50.0,426.0,35.0,434.0,43.0,,,1273.0,137.0,,1231.0,16.0,,260.0,41.0,432.0,Chilton County,PROVI
Chilton County,SENIO,370.0,429.0,371.0,425.0,,,,466.0,364.0,,424.0,271.0,,232.0,355.0,436.0,Chilton County,SENIO
Chilton County,THORS,156.0,839.0,135.0,853.0,,,,861.0,137.0,,850.0,68.0,,479.0,136.0,856.0,Chilton County,THORS
Chilton County,UNION,73.0,784.0,70.0,780.0,,,,774.0,64.0,,785.0,23.0,,481.0,54.0,796.0,Chilton County,UNION
Chilton County,VERBE,137.0,716.0,137.0,710.0,141.0,,,696.0,,,711.0,81.0,,446.0,130.0,715.0,Chilton County,VERBE
