county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Choctaw County,ABSENTEE,203.0,234.0,225.0,186.0,292.0,,,148.0,271.0,,,174.0,,63.0,276.0,,Choctaw County,ABSENTEE
Choctaw County,ARARAT,36.0,95.0,33.0,93.0,48.0,,,88.0,58.0,,,24.0,,21.0,60.0,,Choctaw County,ARARAT
Choctaw County,BARRYTOWN,7.0,171.0,8.0,162.0,37.0,,,140.0,26.0,,,2.0,,52.0,29.0,,Choctaw County,BARRYTOWN
Choctaw County,BLADON SPRINGS,41.0,9.0,39.0,9.0,40.0,,,10.0,39.0,,,27.0,,5.0,39.0,,Choctaw County,BLADON SPRINGS
Choctaw County,BOGUELOOSA,12.0,235.0,9.0,226.0,34.0,,,212.0,57.0,,,2.0,,55.0,62.0,,Choctaw County,BOGUELOOSA
Choctaw County,BRANCH,179.0,52.0,193.0,32.0,210.0,,,27.0,202.0,,,126.0,,6.0,205.0,,Choctaw County,BRANCH
Choctaw County,BUTLER,329.0,770.0,353.0,714.0,521.0,,,579.0,560.0,,,241.0,,170.0,566.0,,Choctaw County,BUTLER
Choctaw County,CHAPPELL HILL,7.0,205.0,8.0,189.0,35.0,,,172.0,41.0,,,3.0,,44.0,47.0,,Choctaw County,CHAPPELL HILL
Choctaw County,CROMWELL,69.0,39.0,71.0,32.0,78.0,,,28.0,80.0,,,52.0,,13.0,84.0,,Choctaw County,CROMWELL
Choctaw County,CROSSROADS,46.0,35.0,50.0,30.0,56.0,,,24.0,57.0,,,40.0,,17.0,58.0,,Choctaw County,CROSSROADS
Choctaw County,CULLOMBURG,88.0,58.0,84.0,58.0,101.0,,,49.0,89.0,,,67.0,,16.0,90.0,,Choctaw County,CULLOMBURG
Choctaw County,GILBERTOWN,60.0,232.0,53.0,231.0,106.0,,,188.0,104.0,,,40.0,,61.0,108.0,,Choctaw County,GILBERTOWN
Choctaw County,HALSELL,46.0,18.0,47.0,16.0,48.0,,,15.0,56.0,,,32.0,,9.0,54.0,,Choctaw County,HALSELL
Choctaw County,HURRICANE,6.0,26.0,8.0,24.0,9.0,,,23.0,9.0,,,3.0,,10.0,10.0,,Choctaw County,HURRICANE
Choctaw County,INTERSECTION,52.0,1.0,53.0,0.0,52.0,,,1.0,52.0,,,38.0,,0.0,52.0,,Choctaw County,INTERSECTION
Choctaw County,ISNEY,8.0,25.0,5.0,26.0,12.0,,,23.0,9.0,,,4.0,,12.0,14.0,,Choctaw County,ISNEY
Choctaw County,LAVACA,98.0,76.0,96.0,77.0,117.0,,,61.0,124.0,,,85.0,,22.0,121.0,,Choctaw County,LAVACA
Choctaw County,LISMAN,232.0,24.0,231.0,18.0,238.0,,,17.0,239.0,,,201.0,,10.0,239.0,,Choctaw County,LISMAN
Choctaw County,LUSK,10.0,161.0,7.0,150.0,37.0,,,135.0,46.0,,,2.0,,31.0,49.0,,Choctaw County,LUSK
Choctaw County,MELVIN,64.0,45.0,66.0,40.0,71.0,,,38.0,70.0,,,49.0,,20.0,75.0,,Choctaw County,MELVIN
Choctaw County,MT_ STERLING,95.0,53.0,94.0,50.0,112.0,,,36.0,100.0,,,88.0,,23.0,101.0,,Choctaw County,MT_ STERLING
Choctaw County,PELHAM,60.0,23.0,62.0,20.0,67.0,,,15.0,69.0,,,57.0,,6.0,73.0,,Choctaw County,PELHAM
Choctaw County,PENNINGTON,230.0,102.0,237.0,91.0,251.0,,,79.0,260.0,,,195.0,,36.0,263.0,,Choctaw County,PENNINGTON
Choctaw County,PLEASANT VALLEY,8.0,113.0,6.0,108.0,15.0,,,108.0,26.0,,,1.0,,40.0,31.0,,Choctaw County,PLEASANT VALLEY
Choctaw County,PROVISIONAL,1.0,5.0,1.0,5.0,1.0,,,5.0,3.0,,,3.0,,4.0,3.0,,Choctaw County,PROVISIONAL
Choctaw County,PUSHMATAHA,93.0,15.0,97.0,11.0,99.0,,,9.0,96.0,,,75.0,,1.0,97.0,,Choctaw County,PUSHMATAHA
Choctaw County,RIDERWOOD,92.0,18.0,92.0,16.0,98.0,,,10.0,98.0,,,77.0,,2.0,100.0,,Choctaw County,RIDERWOOD
Choctaw County,ROCK SPRINGS,7.0,65.0,6.0,64.0,13.0,,,59.0,20.0,,,3.0,,20.0,23.0,,Choctaw County,ROCK SPRINGS
Choctaw County,SILAS,89.0,180.0,86.0,174.0,110.0,,,164.0,120.0,,,55.0,,44.0,121.0,,Choctaw County,SILAS
Choctaw County,SOUWILPA,9.0,47.0,9.0,40.0,22.0,,,35.0,15.0,,,5.0,,15.0,17.0,,Choctaw County,SOUWILPA
Choctaw County,TOOMEY,50.0,86.0,59.0,75.0,70.0,,,66.0,67.0,,,36.0,,28.0,72.0,,Choctaw County,TOOMEY
Choctaw County,TOXEY,105.0,168.0,117.0,147.0,148.0,,,123.0,148.0,,,94.0,,43.0,147.0,,Choctaw County,TOXEY
Choctaw County,WOMACK HILL,20.0,69.0,21.0,63.0,33.0,,,55.0,30.0,,,8.0,,24.0,29.0,,Choctaw County,WOMACK HILL
Choctaw County,YANTLEY,197.0,20.0,202.0,13.0,202.0,,,14.0,203.0,,,171.0,,6.0,205.0,,Choctaw County,YANTLEY
