county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Clarke County,ABSENTEE,359.0,533.0,345.0,528.0,416.0,,,279.0,,,534.0,236.0,,351.0,373.0,244.0,Clarke County,ABSENTEE
Clarke County,ANTIOCH FIRE DEPT_,145.0,191.0,138.0,192.0,165.0,,,164.0,,,192.0,107.0,,102.0,139.0,195.0,Clarke County,ANTIOCH FIRE DEPT_
Clarke County,BASHI METHODIST CHURCH,20.0,78.0,19.0,78.0,23.0,,,,,,77.0,16.0,,57.0,24.0,,Clarke County,BASHI METHODIST CHURCH
Clarke County,CHOCTAW BLUFF FIRE STA_,155.0,81.0,153.0,80.0,160.0,,,,,,86.0,139.0,,51.0,158.0,,Clarke County,CHOCTAW BLUFF FIRE STA_
Clarke County,CITY HALL - JACKSON,445.0,368.0,445.0,364.0,487.0,,,320.0,,,364.0,397.0,,198.0,493.0,58.0,Clarke County,CITY HALL - JACKSON
Clarke County,COFFEEVILLE TOWN HALL,168.0,273.0,166.0,267.0,209.0,,,229.0,,,256.0,125.0,,144.0,224.0,,Clarke County,COFFEEVILLE TOWN HALL
Clarke County,FULTON FIRE STATION,167.0,445.0,160.0,434.0,199.0,,,,,,419.0,115.0,,291.0,209.0,,Clarke County,FULTON FIRE STATION
Clarke County,GAINSTOWN GOOD HOPE,314.0,29.0,316.0,26.0,317.0,,,,,,32.0,265.0,,15.0,319.0,,Clarke County,GAINSTOWN GOOD HOPE
Clarke County,GOSPORT FIRE DEPT,96.0,21.0,96.0,20.0,96.0,,,,,,22.0,87.0,,15.0,95.0,,Clarke County,GOSPORT FIRE DEPT
Clarke County,GROVE HILL CITY HALL,119.0,281.0,98.0,293.0,149.0,,,248.0,,,301.0,49.0,,149.0,98.0,295.0,Clarke County,GROVE HILL CITY HALL
Clarke County,GROVE HILL OLD ENGINEERS,171.0,301.0,165.0,295.0,201.0,,,264.0,,,310.0,110.0,,162.0,160.0,302.0,Clarke County,GROVE HILL OLD ENGINEERS
Clarke County,GROVE HILL-NATIONAL GUARD,187.0,78.0,182.0,77.0,192.0,,,,,,94.0,117.0,,35.0,197.0,,Clarke County,GROVE HILL-NATIONAL GUARD
Clarke County,HELWESTERN VFD,56.0,240.0,42.0,250.0,83.0,,,210.0,,,243.0,32.0,,141.0,42.0,250.0,Clarke County,HELWESTERN VFD
Clarke County,HOPEWELL BAPTIST CHURCH,2.0,82.0,1.0,79.0,6.0,,,75.0,,,78.0,0.0,,62.0,3.0,,Clarke County,HOPEWELL BAPTIST CHURCH
Clarke County,JACKSON DOWNTOWN FIRE,272.0,358.0,268.0,354.0,301.0,,,329.0,,,384.0,200.0,,208.0,270.0,322.0,Clarke County,JACKSON DOWNTOWN FIRE
Clarke County,JACKSON NATIONAL GUARD,77.0,450.0,71.0,452.0,120.0,,,405.0,,,443.0,52.0,,254.0,72.0,449.0,Clarke County,JACKSON NATIONAL GUARD
Clarke County,JACKSON-SKIPPER FIRE STA,272.0,428.0,261.0,432.0,318.0,,,380.0,,,429.0,188.0,,233.0,264.0,435.0,Clarke County,JACKSON-SKIPPER FIRE STA
Clarke County,MORNING STAR CHURCH #2,172.0,37.0,178.0,25.0,185.0,,,,,,37.0,144.0,,16.0,181.0,,Clarke County,MORNING STAR CHURCH #2
Clarke County,NETTLESBORO FIRE STATION,48.0,111.0,52.0,101.0,64.0,,,,,,109.0,37.0,,80.0,65.0,,Clarke County,NETTLESBORO FIRE STATION
Clarke County,OPINE - TALLAHATTA,4.0,101.0,5.0,99.0,16.0,,,,,,100.0,2.0,,74.0,20.0,,Clarke County,OPINE - TALLAHATTA
Clarke County,PROVISIONAL,24.0,31.0,24.0,30.0,25.0,,,15.0,,,32.0,19.0,,22.0,24.0,14.0,Clarke County,PROVISIONAL
Clarke County,ROCKVILLE VOTING HOUSE,94.0,48.0,92.0,48.0,96.0,,,43.0,,,53.0,85.0,,31.0,96.0,,Clarke County,ROCKVILLE VOTING HOUSE
Clarke County,SALITPA FIRE DEPT_,63.0,78.0,58.0,81.0,62.0,,,79.0,,,84.0,49.0,,53.0,58.0,81.0,Clarke County,SALITPA FIRE DEPT_
Clarke County,SPRINGFIELD METH CHURCH,16.0,254.0,12.0,257.0,41.0,,,,,,250.0,4.0,,190.0,47.0,,Clarke County,SPRINGFIELD METH CHURCH
Clarke County,T'VILLE BASHI RD FIRE,197.0,362.0,188.0,366.0,237.0,,,,,,366.0,146.0,,242.0,232.0,,Clarke County,T'VILLE BASHI RD FIRE
Clarke County,THOMASVIL  ADULT ED BLDG_,409.0,206.0,419.0,190.0,445.0,,,,,,214.0,336.0,,113.0,449.0,,Clarke County,THOMASVIL  ADULT ED BLDG_
Clarke County,THOMASVILLE CITY HALL,280.0,539.0,278.0,533.0,354.0,,,,,,544.0,195.0,,337.0,353.0,,Clarke County,THOMASVILLE CITY HALL
Clarke County,WALKER SPR OVERSTREET GRO,194.0,140.0,193.0,138.0,205.0,,,125.0,,,135.0,155.0,,90.0,204.0,,Clarke County,WALKER SPR OVERSTREET GRO
Clarke County,WALNUT GROVE CHURCH,107.0,30.0,107.0,30.0,108.0,,,0.0,,,35.0,104.0,,26.0,108.0,,Clarke County,WALNUT GROVE CHURCH
Clarke County,WHATLEY,107.0,82.0,115.0,70.0,120.0,,,,,,77.0,86.0,,46.0,118.0,,Clarke County,WHATLEY
Clarke County,WINN FIRE DEPT,149.0,88.0,147.0,90.0,160.0,,,73.0,,,95.0,120.0,,54.0,159.0,,Clarke County,WINN FIRE DEPT
