county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Clay County,ABSENTEE,50.0,172.0,38.0,175.0,5.0,,,169.0,41.0,,173.0,29.0,,78.0,39.0,180.0,Clay County,ABSENTEE
Clay County,ASHLAND ARMORY,348.0,883.0,303.0,912.0,5.0,,,941.0,292.0,,918.0,181.0,,409.0,287.0,934.0,Clay County,ASHLAND ARMORY
Clay County,BARFIELD VOL FIRE,83.0,408.0,54.0,435.0,,,,426.0,61.0,,428.0,38.0,,184.0,61.0,430.0,Clay County,BARFIELD VOL FIRE
Clay County,BIBB GRAVES SCH/COMM CTR,78.0,245.0,80.0,236.0,77.0,,,238.0,82.0,,232.0,57.0,,101.0,76.0,243.0,Clay County,BIBB GRAVES SCH/COMM CTR
Clay County,BLUFF SPRINGS FIRE,29.0,269.0,21.0,277.0,18.0,,,273.0,19.0,,273.0,4.0,,148.0,18.0,281.0,Clay County,BLUFF SPRINGS FIRE
Clay County,COLETA VALLEY FIRE,12.0,99.0,12.0,96.0,18.0,,,90.0,13.0,,92.0,5.0,,44.0,9.0,100.0,Clay County,COLETA VALLEY FIRE
Clay County,CRAGFORD FIRE,18.0,126.0,19.0,121.0,,,,116.0,13.0,,125.0,6.0,,66.0,18.0,125.0,Clay County,CRAGFORD FIRE
Clay County,DELTA COMMUNITY CTR,28.0,193.0,18.0,200.0,,,,195.0,28.0,,188.0,11.0,,110.0,20.0,199.0,Clay County,DELTA COMMUNITY CTR
Clay County,FARMER'S MARKET,366.0,585.0,348.0,595.0,,,,619.0,367.0,,582.0,247.0,,257.0,342.0,614.0,Clay County,FARMER'S MARKET
Clay County,HIGHLAND COPPERMINE,12.0,147.0,12.0,145.0,,,,144.0,9.0,,143.0,3.0,,71.0,11.0,149.0,Clay County,HIGHLAND COPPERMINE
Clay County,HIPINE FIRE DEPT,15.0,58.0,4.0,62.0,2.0,,,64.0,2.0,,63.0,1.0,,25.0,6.0,65.0,Clay County,HIPINE FIRE DEPT
Clay County,HOLLINS COMM CTR,30.0,201.0,25.0,202.0,30.0,,,198.0,25.0,,200.0,17.0,,114.0,24.0,203.0,Clay County,HOLLINS COMM CTR
Clay County,IDAHO FIRE DEPT,22.0,178.0,17.0,178.0,,,,181.0,18.0,,173.0,9.0,,92.0,14.0,184.0,Clay County,IDAHO FIRE DEPT
Clay County,MELLOW VALLEY HIGH,39.0,239.0,29.0,249.0,,,,253.0,28.0,,250.0,10.0,,130.0,23.0,256.0,Clay County,MELLOW VALLEY HIGH
Clay County,PROVISIONAL,5.0,11.0,5.0,10.0,0.0,,,8.0,4.0,,9.0,5.0,,8.0,6.0,10.0,Clay County,PROVISIONAL
Clay County,SHINBONE VFD,26.0,152.0,19.0,154.0,,,,154.0,20.0,,156.0,9.0,,83.0,23.0,155.0,Clay County,SHINBONE VFD
Clay County,TRI-COMMUNITY FIRE,80.0,198.0,73.0,201.0,68.0,,,206.0,74.0,,199.0,57.0,,81.0,74.0,203.0,Clay County,TRI-COMMUNITY FIRE
