county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Cleburne County,ABEL VOTING HOUSE,8.0,117.0,4.0,120.0,6.0,,,118.0,7.0,,119.0,3.0,,95.0,7.0,118.0,Cleburne County,ABEL VOTING HOUSE
Cleburne County,ABSENTEE,26.0,190.0,24.0,190.0,11.0,,,191.0,28.0,,187.0,12.0,,148.0,25.0,189.0,Cleburne County,ABSENTEE
Cleburne County,BORDEN SPRINGS VFD,15.0,88.0,15.0,87.0,,,,94.0,19.0,,84.0,4.0,,71.0,19.0,84.0,Cleburne County,BORDEN SPRINGS VFD
Cleburne County,CHULAFINNEE MASONIC,106.0,479.0,105.0,478.0,100.0,,,481.0,124.0,,460.0,64.0,,346.0,96.0,490.0,Cleburne County,CHULAFINNEE MASONIC
Cleburne County,EDWARDSVILLE COMM,17.0,243.0,16.0,242.0,,,,241.0,26.0,,237.0,7.0,,182.0,16.0,248.0,Cleburne County,EDWARDSVILLE COMM
Cleburne County,FRUITHURST CITY HALL,28.0,209.0,29.0,203.0,,,,209.0,34.0,,201.0,16.0,,167.0,28.0,208.0,Cleburne County,FRUITHURST CITY HALL
Cleburne County,GREENS CHAPEL UMC,19.0,124.0,17.0,128.0,15.0,,,126.0,26.0,,119.0,12.0,,100.0,17.0,128.0,Cleburne County,GREENS CHAPEL UMC
Cleburne County,HEFLIN RECREATIONAL CTR,101.0,438.0,75.0,453.0,,,,439.0,117.0,,419.0,37.0,,320.0,79.0,458.0,Cleburne County,HEFLIN RECREATIONAL CTR
Cleburne County,HOPEWELL SCHOOL,27.0,322.0,21.0,325.0,0.0,,,328.0,27.0,,318.0,13.0,,270.0,22.0,327.0,Cleburne County,HOPEWELL SCHOOL
Cleburne County,MICAVILLE VFD,11.0,211.0,12.0,210.0,9.0,,,214.0,16.0,,206.0,1.0,,166.0,8.0,215.0,Cleburne County,MICAVILLE VFD
Cleburne County,MUSCADINE VFD,19.0,129.0,15.0,128.0,,,,131.0,14.0,,132.0,8.0,,104.0,12.0,135.0,Cleburne County,MUSCADINE VFD
Cleburne County,OAK LEVEL PINEYWOODS,33.0,193.0,30.0,193.0,,,,192.0,32.0,,193.0,16.0,,150.0,31.0,195.0,Cleburne County,OAK LEVEL PINEYWOODS
Cleburne County,PLAINVIEW VFD,13.0,119.0,12.0,116.0,,,,119.0,13.0,,117.0,6.0,,95.0,12.0,118.0,Cleburne County,PLAINVIEW VFD
Cleburne County,PROVISIONAL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Cleburne County,PROVISIONAL
Cleburne County,RANBURNE VFD,50.0,781.0,38.0,788.0,32.0,,,795.0,40.0,,792.0,15.0,,620.0,49.0,784.0,Cleburne County,RANBURNE VFD
Cleburne County,TURKEY HEAVEN VFD,35.0,259.0,40.0,252.0,30.0,,,254.0,48.0,,246.0,21.0,,194.0,41.0,253.0,Cleburne County,TURKEY HEAVEN VFD
