county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Coffee County,ABSENTEE,86.0,334.0,92.0,329.0,1.0,,,349.0,,,344.0,53.0,,256.0,93.0,329.0,Coffee County,ABSENTEE
Coffee County,BASIN VOTING HOUSE,27.0,200.0,23.0,208.0,0.0,,,198.0,,,202.0,16.0,,151.0,31.0,198.0,Coffee County,BASIN VOTING HOUSE
Coffee County,BLUFF SPRINGS VOTING HOUS,2.0,54.0,3.0,51.0,,,,49.0,,,52.0,0.0,,39.0,3.0,52.0,Coffee County,BLUFF SPRINGS VOTING HOUS
Coffee County,CHESTNUT GROVE VOTING,5.0,95.0,4.0,95.0,,,,90.0,,,91.0,2.0,,71.0,12.0,87.0,Coffee County,CHESTNUT GROVE VOTING
Coffee County,COOL SPRINGS,81.0,497.0,88.0,492.0,,,,510.0,,,509.0,36.0,,397.0,94.0,487.0,Coffee County,COOL SPRINGS
Coffee County,DAMASCUS SENIOR CENTER,25.0,329.0,26.0,331.0,,,,330.0,,,331.0,15.0,,237.0,34.0,321.0,Coffee County,DAMASCUS SENIOR CENTER
Coffee County,EANON VOTING HOUSE,22.0,310.0,24.0,307.0,,,,312.0,,,313.0,9.0,,228.0,31.0,301.0,Coffee County,EANON VOTING HOUSE
Coffee County,ELBA NATIONAL GUARD,85.0,198.0,80.0,203.0,58.0,,,202.0,,,205.0,67.0,,151.0,91.0,191.0,Coffee County,ELBA NATIONAL GUARD
Coffee County,ELBA REC CENTER,152.0,516.0,150.0,514.0,42.0,,,517.0,,,526.0,103.0,,370.0,170.0,496.0,Coffee County,ELBA REC CENTER
Coffee County,ENTERPRISE REC_ CENTER,478.0,1806.0,486.0,1804.0,,,,1887.0,,,1881.0,298.0,,1353.0,529.0,1766.0,Coffee County,ENTERPRISE REC_ CENTER
Coffee County,EPRISE STATE COMM COLLEGE,338.0,657.0,355.0,638.0,,,,710.0,,,701.0,254.0,,483.0,363.0,627.0,Coffee County,EPRISE STATE COMM COLLEGE
Coffee County,FARM CTR_ COMM_ ROOM,93.0,428.0,86.0,440.0,,,,436.0,,,433.0,65.0,,332.0,100.0,423.0,Coffee County,FARM CTR_ COMM_ ROOM
Coffee County,FRISCO VOTING HOUSE,93.0,199.0,87.0,211.0,,,,216.0,,,214.0,76.0,,146.0,92.0,206.0,Coffee County,FRISCO VOTING HOUSE
Coffee County,GOODMAN VOTING HOUSE,32.0,303.0,37.0,296.0,,,,304.0,,,301.0,17.0,,243.0,45.0,287.0,Coffee County,GOODMAN VOTING HOUSE
Coffee County,HERITAGE UMC,513.0,823.0,534.0,804.0,,,,885.0,,,886.0,353.0,,583.0,532.0,803.0,Coffee County,HERITAGE UMC
Coffee County,HOLLEY'S STORE,5.0,80.0,5.0,80.0,,,,81.0,,,80.0,1.0,,56.0,6.0,75.0,Coffee County,HOLLEY'S STORE
Coffee County,INO SENIOR CENTER,10.0,129.0,11.0,127.0,,,,127.0,,,127.0,4.0,,100.0,17.0,122.0,Coffee County,INO SENIOR CENTER
Coffee County,JOHNS CHAPEL AME,659.0,498.0,681.0,477.0,,,,534.0,,,528.0,579.0,,353.0,691.0,469.0,Coffee County,JOHNS CHAPEL AME
Coffee County,KINSTON CITY HALL,21.0,293.0,16.0,295.0,,,,290.0,,,295.0,10.0,,206.0,37.0,277.0,Coffee County,KINSTON CITY HALL
Coffee County,LEE COMMUNITY VOTING HOUS,18.0,70.0,17.0,71.0,,,,66.0,,,67.0,15.0,,53.0,18.0,70.0,Coffee County,LEE COMMUNITY VOTING HOUS
Coffee County,MT PLEASANT SR_ CTR_,60.0,840.0,62.0,840.0,,,,840.0,,,840.0,38.0,,653.0,82.0,812.0,Coffee County,MT PLEASANT SR_ CTR_
Coffee County,NEW BROCKTON SR_ CTR_,109.0,141.0,114.0,140.0,,,,146.0,,,144.0,85.0,,104.0,119.0,136.0,Coffee County,NEW BROCKTON SR_ CTR_
Coffee County,NEWBIA VOTING HOUSE,15.0,70.0,16.0,69.0,,,,71.0,,,73.0,4.0,,57.0,16.0,68.0,Coffee County,NEWBIA VOTING HOUSE
Coffee County,PINE LEVEL SR_ CTR_,9.0,148.0,9.0,147.0,9.0,,,146.0,,,145.0,4.0,,104.0,11.0,146.0,Coffee County,PINE LEVEL SR_ CTR_
Coffee County,PLEASANT RIDGE VOTING,67.0,415.0,68.0,414.0,,,,421.0,,,421.0,41.0,,320.0,75.0,406.0,Coffee County,PLEASANT RIDGE VOTING
Coffee County,PROVISONAL,27.0,51.0,31.0,47.0,2.0,,,49.0,,,49.0,23.0,,45.0,29.0,49.0,Coffee County,PROVISONAL
Coffee County,VICTORIA BAPTIST CHURCH,12.0,179.0,13.0,180.0,,,,172.0,,,173.0,5.0,,123.0,19.0,171.0,Coffee County,VICTORIA BAPTIST CHURCH
Coffee County,WISE MILL CHURCH,22.0,202.0,22.0,203.0,,,,195.0,,,193.0,12.0,,164.0,26.0,199.0,Coffee County,WISE MILL CHURCH
Coffee County,YMCA,522.0,1951.0,509.0,1958.0,,,,2045.0,,,2036.0,322.0,,1434.0,562.0,1899.0,Coffee County,YMCA
Coffee County,ZION CHAPEL SR_ CTR_,27.0,248.0,24.0,252.0,,,,250.0,,,255.0,13.0,,191.0,35.0,239.0,Coffee County,ZION CHAPEL SR_ CTR_
Coffee County,ZION CHRISTIAN COMM,167.0,53.0,177.0,44.0,154.0,,,45.0,,,64.0,151.0,,25.0,179.0,42.0,Coffee County,ZION CHRISTIAN COMM
