county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Colbert County,ABSENTEE,272.0,485.0,264.0,481.0,302.0,,,452.0,341.0,,408.0,205.0,,237.0,263.0,486.0,Colbert County,ABSENTEE
Colbert County,ALLSBORO CUMBERLAND PRES_,12.0,50.0,13.0,48.0,15.0,,,46.0,29.0,,32.0,6.0,,14.0,11.0,48.0,Colbert County,ALLSBORO CUMBERLAND PRES_
Colbert County,BARTON FIRST BAPTIST,163.0,226.0,158.0,226.0,164.0,,,220.0,194.0,,189.0,134.0,,89.0,157.0,229.0,Colbert County,BARTON FIRST BAPTIST
Colbert County,CAVE SPRINGS MIS_ BAPTIST,119.0,22.0,123.0,18.0,123.0,,,19.0,123.0,,19.0,113.0,,4.0,121.0,20.0,Colbert County,CAVE SPRINGS MIS_ BAPTIST
Colbert County,CHEROKEE LIONS DEN,226.0,425.0,231.0,396.0,223.0,,,413.0,322.0,,327.0,147.0,,128.0,211.0,426.0,Colbert County,CHEROKEE LIONS DEN
Colbert County,COARMM,68.0,91.0,71.0,90.0,69.0,,,92.0,75.0,,86.0,48.0,,56.0,65.0,94.0,Colbert County,COARMM
Colbert County,COLBERT HEIGHTS BAPTIST,186.0,676.0,165.0,674.0,177.0,,,676.0,285.0,,559.0,77.0,,253.0,153.0,690.0,Colbert County,COLBERT HEIGHTS BAPTIST
Colbert County,COUNTY HIGHWAY DEPT_,175.0,601.0,144.0,617.0,189.0,,,575.0,279.0,,491.0,89.0,,276.0,130.0,637.0,Colbert County,COUNTY HIGHWAY DEPT_
Colbert County,EAST COLBERT SEN_ CTR,309.0,774.0,281.0,785.0,331.0,,,751.0,393.0,,682.0,152.0,,329.0,268.0,806.0,Colbert County,EAST COLBERT SEN_ CTR
Colbert County,FIRST SOUTHERN BAPTIST CH,218.0,606.0,162.0,656.0,289.0,,,537.0,293.0,,527.0,84.0,,275.0,144.0,670.0,Colbert County,FIRST SOUTHERN BAPTIST CH
Colbert County,GATMAN PARK & REC_ CTR_,303.0,654.0,280.0,667.0,369.0,,,586.0,400.0,,536.0,172.0,,307.0,271.0,675.0,Colbert County,GATMAN PARK & REC_ CTR_
Colbert County,GRACE LIFE CHURCH,550.0,808.0,514.0,818.0,598.0,,,767.0,663.0,,678.0,326.0,,390.0,485.0,857.0,Colbert County,GRACE LIFE CHURCH
Colbert County,HATTON BAPTIST CHURCH,342.0,377.0,353.0,361.0,376.0,,,346.0,391.0,,325.0,268.0,,166.0,344.0,371.0,Colbert County,HATTON BAPTIST CHURCH
Colbert County,HOPE HAVEN SCHOOL,220.0,549.0,193.0,552.0,249.0,,,512.0,278.0,,484.0,111.0,,217.0,185.0,570.0,Colbert County,HOPE HAVEN SCHOOL
Colbert County,LA GRANGE FIRE DEPT,66.0,301.0,63.0,293.0,71.0,,,292.0,121.0,,236.0,36.0,,137.0,62.0,300.0,Colbert County,LA GRANGE FIRE DEPT
Colbert County,LEIGHTON CITY HALL,186.0,71.0,179.0,73.0,188.0,,,66.0,196.0,,60.0,150.0,,29.0,178.0,75.0,Colbert County,LEIGHTON CITY HALL
Colbert County,LEIGHTON CIVIC CTR,218.0,299.0,212.0,295.0,217.0,,,299.0,246.0,,268.0,155.0,,123.0,203.0,309.0,Colbert County,LEIGHTON CIVIC CTR
Colbert County,LITTLEVILLE CITY HALL,136.0,475.0,135.0,465.0,139.0,,,467.0,246.0,,359.0,61.0,,235.0,119.0,483.0,Colbert County,LITTLEVILLE CITY HALL
Colbert County,MARGERUM COMMUNITY CH,56.0,163.0,55.0,162.0,58.0,,,157.0,66.0,,153.0,32.0,,73.0,52.0,164.0,Colbert County,MARGERUM COMMUNITY CH
Colbert County,MUSCLE SHOALS CITY HALL,385.0,725.0,365.0,734.0,438.0,,,671.0,485.0,,618.0,233.0,,352.0,354.0,742.0,Colbert County,MUSCLE SHOALS CITY HALL
Colbert County,MYNOT BAPTIST CHURCH,9.0,62.0,10.0,57.0,10.0,,,58.0,19.0,,52.0,7.0,,30.0,8.0,59.0,Colbert County,MYNOT BAPTIST CHURCH
Colbert County,NEW BETHEL FIRE DEPT,112.0,391.0,103.0,397.0,108.0,,,387.0,175.0,,323.0,57.0,,172.0,93.0,403.0,Colbert County,NEW BETHEL FIRE DEPT
Colbert County,PARKVIEW BAPTIST CHURCH,537.0,337.0,520.0,344.0,535.0,,,334.0,587.0,,285.0,434.0,,158.0,510.0,353.0,Colbert County,PARKVIEW BAPTIST CHURCH
Colbert County,PLUMBER STEAMFITTER UNION,230.0,309.0,216.0,317.0,232.0,,,300.0,266.0,,261.0,148.0,,131.0,202.0,329.0,Colbert County,PLUMBER STEAMFITTER UNION
Colbert County,PRIDE MISSIONARY BAPTIST,136.0,322.0,124.0,332.0,125.0,,,325.0,190.0,,268.0,78.0,,147.0,118.0,334.0,Colbert County,PRIDE MISSIONARY BAPTIST
