county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Conecuh County,2ND MOUNT ZION CHURCH,56.0,13.0,55.0,13.0,56.0,,,,55.0,8.0,,52.0,,5.0,56.0,12.0,Conecuh County,2ND MOUNT ZION CHURCH
Conecuh County,ABSENTEE,153.0,73.0,152.0,74.0,157.0,,,34.0,151.0,38.0,,144.0,,43.0,151.0,74.0,Conecuh County,ABSENTEE
Conecuh County,ANNEX VOTING HOUSE,67.0,31.0,68.0,28.0,68.0,,,,69.0,11.0,,65.0,,19.0,70.0,25.0,Conecuh County,ANNEX VOTING HOUSE
Conecuh County,ANTIOCH VOTING HOU/FIRE D,28.0,169.0,22.0,171.0,22.0,,,171.0,24.0,79.0,,18.0,,98.0,39.0,157.0,Conecuh County,ANTIOCH VOTING HOU/FIRE D
Conecuh County,BELLEVILLE FIRE DEPT_,279.0,78.0,281.0,72.0,286.0,,,,282.0,40.0,,272.0,,37.0,284.0,69.0,Conecuh County,BELLEVILLE FIRE DEPT_
Conecuh County,BERMUDA COMMUNTIY CTR_,49.0,114.0,40.0,122.0,55.0,,,,42.0,66.0,,33.0,,70.0,40.0,123.0,Conecuh County,BERMUDA COMMUNTIY CTR_
Conecuh County,BROOKLYN MASONIC LODGE,18.0,41.0,15.0,41.0,15.0,,,43.0,15.0,16.0,,11.0,,29.0,16.0,42.0,Conecuh County,BROOKLYN MASONIC LODGE
Conecuh County,BROWNVILLE FIRE DEPT_,54.0,82.0,57.0,75.0,56.0,,,72.0,57.0,39.0,,51.0,,39.0,55.0,73.0,Conecuh County,BROWNVILLE FIRE DEPT_
Conecuh County,CARVER RECREATION,358.0,83.0,362.0,77.0,373.0,,,,363.0,47.0,,344.0,,40.0,366.0,69.0,Conecuh County,CARVER RECREATION
Conecuh County,CASTLEBERRY FIRE DEPT_,117.0,34.0,116.0,35.0,125.0,,,,118.0,11.0,,115.0,,21.0,117.0,32.0,Conecuh County,CASTLEBERRY FIRE DEPT_
Conecuh County,CHINA REC_ & ED_ CENTER,103.0,71.0,106.0,67.0,106.0,,,,103.0,29.0,,96.0,,46.0,104.0,68.0,Conecuh County,CHINA REC_ & ED_ CENTER
Conecuh County,DAVID BURT BUILDING,166.0,297.0,162.0,294.0,198.0,,,,161.0,199.0,,133.0,,152.0,163.0,292.0,Conecuh County,DAVID BURT BUILDING
Conecuh County,FLAT ROCK FIRE DEPT_,18.0,57.0,16.0,56.0,17.0,,,55.0,16.0,28.0,,13.0,,30.0,19.0,56.0,Conecuh County,FLAT ROCK FIRE DEPT_
Conecuh County,HEALTH DEPARTMENT,173.0,54.0,175.0,49.0,177.0,,,,171.0,36.0,,164.0,,30.0,175.0,50.0,Conecuh County,HEALTH DEPARTMENT
Conecuh County,HERBERT FIRE,13.0,72.0,15.0,71.0,14.0,,,72.0,16.0,37.0,,13.0,,33.0,16.0,70.0,Conecuh County,HERBERT FIRE
Conecuh County,JOHNSVILLE FIRE DEPT_,88.0,4.0,89.0,3.0,89.0,,,3.0,89.0,0.0,,88.0,,2.0,89.0,4.0,Conecuh County,JOHNSVILLE FIRE DEPT_
Conecuh County,LENOX COMMUNITY HOUSE,8.0,130.0,7.0,128.0,7.0,,,127.0,7.0,81.0,,5.0,,75.0,7.0,129.0,Conecuh County,LENOX COMMUNITY HOUSE
Conecuh County,LITTLE ZION CHURCH,57.0,43.0,59.0,39.0,59.0,,,39.0,59.0,19.0,,52.0,,24.0,60.0,38.0,Conecuh County,LITTLE ZION CHURCH
Conecuh County,LYEFFION FIRE DEPT_,51.0,157.0,51.0,153.0,71.0,,,,54.0,97.0,,43.0,,82.0,52.0,153.0,Conecuh County,LYEFFION FIRE DEPT_
Conecuh County,NAZARENE BAPTIST CHURCH,117.0,49.0,117.0,48.0,119.0,,,47.0,120.0,25.0,,115.0,,31.0,118.0,49.0,Conecuh County,NAZARENE BAPTIST CHURCH
Conecuh County,OLD CASTLEBERRY NUTRITION,35.0,215.0,34.0,205.0,35.0,,,205.0,29.0,98.0,,23.0,,133.0,32.0,206.0,Conecuh County,OLD CASTLEBERRY NUTRITION
Conecuh County,OLD FIELD CHURCH,138.0,60.0,136.0,60.0,142.0,,,,138.0,25.0,,131.0,,35.0,136.0,59.0,Conecuh County,OLD FIELD CHURCH
Conecuh County,PAUL FIRE DEPT_,41.0,58.0,41.0,57.0,40.0,,,57.0,39.0,23.0,,33.0,,44.0,43.0,55.0,Conecuh County,PAUL FIRE DEPT_
Conecuh County,PROVISIONAL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,Conecuh County,PROVISIONAL
Conecuh County,RANGE FIRE DEPT_,11.0,93.0,9.0,94.0,8.0,,,92.0,7.0,65.0,,1.0,,51.0,7.0,95.0,Conecuh County,RANGE FIRE DEPT_
Conecuh County,REPTON TOWN HALL,140.0,147.0,144.0,145.0,141.0,,,141.0,139.0,95.0,,121.0,,74.0,140.0,147.0,Conecuh County,REPTON TOWN HALL
Conecuh County,ROBINSONS MILL VOTING HOU,84.0,53.0,85.0,50.0,96.0,,,,83.0,36.0,,79.0,,20.0,86.0,50.0,Conecuh County,ROBINSONS MILL VOTING HOU
Conecuh County,SANDCUTT FIRE DEPT_,10.0,160.0,8.0,162.0,10.0,,,155.0,9.0,68.0,,4.0,,107.0,8.0,162.0,Conecuh County,SANDCUTT FIRE DEPT_
Conecuh County,SKINNERTON FIRE DEPT_,12.0,35.0,13.0,33.0,12.0,,,,13.0,11.0,,12.0,,20.0,14.0,32.0,Conecuh County,SKINNERTON FIRE DEPT_
