county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Covington County,ABSENTEE,59.0,331.0,53.0,338.0,,,,343.0,,,344.0,37.0,,259.0,57.0,338.0,Covington County,ABSENTEE
Covington County,ANDALUSIA KIWANIS FAIR BD,910.0,2046.0,853.0,2086.0,,,,2150.0,,,2153.0,662.0,,1452.0,926.0,2021.0,Covington County,ANDALUSIA KIWANIS FAIR BD
Covington County,BABBIE  FIRE,24.0,355.0,19.0,356.0,,,,349.0,,,349.0,10.0,,272.0,29.0,345.0,Covington County,BABBIE  FIRE
Covington County,BEULAH VOTING HOUSE,16.0,209.0,15.0,211.0,,,,203.0,,,203.0,12.0,,162.0,25.0,197.0,Covington County,BEULAH VOTING HOUSE
Covington County,BLUE SPRINGS HORN HILL,14.0,252.0,15.0,247.0,,,,247.0,,,246.0,6.0,,196.0,30.0,232.0,Covington County,BLUE SPRINGS HORN HILL
Covington County,BUCK CREEK FIRE,23.0,252.0,22.0,253.0,,,,250.0,,,251.0,11.0,,189.0,28.0,244.0,Covington County,BUCK CREEK FIRE
Covington County,CAROLINA CITY HALL,23.0,337.0,24.0,336.0,,,,337.0,,,338.0,12.0,,253.0,25.0,334.0,Covington County,CAROLINA CITY HALL
Covington County,FLORALA OLD NATL GUARD,140.0,471.0,136.0,470.0,,,,477.0,,,481.0,118.0,,350.0,143.0,467.0,Covington County,FLORALA OLD NATL GUARD
Covington County,GANTT CITY HALL,78.0,410.0,69.0,418.0,,,,418.0,,,418.0,48.0,,283.0,88.0,402.0,Covington County,GANTT CITY HALL
Covington County,HARMONY,15.0,236.0,15.0,234.0,,,,234.0,,,236.0,2.0,,159.0,26.0,222.0,Covington County,HARMONY
Covington County,HEATH CITY HALL,45.0,299.0,47.0,295.0,,,,302.0,,,303.0,32.0,,238.0,47.0,295.0,Covington County,HEATH CITY HALL
Covington County,HOPEWELL,18.0,163.0,16.0,163.0,,,,165.0,,,163.0,10.0,,134.0,18.0,161.0,Covington County,HOPEWELL
Covington County,LIBERTYVILLE CITY HALL,9.0,188.0,8.0,191.0,,,,189.0,,,190.0,4.0,,142.0,12.0,186.0,Covington County,LIBERTYVILLE CITY HALL
Covington County,LOANGO FIRE DEPARTMENT,27.0,148.0,24.0,150.0,,,,144.0,,,147.0,19.0,,95.0,42.0,130.0,Covington County,LOANGO FIRE DEPARTMENT
Covington County,LOCKHART CITY HALL,59.0,265.0,60.0,263.0,,,,259.0,,,260.0,42.0,,187.0,66.0,258.0,Covington County,LOCKHART CITY HALL
Covington County,MARVIN ODOMS PLACE,17.0,97.0,12.0,103.0,,,,100.0,,,99.0,9.0,,65.0,20.0,96.0,Covington County,MARVIN ODOMS PLACE
Covington County,OPP SENIOR ACTIVITY CTR,375.0,1657.0,374.0,1649.0,,,,1669.0,,,1671.0,291.0,,1264.0,425.0,1600.0,Covington County,OPP SENIOR ACTIVITY CTR
Covington County,PLEASANT HOME/CATOE'S,6.0,103.0,3.0,105.0,,,,101.0,,,101.0,2.0,,72.0,5.0,104.0,Covington County,PLEASANT HOME/CATOE'S
Covington County,PROVSIONAL,6.0,14.0,6.0,15.0,,,,17.0,,,17.0,0.0,,0.0,6.0,15.0,Covington County,PROVSIONAL
Covington County,RED LEVEL FIRE DEPARTMENT,29.0,239.0,23.0,245.0,,,,241.0,,,243.0,19.0,,186.0,37.0,228.0,Covington County,RED LEVEL FIRE DEPARTMENT
Covington County,RED OAK,22.0,183.0,15.0,187.0,,,,186.0,,,186.0,8.0,,137.0,28.0,173.0,Covington County,RED OAK
Covington County,RIVER FALLS CITY HALL,115.0,180.0,112.0,183.0,,,,185.0,,,187.0,97.0,,122.0,115.0,181.0,Covington County,RIVER FALLS CITY HALL
Covington County,ROSE HILL COMMUNITY CTR,39.0,241.0,35.0,245.0,,,,247.0,,,246.0,15.0,,177.0,41.0,239.0,Covington County,ROSE HILL COMMUNITY CTR
Covington County,SANFORD  CITY HALL,35.0,363.0,20.0,377.0,,,,368.0,,,368.0,12.0,,286.0,40.0,360.0,Covington County,SANFORD  CITY HALL
Covington County,STRAUGHN (AG BUILDING),23.0,417.0,26.0,415.0,,,,411.0,,,419.0,10.0,,309.0,35.0,404.0,Covington County,STRAUGHN (AG BUILDING)
Covington County,UNION GROVE FIRE,29.0,234.0,31.0,231.0,,,,230.0,,,230.0,16.0,,178.0,36.0,225.0,Covington County,UNION GROVE FIRE
Covington County,WING FIRE DEPARTMENT,12.0,162.0,14.0,159.0,,,,160.0,,,161.0,11.0,,133.0,13.0,160.0,Covington County,WING FIRE DEPARTMENT
