county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Crenshaw County,ABSENTEE,86.0,238.0,72.0,244.0,69.0,,,250.0,57.0,,261.0,41.0,,118.0,96.0,223.0,Crenshaw County,ABSENTEE
Crenshaw County,BRANTLEY COMMUNITY CTR_,171.0,406.0,178.0,390.0,171.0,,,396.0,166.0,,403.0,138.0,,153.0,190.0,381.0,Crenshaw County,BRANTLEY COMMUNITY CTR_
Crenshaw County,BUSH'S GROCERY,13.0,32.0,13.0,30.0,12.0,,,32.0,14.0,,29.0,8.0,,19.0,15.0,27.0,Crenshaw County,BUSH'S GROCERY
Crenshaw County,CHAPEL HILL COMMUNITY CTR,21.0,270.0,24.0,256.0,29.0,,,256.0,23.0,,259.0,13.0,,149.0,42.0,243.0,Crenshaw County,CHAPEL HILL COMMUNITY CTR
Crenshaw County,COUNTY COURTHOUSE,172.0,538.0,153.0,554.0,164.0,,,547.0,138.0,,576.0,88.0,,221.0,199.0,513.0,Crenshaw County,COUNTY COURTHOUSE
Crenshaw County,DANIELVILLE SCHOOL HOUSE,23.0,183.0,24.0,180.0,21.0,,,186.0,20.0,,183.0,8.0,,94.0,38.0,166.0,Crenshaw County,DANIELVILLE SCHOOL HOUSE
Crenshaw County,DOZIER CITY HALL,71.0,157.0,75.0,150.0,71.0,,,149.0,73.0,,149.0,54.0,,81.0,81.0,148.0,Crenshaw County,DOZIER CITY HALL
Crenshaw County,GLENWOOD CITY HALL,36.0,129.0,37.0,125.0,41.0,,,121.0,37.0,,128.0,28.0,,74.0,40.0,125.0,Crenshaw County,GLENWOOD CITY HALL
Crenshaw County,HARBIN FARM CENTER,287.0,121.0,276.0,129.0,282.0,,,125.0,274.0,,131.0,232.0,,35.0,292.0,115.0,Crenshaw County,HARBIN FARM CENTER
Crenshaw County,HIGHLAND HOME NEW FIRE,54.0,318.0,45.0,325.0,48.0,,,323.0,40.0,,328.0,28.0,,143.0,78.0,295.0,Crenshaw County,HIGHLAND HOME NEW FIRE
Crenshaw County,LILLER'S STORE,21.0,174.0,21.0,165.0,25.0,,,166.0,18.0,,169.0,14.0,,102.0,27.0,167.0,Crenshaw County,LILLER'S STORE
Crenshaw County,PANOLA COMMUNITY CTR_,71.0,187.0,80.0,172.0,75.0,,,181.0,73.0,,179.0,50.0,,99.0,86.0,167.0,Crenshaw County,PANOLA COMMUNITY CTR_
Crenshaw County,PATSBURG DEPOT BLDG_,3.0,126.0,2.0,127.0,4.0,,,124.0,1.0,,126.0,1.0,,56.0,13.0,113.0,Crenshaw County,PATSBURG DEPOT BLDG_
Crenshaw County,PETREY COMMUNITY CTR_,287.0,150.0,291.0,142.0,297.0,,,135.0,285.0,,146.0,242.0,,46.0,310.0,124.0,Crenshaw County,PETREY COMMUNITY CTR_
Crenshaw County,PLEASANT HOME SCHOOL,32.0,57.0,27.0,59.0,28.0,,,58.0,27.0,,57.0,27.0,,27.0,31.0,56.0,Crenshaw County,PLEASANT HOME SCHOOL
Crenshaw County,PROVISIONAL,0.0,4.0,1.0,3.0,1.0,,,3.0,1.0,,3.0,1.0,,2.0,1.0,3.0,Crenshaw County,PROVISIONAL
Crenshaw County,RUTLEDGE COMMUNITY CTR_,118.0,308.0,121.0,297.0,125.0,,,298.0,111.0,,309.0,96.0,,146.0,148.0,271.0,Crenshaw County,RUTLEDGE COMMUNITY CTR_
Crenshaw County,VFD HONORAVILLE,29.0,176.0,23.0,176.0,24.0,,,179.0,22.0,,180.0,13.0,,79.0,31.0,172.0,Crenshaw County,VFD HONORAVILLE
Crenshaw County,VIDETTE COMMUNITY CTR_,5.0,105.0,6.0,103.0,12.0,,,97.0,6.0,,104.0,2.0,,49.0,15.0,94.0,Crenshaw County,VIDETTE COMMUNITY CTR_
Crenshaw County,WEEDS STORE BRANTLEY,22.0,194.0,23.0,193.0,22.0,,,189.0,23.0,,190.0,11.0,,96.0,37.0,176.0,Crenshaw County,WEEDS STORE BRANTLEY
