county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Cullman County,ABSENTEE,172.0,659.0,160.0,663.0,,,,698.0,,,703.0,85.0,,473.0,147.0,682.0,Cullman County,ABSENTEE
Cullman County,ARKADELPHIA FIRE DEPT_,26.0,216.0,22.0,221.0,,,,223.0,,,227.0,5.0,,165.0,15.0,229.0,Cullman County,ARKADELPHIA FIRE DEPT_
Cullman County,BAILEYTON SR_ CENTER,45.0,523.0,42.0,523.0,,,,542.0,,,538.0,18.0,,346.0,39.0,532.0,Cullman County,BAILEYTON SR_ CENTER
Cullman County,BALDWIN COMMUNITY CENTER,52.0,340.0,41.0,348.0,,,,360.0,,,361.0,23.0,,257.0,42.0,347.0,Cullman County,BALDWIN COMMUNITY CENTER
Cullman County,BATTLEGROUND FIRE DEPT_,49.0,295.0,49.0,295.0,,,,302.0,,,306.0,26.0,,206.0,42.0,300.0,Cullman County,BATTLEGROUND FIRE DEPT_
Cullman County,BEAT 8 COMMUNITY CENTER,17.0,151.0,8.0,156.0,,,,156.0,,,157.0,2.0,,93.0,13.0,153.0,Cullman County,BEAT 8 COMMUNITY CENTER
Cullman County,BELLE VUE HALL,47.0,316.0,37.0,320.0,,,,330.0,,,328.0,15.0,,201.0,35.0,324.0,Cullman County,BELLE VUE HALL
Cullman County,BERLIN COMMUNITY CENTER,75.0,557.0,72.0,559.0,,,,574.0,,,584.0,35.0,,374.0,61.0,569.0,Cullman County,BERLIN COMMUNITY CENTER
Cullman County,BETHEL COMMUNITY CENTER,38.0,224.0,34.0,224.0,,,,222.0,,,223.0,15.0,,151.0,28.0,230.0,Cullman County,BETHEL COMMUNITY CENTER
Cullman County,BETHSADIA FIRE DEPT_,35.0,312.0,26.0,314.0,,,,314.0,,,312.0,14.0,,210.0,23.0,317.0,Cullman County,BETHSADIA FIRE DEPT_
Cullman County,BREMEN FIRE DEPT_,49.0,522.0,53.0,518.0,,,,528.0,,,533.0,26.0,,378.0,46.0,526.0,Cullman County,BREMEN FIRE DEPT_
Cullman County,BROOKLYN COMMUNITY CTR,42.0,278.0,33.0,288.0,,,,297.0,,,297.0,15.0,,204.0,32.0,287.0,Cullman County,BROOKLYN COMMUNITY CTR
Cullman County,BRUSHY POND COMMUNITY CTR,54.0,419.0,47.0,429.0,,,,432.0,,,435.0,22.0,,328.0,42.0,434.0,Cullman County,BRUSHY POND COMMUNITY CTR
Cullman County,CENTER HILL COMMUNITY CTR,33.0,215.0,25.0,223.0,,,,230.0,,,230.0,10.0,,135.0,18.0,230.0,Cullman County,CENTER HILL COMMUNITY CTR
Cullman County,COLD SPRINGS COMMUNITY CT,67.0,374.0,59.0,378.0,,,,378.0,,,388.0,39.0,,269.0,55.0,384.0,Cullman County,COLD SPRINGS COMMUNITY CT
Cullman County,COLONY TOWN HALL,156.0,76.0,158.0,74.0,,,,89.0,,,85.0,132.0,,57.0,155.0,77.0,Cullman County,COLONY TOWN HALL
Cullman County,COURT HOUSE CONF ROOM,84.0,428.0,61.0,447.0,,,,464.0,,,470.0,31.0,,307.0,60.0,452.0,Cullman County,COURT HOUSE CONF ROOM
Cullman County,CRANE HILL FIRE DEPT_,126.0,728.0,102.0,749.0,,,,754.0,,,761.0,57.0,,551.0,98.0,751.0,Cullman County,CRANE HILL FIRE DEPT_
Cullman County,CULLMAN CITY HALL,152.0,592.0,124.0,615.0,,,,638.0,,,657.0,65.0,,402.0,119.0,622.0,Cullman County,CULLMAN CITY HALL
Cullman County,CULLMAN CIVIC CENTER,556.0,2309.0,463.0,2383.0,,,,2479.0,,,2535.0,233.0,,1621.0,444.0,2416.0,Cullman County,CULLMAN CIVIC CENTER
Cullman County,CULLMAN CO OFFICE BLDG BA,197.0,789.0,152.0,826.0,,,,862.0,,,889.0,51.0,,501.0,136.0,849.0,Cullman County,CULLMAN CO OFFICE BLDG BA
Cullman County,CULLMAN CO_ HEALTH DEPT_,49.0,285.0,37.0,299.0,,,,299.0,,,301.0,21.0,,199.0,36.0,299.0,Cullman County,CULLMAN CO_ HEALTH DEPT_
Cullman County,DODGE CITY TOWN HALL,66.0,414.0,51.0,424.0,,,,437.0,,,433.0,33.0,,319.0,46.0,432.0,Cullman County,DODGE CITY TOWN HALL
Cullman County,EAST POINT COMMUNITY CTR,76.0,347.0,66.0,352.0,,,,361.0,,,372.0,33.0,,233.0,61.0,359.0,Cullman County,EAST POINT COMMUNITY CTR
Cullman County,FAIRVIEW FIRE DEPT_ (A-K),77.0,367.0,65.0,378.0,,,,383.0,,,382.0,35.0,,238.0,46.0,396.0,Cullman County,FAIRVIEW FIRE DEPT_ (A-K)
Cullman County,FAIRVIEW TOWN HALL (L-Z),48.0,315.0,42.0,321.0,,,,326.0,,,329.0,20.0,,224.0,34.0,329.0,Cullman County,FAIRVIEW TOWN HALL (L-Z)
Cullman County,FRIENDSHIP METHODIST CH_,97.0,681.0,77.0,698.0,,,,710.0,,,721.0,32.0,,491.0,73.0,704.0,Cullman County,FRIENDSHIP METHODIST CH_
Cullman County,GARDEN CITY TOWN HALL,51.0,340.0,42.0,345.0,,,,358.0,,,361.0,25.0,,261.0,37.0,353.0,Cullman County,GARDEN CITY TOWN HALL
Cullman County,GOLD RIDGE COMMUNITY CTR,94.0,602.0,82.0,611.0,,,,619.0,,,625.0,39.0,,424.0,82.0,612.0,Cullman County,GOLD RIDGE COMMUNITY CTR
Cullman County,GOOD HOPE CITY  HALL,122.0,733.0,107.0,749.0,,,,781.0,,,789.0,46.0,,509.0,80.0,777.0,Cullman County,GOOD HOPE CITY  HALL
Cullman County,GRANDVIEW COMMUNITY CTR,34.0,264.0,27.0,269.0,,,,277.0,,,275.0,14.0,,200.0,31.0,266.0,Cullman County,GRANDVIEW COMMUNITY CTR
Cullman County,HANCEVILLE CITY HALL,135.0,736.0,128.0,739.0,,,,755.0,,,765.0,69.0,,509.0,119.0,746.0,Cullman County,HANCEVILLE CITY HALL
Cullman County,HANCEVILLE CIVIC CENTER,92.0,509.0,73.0,523.0,,,,535.0,,,537.0,39.0,,369.0,69.0,529.0,Cullman County,HANCEVILLE CIVIC CENTER
Cullman County,HOLLY POND FIRE DEPT_,123.0,1062.0,102.0,1081.0,,,,1091.0,,,1083.0,59.0,,753.0,94.0,1088.0,Cullman County,HOLLY POND FIRE DEPT_
Cullman County,JONES CHAPEL FIRE DEPT_,98.0,631.0,78.0,652.0,,,,655.0,,,653.0,45.0,,456.0,73.0,656.0,Cullman County,JONES CHAPEL FIRE DEPT_
Cullman County,JOPPA  FIRE DEPT,64.0,325.0,53.0,332.0,,,,332.0,,,332.0,31.0,,226.0,51.0,332.0,Cullman County,JOPPA  FIRE DEPT
Cullman County,KELLEY COMMUNITY CENTER,118.0,615.0,96.0,631.0,,,,638.0,,,653.0,45.0,,403.0,84.0,647.0,Cullman County,KELLEY COMMUNITY CENTER
Cullman County,LOGAN FIRE DEPT_,50.0,273.0,39.0,284.0,,,,281.0,,,285.0,25.0,,203.0,35.0,288.0,Cullman County,LOGAN FIRE DEPT_
Cullman County,MOODY TOWN UNION HILL CH,15.0,55.0,11.0,60.0,,,,60.0,,,59.0,9.0,,42.0,11.0,60.0,Cullman County,MOODY TOWN UNION HILL CH
Cullman County,NEW CANAAN SR_ CENTER,47.0,439.0,43.0,441.0,,,,449.0,,,445.0,19.0,,326.0,39.0,448.0,Cullman County,NEW CANAAN SR_ CENTER
Cullman County,PROVIDENCE FIRE DEPT_,95.0,524.0,74.0,539.0,,,,541.0,,,551.0,42.0,,372.0,69.0,547.0,Cullman County,PROVIDENCE FIRE DEPT_
Cullman County,PROVISIONAL,1.0,20.0,2.0,19.0,,,,19.0,,,19.0,0.0,,14.0,2.0,19.0,Cullman County,PROVISIONAL
Cullman County,SIMCOE COMMUNITY CENTER,50.0,419.0,41.0,426.0,,,,431.0,,,432.0,21.0,,292.0,43.0,424.0,Cullman County,SIMCOE COMMUNITY CENTER
Cullman County,STOUTS MOUNTAIN CHURCH,17.0,108.0,16.0,110.0,,,,115.0,,,117.0,9.0,,91.0,13.0,113.0,Cullman County,STOUTS MOUNTAIN CHURCH
Cullman County,TRIMBLE FIRE DEPARTMENT,58.0,399.0,55.0,399.0,,,,412.0,,,418.0,27.0,,266.0,42.0,413.0,Cullman County,TRIMBLE FIRE DEPARTMENT
Cullman County,VALLEY GROVE COMM_ CTR,98.0,637.0,79.0,655.0,,,,678.0,,,672.0,42.0,,479.0,75.0,661.0,Cullman County,VALLEY GROVE COMM_ CTR
Cullman County,VINEMONT COMMUNITY CTR_,155.0,866.0,134.0,883.0,,,,908.0,,,914.0,82.0,,610.0,124.0,896.0,Cullman County,VINEMONT COMMUNITY CTR_
Cullman County,WALTER COMMUNITY CENTER,56.0,432.0,45.0,441.0,,,,446.0,,,442.0,28.0,,320.0,47.0,441.0,Cullman County,WALTER COMMUNITY CENTER
Cullman County,WELTI MT_ ZION CHURCH,55.0,204.0,46.0,215.0,,,,225.0,,,228.0,24.0,,155.0,42.0,217.0,Cullman County,WELTI MT_ ZION CHURCH
Cullman County,WEST POINT COMMUNITY CTR,98.0,887.0,87.0,896.0,,,,895.0,,,901.0,41.0,,638.0,86.0,901.0,Cullman County,WEST POINT COMMUNITY CTR
Cullman County,WHITE CITY COMMUNITY CTR,98.0,549.0,75.0,567.0,,,,572.0,,,578.0,40.0,,407.0,65.0,581.0,Cullman County,WHITE CITY COMMUNITY CTR
