county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Dale County,ABSENTEE,102.0,310.0,105.0,306.0,22.0,,,325.0,,,317.0,61.0,,220.0,109.0,302.0,Dale County,ABSENTEE
Dale County,ARGUTA COMMUNITY CTR_,15.0,139.0,17.0,135.0,10.0,,,137.0,,,134.0,6.0,,93.0,17.0,132.0,Dale County,ARGUTA COMMUNITY CTR_
Dale County,ARITON CITY HALL,61.0,366.0,74.0,353.0,66.0,,,356.0,,,360.0,42.0,,244.0,79.0,346.0,Dale County,ARITON CITY HALL
Dale County,BERTHA NEW HOPE BAPTIST,16.0,178.0,17.0,176.0,14.0,,,179.0,,,177.0,7.0,,125.0,21.0,170.0,Dale County,BERTHA NEW HOPE BAPTIST
Dale County,CLAYHATCHEE COMM_ HOUSE,54.0,311.0,60.0,301.0,,,,310.0,,,300.0,33.0,,224.0,74.0,282.0,Dale County,CLAYHATCHEE COMM_ HOUSE
Dale County,CLOPTON COMMUNITY HOUSE,9.0,113.0,14.0,105.0,13.0,,,106.0,,,104.0,8.0,,65.0,18.0,104.0,Dale County,CLOPTON COMMUNITY HOUSE
Dale County,DALEVILLE CULTURAL & CONV,477.0,860.0,481.0,860.0,,,,930.0,,,898.0,358.0,,610.0,515.0,819.0,Dale County,DALEVILLE CULTURAL & CONV
Dale County,ECHO FIRE/RESCUE COMM_,44.0,609.0,45.0,607.0,,,,604.0,,,599.0,15.0,,374.0,73.0,570.0,Dale County,ECHO FIRE/RESCUE COMM_
Dale County,EWELL FIRE STATION,180.0,649.0,185.0,639.0,,,,662.0,,,649.0,137.0,,443.0,214.0,607.0,Dale County,EWELL FIRE STATION
Dale County,GRIMES COMMUNITY CTR_,144.0,391.0,145.0,390.0,,,,406.0,,,395.0,104.0,,275.0,170.0,366.0,Dale County,GRIMES COMMUNITY CTR_
Dale County,LEVEL PLAINS COMM_ CENTER,372.0,830.0,381.0,822.0,125.0,,,857.0,,,874.0,268.0,,590.0,393.0,812.0,Dale County,LEVEL PLAINS COMM_ CENTER
Dale County,MARLEY MILL FORESTRY,160.0,598.0,161.0,594.0,122.0,,,606.0,,,604.0,120.0,,398.0,177.0,576.0,Dale County,MARLEY MILL FORESTRY
Dale County,MIDLAND CITY VOTING HALL,229.0,361.0,233.0,356.0,,,,385.0,,,367.0,182.0,,246.0,259.0,331.0,Dale County,MIDLAND CITY VOTING HALL
Dale County,NEWTON TOWN HALL,110.0,613.0,123.0,602.0,,,,610.0,,,577.0,68.0,,395.0,157.0,557.0,Dale County,NEWTON TOWN HALL
Dale County,OZARK CIVIC CENTER,1464.0,2452.0,1508.0,2390.0,271.0,,,2649.0,,,2556.0,1041.0,,1597.0,1622.0,2285.0,Dale County,OZARK CIVIC CENTER
Dale County,PINCKARD TOWN HALL,134.0,706.0,137.0,700.0,,,,717.0,,,697.0,87.0,,495.0,158.0,674.0,Dale County,PINCKARD TOWN HALL
Dale County,PROVISIONAL,4.0,6.0,4.0,6.0,0.0,,,10.0,,,10.0,3.0,,5.0,4.0,6.0,Dale County,PROVISIONAL
Dale County,ROCKY HD COMMUNITY HOUSE,34.0,439.0,36.0,436.0,36.0,,,436.0,,,435.0,16.0,,291.0,45.0,428.0,Dale County,ROCKY HD COMMUNITY HOUSE
Dale County,ROCKY HEAD FT RUCKER 2908,45.0,93.0,47.0,90.0,49.0,,,90.0,,,103.0,28.0,,59.0,48.0,90.0,Dale County,ROCKY HEAD FT RUCKER 2908
Dale County,SKIPPERVILLE UN METHODIST,65.0,364.0,63.0,365.0,37.0,,,360.0,,,359.0,47.0,,255.0,92.0,335.0,Dale County,SKIPPERVILLE UN METHODIST
Dale County,SYLVAN GROVE VOTING HALL,12.0,140.0,14.0,138.0,,,,141.0,,,142.0,7.0,,115.0,16.0,135.0,Dale County,SYLVAN GROVE VOTING HALL
