county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
DeKalb County,ABSENTEE,150.0,530.0,139.0,531.0,20.0,,,521.0,,4.0,519.0,89.0,,318.0,146.0,525.0,DeKalb County,ABSENTEE
DeKalb County,ADAMSBURG FIRE DEPT,57.0,291.0,52.0,293.0,,,,302.0,,,302.0,23.0,,185.0,54.0,292.0,DeKalb County,ADAMSBURG FIRE DEPT
DeKalb County,ANTIOCH - BARRY'S BBQ,19.0,55.0,14.0,60.0,,,,52.0,,,54.0,8.0,,27.0,12.0,61.0,DeKalb County,ANTIOCH - BARRY'S BBQ
DeKalb County,ARONEY FIRE DEPT,54.0,266.0,49.0,271.0,45.0,,,274.0,,42.0,259.0,29.0,,179.0,49.0,269.0,DeKalb County,ARONEY FIRE DEPT
DeKalb County,BLAKE COMM CTR,88.0,530.0,76.0,541.0,,,,541.0,,,545.0,44.0,,279.0,88.0,527.0,DeKalb County,BLAKE COMM CTR
DeKalb County,CARTERSVILLE FIRE HALL,60.0,428.0,63.0,414.0,,,,423.0,,,420.0,28.0,,300.0,58.0,425.0,DeKalb County,CARTERSVILLE FIRE HALL
DeKalb County,COLLINSVILLE NATL GRD ARMORY,143.0,270.0,131.0,274.0,50.0,,,275.0,,73.0,243.0,87.0,,165.0,125.0,281.0,DeKalb County,COLLINSVILLE NATL GRD ARMORY
DeKalb County,COPELAND BRG - LIBERTY HILL,36.0,159.0,33.0,156.0,23.0,,,151.0,,31.0,145.0,12.0,,105.0,30.0,163.0,DeKalb County,COPELAND BRG - LIBERTY HILL
DeKalb County,DOGTOWN MASONIC LODGE,64.0,473.0,59.0,473.0,,,,472.0,,,483.0,27.0,,312.0,73.0,453.0,DeKalb County,DOGTOWN MASONIC LODGE
DeKalb County,E_ HIGHLAND FIRE PCT 112,16.0,78.0,12.0,82.0,,,,84.0,,,86.0,4.0,,50.0,12.0,82.0,DeKalb County,E_ HIGHLAND FIRE PCT 112
DeKalb County,E_ HIGHLAND FIRE PCT 304,61.0,283.0,41.0,290.0,,,,292.0,,,290.0,27.0,,178.0,56.0,275.0,DeKalb County,E_ HIGHLAND FIRE PCT 304
DeKalb County,FISCHER COMM CTR PCT 113,20.0,67.0,16.0,67.0,,,,70.0,,,68.0,8.0,,48.0,18.0,65.0,DeKalb County,FISCHER COMM CTR PCT 113
DeKalb County,FISCHER COMM CTR PCT 313,47.0,273.0,49.0,265.0,,,,275.0,,,272.0,25.0,,169.0,54.0,260.0,DeKalb County,FISCHER COMM CTR PCT 313
DeKalb County,FORT PAYNE SENIOR CITIZEN 1,69.0,336.0,62.0,339.0,,,,341.0,,,346.0,34.0,,209.0,61.0,329.0,DeKalb County,FORT PAYNE SENIOR CITIZEN 1
DeKalb County,FORT PAYNE SENIOR CITIZEN 2,147.0,274.0,146.0,271.0,,,,302.0,,,305.0,82.0,,173.0,147.0,265.0,DeKalb County,FORT PAYNE SENIOR CITIZEN 2
DeKalb County,FYFFE SENIOR CITIZEN CTR,84.0,349.0,66.0,360.0,,,,359.0,,,355.0,35.0,,184.0,63.0,365.0,DeKalb County,FYFFE SENIOR CITIZEN CTR
DeKalb County,GERALDINE 1ST BAPTIST,133.0,550.0,89.0,595.0,16.0,,,570.0,,,582.0,40.0,,313.0,83.0,603.0,DeKalb County,GERALDINE 1ST BAPTIST
DeKalb County,GROVE OAK CLUB HOUSE,77.0,352.0,69.0,362.0,80.0,,,338.0,,,343.0,44.0,,170.0,67.0,362.0,DeKalb County,GROVE OAK CLUB HOUSE
DeKalb County,HAMMONDVILLE FIRE STATION,84.0,264.0,67.0,278.0,,,,283.0,,,281.0,29.0,,164.0,78.0,264.0,DeKalb County,HAMMONDVILLE FIRE STATION
DeKalb County,HENAGAR COMMUNITY CTR,136.0,668.0,113.0,680.0,,,,692.0,,,683.0,52.0,,450.0,112.0,683.0,DeKalb County,HENAGAR COMMUNITY CTR
DeKalb County,HIGH POINT CHURCH,88.0,365.0,72.0,376.0,,,,383.0,,,387.0,31.0,,197.0,77.0,377.0,DeKalb County,HIGH POINT CHURCH
DeKalb County,IDER SENIOR CTR,132.0,752.0,129.0,745.0,,,,765.0,,,763.0,62.0,,515.0,130.0,750.0,DeKalb County,IDER SENIOR CTR
