county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Elmore County,ABSENTEE,220.0,568.0,210.0,578.0,51.0,,,591.0,57.0,,585.0,129.0,,421.0,219.0,571.0,Elmore County,ABSENTEE
Elmore County,ASBURY KENT COMM_CTR_,80.0,649.0,71.0,656.0,,,,654.0,68.0,,659.0,39.0,,492.0,88.0,639.0,Elmore County,ASBURY KENT COMM_CTR_
Elmore County,BLUE RIDGE BAPTIST,148.0,703.0,126.0,723.0,,,,717.0,120.0,,722.0,67.0,,451.0,159.0,688.0,Elmore County,BLUE RIDGE BAPTIST
Elmore County,BUYCK FIRE DEPARTMENT,97.0,677.0,93.0,676.0,,,,672.0,,,680.0,55.0,,485.0,124.0,642.0,Elmore County,BUYCK FIRE DEPARTMENT
Elmore County,CAINS CHAPEL LIFE CENTER,180.0,1289.0,151.0,1313.0,,,,1291.0,,,1303.0,87.0,,907.0,209.0,1242.0,Elmore County,CAINS CHAPEL LIFE CENTER
Elmore County,COOSADA TOWN HALL,272.0,326.0,270.0,325.0,261.0,,,330.0,,,333.0,204.0,,248.0,281.0,313.0,Elmore County,COOSADA TOWN HALL
Elmore County,CRENSHAW PARK,266.0,164.0,267.0,156.0,,,,161.0,,,163.0,233.0,,101.0,282.0,144.0,Elmore County,CRENSHAW PARK
Elmore County,DEATSVILLE VOL_ FIRE,219.0,653.0,205.0,664.0,49.0,,,677.0,,,675.0,115.0,,441.0,229.0,640.0,Elmore County,DEATSVILLE VOL_ FIRE
Elmore County,ECLECTIC METHODIST CHURCH,188.0,490.0,190.0,483.0,,,,494.0,182.0,,492.0,139.0,,341.0,198.0,475.0,Elmore County,ECLECTIC METHODIST CHURCH
Elmore County,FAIN PARK COMM_ CENTER,647.0,828.0,661.0,810.0,,,,850.0,39.0,,853.0,523.0,,542.0,713.0,757.0,Elmore County,FAIN PARK COMM_ CENTER
Elmore County,FRIENDSHIP COMMUNITY CTR_,136.0,301.0,134.0,304.0,,,,318.0,126.0,,309.0,99.0,,214.0,144.0,295.0,Elmore County,FRIENDSHIP COMMUNITY CTR_
Elmore County,GOD'S CONGREGATION CHURCH,115.0,32.0,118.0,28.0,,,,32.0,116.0,,31.0,110.0,,19.0,117.0,30.0,Elmore County,GOD'S CONGREGATION CHURCH
Elmore County,GRANDVIEW PINES BAPTIST,359.0,778.0,341.0,795.0,30.0,,,825.0,,,839.0,207.0,,502.0,379.0,757.0,Elmore County,GRANDVIEW PINES BAPTIST
Elmore County,KOWALIGA FIRE DEPT_,102.0,552.0,82.0,569.0,,,,551.0,,,553.0,50.0,,366.0,119.0,530.0,Elmore County,KOWALIGA FIRE DEPT_
Elmore County,MILLBROOK CIVIC CENTER,864.0,1050.0,866.0,1041.0,840.0,,,1060.0,,,1122.0,629.0,,663.0,923.0,978.0,Elmore County,MILLBROOK CIVIC CENTER
Elmore County,MULDER METHODIST,856.0,2517.0,801.0,2557.0,,,,2600.0,792.0,,2558.0,507.0,,1746.0,894.0,2460.0,Elmore County,MULDER METHODIST
Elmore County,NAZARENE,694.0,1845.0,679.0,1851.0,157.0,,,1898.0,,,1911.0,419.0,,1211.0,758.0,1769.0,Elmore County,NAZARENE
Elmore County,NEW HOME BAPTIST CHURCH,192.0,574.0,183.0,581.0,,,,587.0,,,595.0,131.0,,419.0,207.0,555.0,Elmore County,NEW HOME BAPTIST CHURCH
Elmore County,NEW HOPE BAPTIST,47.0,515.0,35.0,526.0,,,,519.0,,,524.0,10.0,,374.0,55.0,505.0,Elmore County,NEW HOPE BAPTIST
Elmore County,PROVISIONAL,11.0,9.0,10.0,10.0,2.0,,,13.0,5.0,,11.0,4.0,,9.0,10.0,9.0,Elmore County,PROVISIONAL
Elmore County,REDHILL COMMUNITY CTR_,71.0,331.0,62.0,339.0,,,,339.0,,,342.0,31.0,,240.0,80.0,320.0,Elmore County,REDHILL COMMUNITY CTR_
Elmore County,ROCK SPRINGS VOTING HOUSE,98.0,304.0,97.0,303.0,,,,311.0,86.0,,314.0,67.0,,221.0,99.0,301.0,Elmore County,ROCK SPRINGS VOTING HOUSE
Elmore County,RUSHENVILLE BAPTIST,60.0,598.0,60.0,600.0,,,,601.0,57.0,,599.0,35.0,,433.0,77.0,576.0,Elmore County,RUSHENVILLE BAPTIST
Elmore County,SANTUCK COMMUNITY CTR_,229.0,728.0,224.0,728.0,,,,736.0,212.0,,734.0,152.0,,526.0,249.0,704.0,Elmore County,SANTUCK COMMUNITY CTR_
Elmore County,SEMAN COMMUNITY HOUSE,54.0,584.0,53.0,586.0,,,,581.0,,,588.0,31.0,,446.0,72.0,561.0,Elmore County,SEMAN COMMUNITY HOUSE
Elmore County,TALLAWEKA BAPTIST CHURCH,237.0,925.0,206.0,947.0,,,,953.0,199.0,,949.0,143.0,,683.0,241.0,914.0,Elmore County,TALLAWEKA BAPTIST CHURCH
Elmore County,TITUS COMMUNITY CENTER,58.0,238.0,49.0,245.0,,,,243.0,,,250.0,25.0,,158.0,67.0,225.0,Elmore County,TITUS COMMUNITY CENTER
Elmore County,VICTORY BAPTIST,489.0,1072.0,467.0,1088.0,287.0,,,1116.0,,,1136.0,283.0,,714.0,522.0,1034.0,Elmore County,VICTORY BAPTIST
Elmore County,WALLSBORO COMMUNITY CTR_,255.0,612.0,246.0,619.0,,,,621.0,123.0,,623.0,158.0,,416.0,275.0,589.0,Elmore County,WALLSBORO COMMUNITY CTR_
Elmore County,WEOKA COMMUNITY CENTER,52.0,364.0,47.0,369.0,,,,366.0,,,367.0,28.0,,277.0,60.0,351.0,Elmore County,WEOKA COMMUNITY CENTER
Elmore County,WETUMPKA CIVIC CENTER,426.0,1476.0,394.0,1507.0,,,,1538.0,316.0,,1524.0,226.0,,1000.0,442.0,1444.0,Elmore County,WETUMPKA CIVIC CENTER
