county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Escambia County,1ST UNITED METHODIST,150.0,391.0,127.0,411.0,164.0,,,377.0,,,416.0,82.0,,218.0,125.0,416.0,Escambia County,1ST UNITED METHODIST
Escambia County,ABSENTEE,114.0,292.0,108.0,280.0,93.0,,,296.0,,,295.0,68.0,,150.0,96.0,302.0,Escambia County,ABSENTEE
Escambia County,ALCO J_D_ JC MUSEUM,141.0,239.0,148.0,228.0,137.0,,,245.0,,,242.0,99.0,,145.0,153.0,227.0,Escambia County,ALCO J_D_ JC MUSEUM
Escambia County,APPLETON VOL_ FIRE,32.0,388.0,29.0,381.0,31.0,,,386.0,,,382.0,10.0,,214.0,28.0,390.0,Escambia County,APPLETON VOL_ FIRE
Escambia County,ATMORE CITY HALL,592.0,26.0,596.0,21.0,596.0,,,23.0,,,28.0,570.0,,16.0,598.0,20.0,Escambia County,ATMORE CITY HALL
Escambia County,ATMORE PUBLIC LIBRARY,332.0,625.0,298.0,644.0,329.0,,,623.0,,,670.0,216.0,,360.0,295.0,655.0,Escambia County,ATMORE PUBLIC LIBRARY
Escambia County,BARNETTS CROSSROADS/ROBIN,4.0,109.0,3.0,110.0,5.0,,,110.0,,,108.0,1.0,,54.0,3.0,112.0,Escambia County,BARNETTS CROSSROADS/ROBIN
Escambia County,BETHEL ROBERTS VOTING,6.0,63.0,6.0,61.0,,,,65.0,,,67.0,2.0,,38.0,7.0,62.0,Escambia County,BETHEL ROBERTS VOTING
Escambia County,BRADLEY VOL_ FIRE DEPT_,6.0,51.0,5.0,50.0,,,,47.0,,,51.0,1.0,,18.0,2.0,53.0,Escambia County,BRADLEY VOL_ FIRE DEPT_
Escambia County,BREWTON CIVIC CENTER,953.0,1409.0,908.0,1408.0,772.0,,,1504.0,,,1472.0,680.0,,717.0,886.0,1466.0,Escambia County,BREWTON CIVIC CENTER
Escambia County,CANOE CIVIC CLUB,39.0,251.0,36.0,251.0,44.0,,,246.0,,,251.0,22.0,,149.0,35.0,257.0,Escambia County,CANOE CIVIC CLUB
Escambia County,CATAWBA SPRINGS,66.0,512.0,41.0,520.0,60.0,,,501.0,,,523.0,16.0,,213.0,38.0,534.0,Escambia County,CATAWBA SPRINGS
Escambia County,COUNTY HWY_ DEPT_,107.0,77.0,112.0,69.0,109.0,,,72.0,,,78.0,97.0,,48.0,110.0,72.0,Escambia County,COUNTY HWY_ DEPT_
Escambia County,DAMASCUS BOYKIN SCHOOL,98.0,140.0,107.0,125.0,,,,126.0,,,136.0,59.0,,74.0,102.0,135.0,Escambia County,DAMASCUS BOYKIN SCHOOL
Escambia County,DIXIE VOL_ FIRE DEPT_,4.0,25.0,5.0,24.0,,,,23.0,,,24.0,3.0,,17.0,5.0,24.0,Escambia County,DIXIE VOL_ FIRE DEPT_
Escambia County,EAST BREWTON SAIL SITE,251.0,610.0,276.0,570.0,173.0,,,589.0,,,612.0,181.0,,319.0,269.0,588.0,Escambia County,EAST BREWTON SAIL SITE
Escambia County,FLOMATON COMMUNITY HOUSE,93.0,239.0,90.0,235.0,95.0,,,226.0,,,233.0,69.0,,90.0,82.0,246.0,Escambia County,FLOMATON COMMUNITY HOUSE
Escambia County,FLOMATON TOWN HALL,53.0,309.0,43.0,308.0,56.0,,,300.0,,,307.0,24.0,,107.0,40.0,321.0,Escambia County,FLOMATON TOWN HALL
Escambia County,HUXFORD MASONIC LODGE,9.0,187.0,5.0,189.0,14.0,,,180.0,,,186.0,1.0,,90.0,5.0,188.0,Escambia County,HUXFORD MASONIC LODGE
Escambia County,LITTLE ESCAMBIA VOTING,21.0,268.0,17.0,263.0,26.0,,,259.0,,,259.0,5.0,,121.0,16.0,270.0,Escambia County,LITTLE ESCAMBIA VOTING
Escambia County,LITTLE ROCK STORE,7.0,94.0,2.0,94.0,4.0,,,94.0,,,96.0,0.0,,50.0,0.0,99.0,Escambia County,LITTLE ROCK STORE
Escambia County,McCULLOUGH VOL_ FIRE DEPT,67.0,169.0,51.0,184.0,58.0,,,177.0,,,191.0,39.0,,99.0,49.0,188.0,Escambia County,McCULLOUGH VOL_ FIRE DEPT
Escambia County,NEW ORDER MISSIONARY BAPT,538.0,319.0,534.0,314.0,542.0,,,302.0,,,337.0,476.0,,194.0,530.0,324.0,Escambia County,NEW ORDER MISSIONARY BAPT
Escambia County,NOKOMIS VOTING HOUSE,94.0,275.0,75.0,296.0,85.0,,,285.0,,,302.0,46.0,,180.0,68.0,305.0,Escambia County,NOKOMIS VOTING HOUSE
Escambia County,PINEVIEW VOTING HOUSE,23.0,168.0,20.0,167.0,20.0,,,167.0,,,166.0,5.0,,68.0,19.0,170.0,Escambia County,PINEVIEW VOTING HOUSE
Escambia County,POARCH SAIL CENTER,103.0,169.0,94.0,173.0,94.0,,,176.0,,,183.0,71.0,,89.0,81.0,189.0,Escambia County,POARCH SAIL CENTER
Escambia County,POLLARD TOWN HALL,40.0,209.0,40.0,194.0,13.0,,,199.0,,,193.0,27.0,,56.0,38.0,207.0,Escambia County,POLLARD TOWN HALL
Escambia County,PROVISIONAL,0.0,3.0,0.0,3.0,0.0,,,2.0,,,2.0,1.0,,7.0,0.0,3.0,Escambia County,PROVISIONAL
Escambia County,RIVERVIEW TOWN HALL,26.0,261.0,21.0,259.0,,,,252.0,,,259.0,12.0,,154.0,19.0,267.0,Escambia County,RIVERVIEW TOWN HALL
Escambia County,ROCK HILL RIDGE RD VFD,60.0,161.0,64.0,158.0,,,,166.0,,,170.0,38.0,,93.0,59.0,166.0,Escambia County,ROCK HILL RIDGE RD VFD
Escambia County,WALLACE METHODIST CHURCH,6.0,59.0,8.0,53.0,10.0,,,54.0,,,54.0,3.0,,28.0,5.0,57.0,Escambia County,WALLACE METHODIST CHURCH
