county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Etowah County,1ST UNITED METH-ATTALLA,397.0,407.0,381.0,419.0,413.0,,,383.0,,458.0,312.0,219.0,,232.0,375.0,428.0,Etowah County,1ST UNITED METH-ATTALLA
Etowah County,ABSENTEE,315.0,667.0,272.0,697.0,294.0,,,678.0,,390.0,517.0,133.0,,371.0,275.0,709.0,Etowah County,ABSENTEE
Etowah County,ALTOONA FIRE DEPTARTMENT,55.0,342.0,54.0,344.0,54.0,,,339.0,,74.0,310.0,23.0,,238.0,45.0,349.0,Etowah County,ALTOONA FIRE DEPTARTMENT
Etowah County,ATTALLA RECREATION CENTER,200.0,867.0,184.0,877.0,245.0,,,808.0,,437.0,605.0,68.0,,467.0,153.0,909.0,Etowah County,ATTALLA RECREATION CENTER
Etowah County,CARVER COMMUNITY CENTER,695.0,38.0,706.0,23.0,695.0,,,26.0,,621.0,22.0,539.0,,10.0,698.0,30.0,Etowah County,CARVER COMMUNITY CENTER
Etowah County,CAVE SPRINGS COMMUNITY,136.0,545.0,125.0,550.0,150.0,,,519.0,,223.0,439.0,69.0,,319.0,126.0,551.0,Etowah County,CAVE SPRINGS COMMUNITY
Etowah County,DOWNTOWN CIVIC CENTER,719.0,398.0,716.0,394.0,697.0,,,402.0,,747.0,283.0,449.0,,155.0,703.0,409.0,Etowah County,DOWNTOWN CIVIC CENTER
Etowah County,EAST GADSDEN REC_ CTR,796.0,245.0,818.0,224.0,813.0,,,217.0,,776.0,163.0,596.0,,130.0,799.0,238.0,Etowah County,EAST GADSDEN REC_ CTR
Etowah County,EGYPT COMMUNITY CENTER,46.0,227.0,44.0,226.0,38.0,,,225.0,,79.0,188.0,21.0,,155.0,36.0,231.0,Etowah County,EGYPT COMMUNITY CENTER
Etowah County,ELLIOTT COMMUNITY CENTER,309.0,531.0,290.0,553.0,333.0,,,514.0,,413.0,396.0,169.0,,283.0,280.0,564.0,Etowah County,ELLIOTT COMMUNITY CENTER
Etowah County,GALLANT COMMUNITY CENTER,61.0,334.0,46.0,340.0,43.0,,,329.0,,102.0,282.0,13.0,,210.0,48.0,344.0,Etowah County,GALLANT COMMUNITY CENTER
Etowah County,GEORGE WALLACE SENIOR CTR,433.0,1557.0,327.0,1659.0,365.0,,,1604.0,,802.0,1146.0,104.0,,840.0,308.0,1689.0,Etowah County,GEORGE WALLACE SENIOR CTR
Etowah County,HOKES BLUFF COMMUNITY CTR,567.0,2365.0,416.0,2476.0,517.0,,,2363.0,,1142.0,1747.0,112.0,,1268.0,366.0,2538.0,Etowah County,HOKES BLUFF COMMUNITY CTR
Etowah County,IVALEE VOL_ FIRE DEPT,73.0,296.0,61.0,301.0,84.0,,,275.0,,130.0,230.0,34.0,,174.0,67.0,298.0,Etowah County,IVALEE VOL_ FIRE DEPT
Etowah County,LOOKOUT MTN_ COMM CTR,124.0,888.0,124.0,883.0,176.0,,,832.0,,258.0,728.0,45.0,,537.0,112.0,895.0,Etowah County,LOOKOUT MTN_ COMM CTR
Etowah County,MEADOW BROOK BAPTIST CH,414.0,998.0,280.0,1115.0,276.0,,,1125.0,,812.0,586.0,63.0,,371.0,262.0,1137.0,Etowah County,MEADOW BROOK BAPTIST CH
Etowah County,MOUNTAINBORO VFD,109.0,663.0,89.0,687.0,100.0,,,663.0,,181.0,570.0,41.0,,472.0,82.0,691.0,Etowah County,MOUNTAINBORO VFD
Etowah County,NEW UNION COMMUNITY CTR,102.0,684.0,87.0,702.0,87.0,,,679.0,,161.0,592.0,39.0,,459.0,82.0,696.0,Etowah County,NEW UNION COMMUNITY CTR
