county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Fayette County,ABSENTEE,231.0,174.0,209.0,162.0,,,,174.0,,,166.0,56.0,,53.0,214.0,174.0,Fayette County,ABSENTEE
Fayette County,BERRY CIVIC CENTER,107.0,476.0,83.0,476.0,,,,503.0,,,487.0,35.0,,231.0,70.0,499.0,Fayette County,BERRY CIVIC CENTER
Fayette County,BOLEY SPRINGS CHURCH,27.0,170.0,18.0,173.0,,,,170.0,,,166.0,9.0,,86.0,15.0,176.0,Fayette County,BOLEY SPRINGS CHURCH
Fayette County,BROWNS-GLEN ALLEN COMM CT,44.0,143.0,23.0,151.0,,,,158.0,,,154.0,9.0,,62.0,15.0,167.0,Fayette County,BROWNS-GLEN ALLEN COMM CT
Fayette County,BROWNS-WHITE'S CHAPEL CTR,60.0,138.0,48.0,141.0,,,,150.0,,,142.0,23.0,,51.0,41.0,151.0,Fayette County,BROWNS-WHITE'S CHAPEL CTR
Fayette County,BYLOR VOTING CTR-BANKSTON,61.0,279.0,33.0,295.0,,,,308.0,,,293.0,14.0,,136.0,31.0,302.0,Fayette County,BYLOR VOTING CTR-BANKSTON
Fayette County,CLEAR CREEK VC-CEDAR GROV,29.0,101.0,19.0,105.0,,,,107.0,,,97.0,6.0,,52.0,15.0,112.0,Fayette County,CLEAR CREEK VC-CEDAR GROV
Fayette County,COLE V CTR KILLINGSWORTH,31.0,88.0,21.0,90.0,,,,87.0,,,84.0,9.0,,31.0,21.0,93.0,Fayette County,COLE V CTR KILLINGSWORTH
Fayette County,COLE-PAUL HUBBERT PAVILIO,28.0,124.0,17.0,127.0,,,,123.0,,,120.0,10.0,,36.0,17.0,129.0,Fayette County,COLE-PAUL HUBBERT PAVILIO
Fayette County,COLLINS VT CTR-MT_ VERNON,35.0,214.0,15.0,224.0,,,,226.0,,,214.0,2.0,,66.0,13.0,233.0,Fayette County,COLLINS VT CTR-MT_ VERNON
Fayette County,ELM GROVE CHURCH,15.0,67.0,9.0,70.0,,,,70.0,,,72.0,5.0,,37.0,9.0,70.0,Fayette County,ELM GROVE CHURCH
Fayette County,FAYETTE CIVIC CENTER,435.0,900.0,350.0,952.0,,,,1055.0,,,997.0,220.0,,300.0,325.0,987.0,Fayette County,FAYETTE CIVIC CENTER
