county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Franklin County,ABSENTEE,102.0,212.0,88.0,193.0,116.0,,,196.0,188.0,,125.0,41.0,,76.0,84.0,225.0,Franklin County,ABSENTEE
Franklin County,BELGREEN FIRE PRCT 7,93.0,365.0,82.0,361.0,156.0,,,303.0,241.0,,216.0,27.0,,139.0,66.0,389.0,Franklin County,BELGREEN FIRE PRCT 7
Franklin County,CHUCKIE MULLINS PRCT2-4,217.0,72.0,219.0,67.0,212.0,,,79.0,245.0,,46.0,184.0,,32.0,205.0,85.0,Franklin County,CHUCKIE MULLINS PRCT2-4
Franklin County,COLLEGE AVE ELEM_ PRCT2-2,118.0,215.0,125.0,201.0,114.0,,,218.0,210.0,,112.0,68.0,,86.0,109.0,220.0,Franklin County,COLLEGE AVE ELEM_ PRCT2-2
Franklin County,COURTHOUSE ANNEX PRCT 2-3,99.0,269.0,87.0,267.0,106.0,,,260.0,214.0,,147.0,51.0,,114.0,77.0,285.0,Franklin County,COURTHOUSE ANNEX PRCT 2-3
Franklin County,EAST FRANKLIN PRCT 19,76.0,322.0,55.0,337.0,99.0,,,292.0,204.0,,193.0,26.0,,134.0,48.0,345.0,Franklin County,EAST FRANKLIN PRCT 19
Franklin County,FRANKFORT PRCT3,34.0,138.0,28.0,140.0,60.0,,,110.0,89.0,,81.0,6.0,,52.0,20.0,148.0,Franklin County,FRANKFORT PRCT3
Franklin County,HALLTOWN PRCT 14,74.0,339.0,65.0,334.0,98.0,,,312.0,214.0,,200.0,28.0,,125.0,63.0,342.0,Franklin County,HALLTOWN PRCT 14
Franklin County,HODGES PRCT 8,24.0,136.0,17.0,144.0,21.0,,,144.0,45.0,,119.0,11.0,,87.0,16.0,146.0,Franklin County,HODGES PRCT 8
Franklin County,JONESBORO PRCT 17,90.0,205.0,79.0,209.0,92.0,,,209.0,160.0,,130.0,44.0,,78.0,72.0,221.0,Franklin County,JONESBORO PRCT 17
Franklin County,LAWLERS FIRE PRCT 15,74.0,195.0,55.0,207.0,83.0,,,186.0,132.0,,126.0,36.0,,79.0,59.0,207.0,Franklin County,LAWLERS FIRE PRCT 15
Franklin County,MT_ STAR HILLS PRCT 11,46.0,174.0,39.0,166.0,37.0,,,177.0,102.0,,114.0,17.0,,88.0,31.0,180.0,Franklin County,MT_ STAR HILLS PRCT 11
Franklin County,NEWBURG PRCT 20,71.0,55.0,69.0,57.0,73.0,,,51.0,88.0,,35.0,45.0,,24.0,64.0,62.0,Franklin County,NEWBURG PRCT 20
Franklin County,PHIL CAMPBELL PRCT 9,126.0,409.0,101.0,429.0,159.0,,,372.0,274.0,,253.0,53.0,,192.0,93.0,443.0,Franklin County,PHIL CAMPBELL PRCT 9
Franklin County,PLEASANT SITE  VFD PRCT 4,31.0,103.0,29.0,98.0,41.0,,,91.0,80.0,,54.0,14.0,,11.0,22.0,107.0,Franklin County,PLEASANT SITE  VFD PRCT 4
Franklin County,PROVISIONAL,2.0,14.0,3.0,7.0,4.0,,,8.0,4.0,,4.0,2.0,,6.0,0.0,13.0,Franklin County,PROVISIONAL
Franklin County,QUINN'S GARAGE  PRCT 12,30.0,114.0,25.0,118.0,33.0,,,103.0,70.0,,72.0,13.0,,52.0,24.0,121.0,Franklin County,QUINN'S GARAGE  PRCT 12
Franklin County,RED BAY  PRCT 5,186.0,874.0,168.0,857.0,249.0,,,806.0,440.0,,610.0,75.0,,274.0,142.0,903.0,Franklin County,RED BAY  PRCT 5
Franklin County,ROCKWOOD PRCT 10,77.0,270.0,76.0,261.0,88.0,,,259.0,194.0,,146.0,32.0,,103.0,70.0,273.0,Franklin County,ROCKWOOD PRCT 10
Franklin County,RUSSELLVILLE ELEC_ PCT2-5,192.0,293.0,185.0,288.0,200.0,,,291.0,311.0,,160.0,101.0,,125.0,164.0,315.0,Franklin County,RUSSELLVILLE ELEC_ PCT2-5
Franklin County,RUSSELLVILLE HIGH PRCT2-1,236.0,523.0,195.0,538.0,195.0,,,562.0,471.0,,275.0,97.0,,190.0,164.0,587.0,Franklin County,RUSSELLVILLE HIGH PRCT2-1
Franklin County,SPRUCE PINE PRCT 18,99.0,315.0,87.0,325.0,112.0,,,302.0,233.0,,177.0,41.0,,120.0,83.0,334.0,Franklin County,SPRUCE PINE PRCT 18
Franklin County,THARPTOWN PRCT 13,67.0,195.0,64.0,193.0,75.0,,,183.0,132.0,,124.0,31.0,,84.0,65.0,197.0,Franklin County,THARPTOWN PRCT 13
Franklin County,UNION COMMUNITY PRCT 1,56.0,273.0,31.0,288.0,67.0,,,253.0,156.0,,169.0,7.0,,114.0,22.0,305.0,Franklin County,UNION COMMUNITY PRCT 1
Franklin County,VINA FIRE DEPT_ PRCT 6,53.0,272.0,53.0,264.0,61.0,,,270.0,152.0,,172.0,21.0,,131.0,50.0,272.0,Franklin County,VINA FIRE DEPT_ PRCT 6
Franklin County,WACO CHURCH CHRIST PCT16,63.0,113.0,55.0,122.0,56.0,,,123.0,99.0,,75.0,32.0,,42.0,53.0,125.0,Franklin County,WACO CHURCH CHRIST PCT16
