county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Geneva County,ABSENTEE,31.0,152.0,28.0,153.0,,,,155.0,,,154.0,16.0,,108.0,34.0,148.0,Geneva County,ABSENTEE
Geneva County,BELLWOOD COMMUNITY CTR_,73.0,119.0,70.0,122.0,,,,129.0,,,127.0,59.0,,83.0,77.0,113.0,Geneva County,BELLWOOD COMMUNITY CTR_
Geneva County,BLACK COMM CENTER,12.0,175.0,11.0,175.0,,,,167.0,,,163.0,6.0,,111.0,26.0,160.0,Geneva County,BLACK COMM CENTER
Geneva County,CHANCELLOR COMMUNITY CTR_,26.0,289.0,21.0,294.0,,,,300.0,,,300.0,7.0,,210.0,38.0,275.0,Geneva County,CHANCELLOR COMMUNITY CTR_
Geneva County,COFFEE SPRINGS,19.0,222.0,18.0,219.0,,,,220.0,,,220.0,5.0,,137.0,32.0,207.0,Geneva County,COFFEE SPRINGS
Geneva County,DEVCO COMMUNITY CTR_,36.0,325.0,34.0,319.0,,,,325.0,,,327.0,22.0,,218.0,41.0,315.0,Geneva County,DEVCO COMMUNITY CTR_
Geneva County,FADETTE,42.0,487.0,35.0,487.0,,,,491.0,,,448.0,9.0,,276.0,63.0,460.0,Geneva County,FADETTE
Geneva County,FLAT CREEK COMMUNITY CTR_,10.0,153.0,11.0,152.0,,,,156.0,,,140.0,4.0,,108.0,12.0,149.0,Geneva County,FLAT CREEK COMMUNITY CTR_
Geneva County,GENEVA CITY HALL,44.0,69.0,47.0,66.0,,,,74.0,,,74.0,34.0,,39.0,52.0,61.0,Geneva County,GENEVA CITY HALL
Geneva County,GENEVA COMMUNITY CENTER,100.0,333.0,106.0,321.0,,,,335.0,,,347.0,80.0,,220.0,125.0,304.0,Geneva County,GENEVA COMMUNITY CENTER
Geneva County,GENEVA COUNTY COURTHOUSE,54.0,321.0,49.0,324.0,,,,338.0,,,338.0,16.0,,196.0,77.0,295.0,Geneva County,GENEVA COUNTY COURTHOUSE
Geneva County,GENEVA FARM CENTER,26.0,288.0,23.0,287.0,,,,290.0,,,287.0,15.0,,200.0,43.0,268.0,Geneva County,GENEVA FARM CENTER
Geneva County,GENEVA NATIONAL GUARD,33.0,198.0,29.0,197.0,,,,199.0,,,204.0,23.0,,132.0,42.0,186.0,Geneva County,GENEVA NATIONAL GUARD
Geneva County,GILMORE VOTING HOUSE,15.0,184.0,15.0,184.0,,,,189.0,,,183.0,6.0,,120.0,21.0,175.0,Geneva County,GILMORE VOTING HOUSE
Geneva County,HACODA COMMUNITY CTR_,5.0,94.0,5.0,95.0,,,,94.0,,,93.0,3.0,,72.0,6.0,93.0,Geneva County,HACODA COMMUNITY CTR_
Geneva County,HUGHES COMMUNITY CTR_,234.0,1412.0,238.0,1408.0,,,,1451.0,,,1426.0,160.0,,910.0,271.0,1359.0,Geneva County,HUGHES COMMUNITY CTR_
Geneva County,HUGHES VOTING HOUSE,16.0,286.0,16.0,281.0,,,,278.0,,,263.0,5.0,,173.0,33.0,266.0,Geneva County,HUGHES VOTING HOUSE
Geneva County,LOWERY VOTING HOUSE,12.0,134.0,7.0,139.0,,,,141.0,,,137.0,3.0,,118.0,10.0,135.0,Geneva County,LOWERY VOTING HOUSE
Geneva County,LYTLE,27.0,235.0,19.0,242.0,,,,244.0,,,246.0,5.0,,147.0,29.0,228.0,Geneva County,LYTLE
Geneva County,MALVERN COMMUNITY,72.0,621.0,69.0,616.0,,,,612.0,,,545.0,34.0,,361.0,98.0,587.0,Geneva County,MALVERN COMMUNITY
Geneva County,PINEY GROVE,7.0,156.0,7.0,156.0,,,,154.0,,,146.0,5.0,,120.0,14.0,148.0,Geneva County,PINEY GROVE
Geneva County,PROVISIONAL,0.0,2.0,0.0,2.0,,,,2.0,,,2.0,2.0,,9.0,1.0,1.0,Geneva County,PROVISIONAL
Geneva County,REVELS STORE,10.0,156.0,9.0,157.0,,,,159.0,,,156.0,2.0,,96.0,15.0,149.0,Geneva County,REVELS STORE
Geneva County,SAMSON COMMUNITY CENTER,13.0,345.0,15.0,342.0,,,,339.0,,,329.0,6.0,,248.0,23.0,327.0,Geneva County,SAMSON COMMUNITY CENTER
Geneva County,SAMSON MASONIC,77.0,251.0,81.0,242.0,,,,257.0,,,253.0,58.0,,183.0,92.0,234.0,Geneva County,SAMSON MASONIC
Geneva County,SLOCOMB NATIONAL GUARD,212.0,628.0,209.0,622.0,,,,660.0,,,549.0,137.0,,353.0,255.0,576.0,Geneva County,SLOCOMB NATIONAL GUARD
Geneva County,TATE SCHOOL,14.0,149.0,12.0,151.0,,,,151.0,,,149.0,5.0,,114.0,14.0,146.0,Geneva County,TATE SCHOOL
