county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Greene County,ABSENTEE,250.0,27.0,247.0,28.0,255.0,,,,254.0,,,230.0,,14.0,255.0,,Greene County,ABSENTEE
Greene County,BOLIGEE FIRE DEPT_,223.0,33.0,215.0,38.0,227.0,,,,229.0,,,206.0,,18.0,230.0,,Greene County,BOLIGEE FIRE DEPT_
Greene County,BROWN MORROW BRANCH HGTS,338.0,27.0,341.0,23.0,342.0,,,,342.0,,,332.0,,18.0,343.0,,Greene County,BROWN MORROW BRANCH HGTS
Greene County,CLINTON COMMUNITY CENTER,168.0,49.0,169.0,47.0,176.0,,,,174.0,,,164.0,,32.0,174.0,,Greene County,CLINTON COMMUNITY CENTER
Greene County,EUTAW ACTIVITY CENTER,413.0,20.0,410.0,18.0,413.0,,,,412.0,,,384.0,,10.0,415.0,,Greene County,EUTAW ACTIVITY CENTER
Greene County,FORKLAND CITY HALL,495.0,106.0,487.0,110.0,496.0,,,,501.0,,,451.0,,78.0,503.0,,Greene County,FORKLAND CITY HALL
Greene County,GREENE COUNTY COURTHOUSE,149.0,19.0,147.0,21.0,153.0,,,,154.0,,,138.0,,14.0,153.0,,Greene County,GREENE COUNTY COURTHOUSE
Greene County,JENA FIRE DEPT_,48.0,43.0,42.0,42.0,47.0,,,,48.0,,,38.0,,33.0,46.0,,Greene County,JENA FIRE DEPT_
Greene County,KNOXVILLE FIRE DEPARTMENT,127.0,29.0,128.0,28.0,132.0,,,,131.0,,,124.0,,14.0,135.0,,Greene County,KNOXVILLE FIRE DEPARTMENT
Greene County,MANTUA FIRE DEPARTMENT,156.0,17.0,155.0,18.0,157.0,,,,158.0,,,149.0,,13.0,155.0,,Greene County,MANTUA FIRE DEPARTMENT
Greene County,MT_ HEBRON PRE-SCHOOL,227.0,14.0,225.0,14.0,226.0,,,,227.0,,,217.0,,9.0,229.0,,Greene County,MT_ HEBRON PRE-SCHOOL
Greene County,NATIONAL GUARD ARMORY,473.0,225.0,464.0,230.0,508.0,,,,519.0,,,384.0,,87.0,525.0,,Greene County,NATIONAL GUARD ARMORY
Greene County,PROVISIONAL,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,Greene County,PROVISIONAL
Greene County,SOUTH FORK RESTAURANT,59.0,5.0,56.0,7.0,60.0,,,,59.0,,,51.0,,2.0,59.0,,Greene County,SOUTH FORK RESTAURANT
Greene County,TISHABEE COMMUNITY CTR_,207.0,9.0,207.0,8.0,209.0,,,,211.0,,,202.0,,3.0,211.0,,Greene County,TISHABEE COMMUNITY CTR_
Greene County,UNION FIRE DEPT_,173.0,38.0,172.0,38.0,179.0,,,,178.0,,,158.0,,22.0,177.0,,Greene County,UNION FIRE DEPT_
