county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Hale County,ABSENTEE,259.0,54.0,254.0,54.0,266.0,,,,261.0,,,227.0,,22.0,265.0,,Hale County,ABSENTEE
Hale County,AKRON CITY HALL,238.0,141.0,233.0,143.0,268.0,,,,269.0,,,199.0,,62.0,271.0,,Hale County,AKRON CITY HALL
Hale County,BUCKSNORT,56.0,82.0,45.0,93.0,63.0,,,,61.0,,,40.0,,27.0,66.0,,Hale County,BUCKSNORT
Hale County,GALLION VFD,144.0,139.0,143.0,141.0,168.0,,,,166.0,,,129.0,,82.0,170.0,,Hale County,GALLION VFD
Hale County,GREENSBORO ARMORY,1636.0,489.0,1585.0,525.0,1776.0,,,,1732.0,,,1386.0,,117.0,1746.0,,Hale County,GREENSBORO ARMORY
Hale County,HAVANA,96.0,91.0,89.0,91.0,113.0,,,,110.0,,,66.0,,29.0,111.0,,Hale County,HAVANA
Hale County,LOCK 5 VFD,144.0,90.0,139.0,94.0,170.0,,,,161.0,,,128.0,,41.0,164.0,,Hale County,LOCK 5 VFD
Hale County,MOUNDVILLE CITY HALL,520.0,710.0,478.0,725.0,659.0,,,,643.0,,,369.0,,257.0,641.0,,Hale County,MOUNDVILLE CITY HALL
Hale County,MT_ HERMAN,90.0,84.0,81.0,90.0,113.0,,,,101.0,,,72.0,,26.0,106.0,,Hale County,MT_ HERMAN
Hale County,MT_ HOREB BAPTIST CH,171.0,49.0,164.0,49.0,175.0,,,,169.0,,,107.0,,20.0,176.0,,Hale County,MT_ HOREB BAPTIST CH
Hale County,NEWBERN CITY HALL,188.0,116.0,182.0,113.0,221.0,,,,208.0,,,112.0,,25.0,218.0,,Hale County,NEWBERN CITY HALL
Hale County,PHIPPS WORK CENTER,3.0,21.0,3.0,21.0,5.0,,,,3.0,,,3.0,,9.0,4.0,,Hale County,PHIPPS WORK CENTER
Hale County,PROVISIONAL,2.0,0.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,Hale County,PROVISIONAL
Hale County,SAWYERVILLE HEAD START SC,536.0,69.0,525.0,62.0,554.0,,,,561.0,,,461.0,,19.0,557.0,,Hale County,SAWYERVILLE HEAD START SC
Hale County,STEWART,87.0,142.0,79.0,150.0,124.0,,,,113.0,,,47.0,,55.0,119.0,,Hale County,STEWART
Hale County,VALLEY,36.0,84.0,29.0,87.0,49.0,,,,42.0,,,27.0,,34.0,43.0,,Hale County,VALLEY
