county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Henry County,ABBEVILLE VOTING CENTER,472.0,524.0,461.0,523.0,708.0,,,294.0,703.0,,,344.0,,109.0,511.0,488.0,Henry County,ABBEVILLE VOTING CENTER
Henry County,ABSENTEE,71.0,185.0,74.0,175.0,106.0,,,148.0,117.0,,,45.0,,84.0,74.0,180.0,Henry County,ABSENTEE
Henry County,CAPPS POST OFFICE,126.0,190.0,130.0,184.0,199.0,,,120.0,192.0,,,103.0,,58.0,144.0,172.0,Henry County,CAPPS POST OFFICE
Henry County,DOUGLAS CROSSROADS,26.0,265.0,25.0,263.0,77.0,,,208.0,81.0,,,11.0,,118.0,39.0,249.0,Henry County,DOUGLAS CROSSROADS
Henry County,EDWIN VOTING CENTER,68.0,113.0,74.0,103.0,100.0,,,81.0,102.0,,,64.0,,47.0,80.0,100.0,Henry County,EDWIN VOTING CENTER
Henry County,HALEBURG CITY HALL,47.0,161.0,42.0,165.0,81.0,,,128.0,81.0,,,25.0,,56.0,55.0,153.0,Henry County,HALEBURG CITY HALL
Henry County,HEADLAND VOTING CENTER,523.0,1568.0,484.0,1589.0,840.0,,,1247.0,884.0,,,313.0,,648.0,565.0,1514.0,Henry County,HEADLAND VOTING CENTER
Henry County,JUDSON COMMUNITY,150.0,546.0,142.0,548.0,245.0,,,457.0,265.0,,,103.0,,276.0,166.0,527.0,Henry County,JUDSON COMMUNITY
Henry County,LAWRENCEVILLE HOUSE,91.0,119.0,95.0,110.0,127.0,,,84.0,126.0,,,70.0,,41.0,106.0,102.0,Henry County,LAWRENCEVILLE HOUSE
Henry County,NEWVILLE VOTING HOUSE,246.0,333.0,242.0,325.0,347.0,,,233.0,329.0,,,187.0,,126.0,260.0,317.0,Henry County,NEWVILLE VOTING HOUSE
Henry County,PROVISIONAL,5.0,1.0,5.0,1.0,6.0,,,0.0,6.0,,,3.0,,0.0,5.0,1.0,Henry County,PROVISIONAL
Henry County,SHORTERVILLE HOUSE,73.0,96.0,83.0,82.0,107.0,,,63.0,108.0,,,69.0,,26.0,84.0,85.0,Henry County,SHORTERVILLE HOUSE
Henry County,TUMBLETON VOTING HOUSE,30.0,268.0,25.0,269.0,99.0,,,195.0,83.0,,,19.0,,102.0,33.0,265.0,Henry County,TUMBLETON VOTING HOUSE
Henry County,UNION VOTING HOUSE,55.0,148.0,53.0,144.0,97.0,,,103.0,91.0,,,36.0,,48.0,64.0,136.0,Henry County,UNION VOTING HOUSE
Henry County,WILLS CROSS ROADS VOTING,62.0,138.0,53.0,139.0,120.0,,,77.0,96.0,,,39.0,,39.0,67.0,129.0,Henry County,WILLS CROSS ROADS VOTING
