county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Houston County,ABSENTEE,178.0,666.0,180.0,657.0,134.0,,,653.0,56.0,,557.0,108.0,,458.0,194.0,635.0,Houston County,ABSENTEE
Houston County,ANDREW BELLE COMM CTR,299.0,230.0,307.0,223.0,318.0,,,213.0,336.0,,,249.0,,161.0,320.0,212.0,Houston County,ANDREW BELLE COMM CTR
Houston County,ASHFORD DEPOT,250.0,807.0,237.0,814.0,237.0,,,814.0,,,784.0,174.0,,547.0,260.0,787.0,Houston County,ASHFORD DEPOT
Houston County,BAY SPRINGS VFD,71.0,433.0,76.0,429.0,,,,436.0,,,404.0,51.0,,295.0,90.0,413.0,Houston County,BAY SPRINGS VFD
Houston County,COTTONWOOD CITY HALL,147.0,688.0,149.0,685.0,149.0,,,680.0,,,672.0,96.0,,444.0,179.0,646.0,Houston County,COTTONWOOD CITY HALL
Houston County,COWARTS CITY HALL,159.0,765.0,164.0,764.0,155.0,,,768.0,,,731.0,106.0,,538.0,182.0,744.0,Houston County,COWARTS CITY HALL
Houston County,DOTHAN 1ST ASSEMBLY CLC,564.0,2007.0,522.0,2033.0,,,,2117.0,,,2081.0,264.0,,1332.0,585.0,1974.0,Houston County,DOTHAN 1ST ASSEMBLY CLC
Houston County,DOTHAN CIVIC CTR,625.0,1024.0,624.0,1015.0,678.0,,,951.0,733.0,,,423.0,,609.0,653.0,984.0,Houston County,DOTHAN CIVIC CTR
Houston County,DOUG TEW COMM CTR,654.0,1301.0,664.0,1278.0,640.0,,,1294.0,,,1323.0,415.0,,841.0,735.0,1210.0,Houston County,DOUG TEW COMM CTR
Houston County,ENTERPRISE CHURCH,70.0,565.0,71.0,567.0,62.0,,,572.0,,,549.0,26.0,,372.0,92.0,542.0,Houston County,ENTERPRISE CHURCH
Houston County,FARM CENTER,694.0,1627.0,710.0,1611.0,684.0,,,1630.0,,,1641.0,436.0,,997.0,786.0,1535.0,Houston County,FARM CENTER
Houston County,GORDON CITY HALL,102.0,72.0,100.0,71.0,103.0,,,67.0,,,75.0,89.0,,41.0,107.0,65.0,Houston County,GORDON CITY HALL
Houston County,HODGESVILLE VFD,116.0,811.0,112.0,815.0,117.0,,,802.0,,,806.0,72.0,,557.0,146.0,779.0,Houston County,HODGESVILLE VFD
Houston County,KINSEY SENIOR CTR,296.0,611.0,305.0,602.0,365.0,,,536.0,367.0,,,208.0,,384.0,329.0,575.0,Houston County,KINSEY SENIOR CTR
Houston County,MADRID SENIOR CTR,72.0,398.0,73.0,396.0,75.0,,,391.0,,,379.0,51.0,,278.0,90.0,373.0,Houston County,MADRID SENIOR CTR
Houston County,MT_ GILEAD BAPTIST,279.0,1312.0,283.0,1296.0,,,,1349.0,,,1314.0,129.0,,844.0,313.0,1273.0,Houston County,MT_ GILEAD BAPTIST
Houston County,PANSEY VFD,26.0,295.0,27.0,292.0,23.0,,,297.0,,,295.0,11.0,,195.0,41.0,274.0,Houston County,PANSEY VFD
Houston County,PROVISIONAL,68.0,96.0,61.0,105.0,45.0,,,105.0,23.0,,90.0,51.0,,79.0,66.0,99.0,Houston County,PROVISIONAL
Houston County,REHOBETH MUNICIPAL COMPLX,101.0,1029.0,81.0,1047.0,93.0,,,1029.0,,,1019.0,31.0,,717.0,131.0,993.0,Houston County,REHOBETH MUNICIPAL COMPLX
Houston County,ROSSIE PURCELL PUB LBRY,107.0,478.0,111.0,475.0,105.0,,,474.0,,,470.0,77.0,,302.0,126.0,460.0,Houston County,ROSSIE PURCELL PUB LBRY
Houston County,ST_ JOHNS PARK,101.0,136.0,94.0,146.0,103.0,,,137.0,,,142.0,77.0,,86.0,111.0,127.0,Houston County,ST_ JOHNS PARK
Houston County,TAYLOR CITY HALL,175.0,949.0,185.0,937.0,67.0,,,952.0,,,918.0,84.0,,593.0,233.0,886.0,Houston County,TAYLOR CITY HALL
Houston County,VAUGHN BLUMBERG CENTER,607.0,1103.0,617.0,1087.0,504.0,,,1077.0,,,1148.0,417.0,,698.0,675.0,1033.0,Houston County,VAUGHN BLUMBERG CENTER
Houston County,WALTON PARK,1230.0,184.0,1271.0,144.0,1247.0,,,167.0,1274.0,,,1069.0,,96.0,1264.0,153.0,Houston County,WALTON PARK
Houston County,WATER AND ELECTRIC COMPLX,390.0,1377.0,380.0,1383.0,234.0,,,1402.0,,,1408.0,211.0,,929.0,439.0,1324.0,Houston County,WATER AND ELECTRIC COMPLX
Houston County,WEBB CITY HALL,97.0,393.0,95.0,392.0,95.0,,,392.0,139.0,,,71.0,,263.0,110.0,376.0,Houston County,WEBB CITY HALL
Houston County,WESTGATE PARK,517.0,2169.0,481.0,2199.0,,,,2237.0,,,2160.0,246.0,,1447.0,557.0,2107.0,Houston County,WESTGATE PARK
Houston County,WICKSBURG VFD,73.0,925.0,63.0,937.0,,,,940.0,,,873.0,28.0,,658.0,94.0,896.0,Houston County,WICKSBURG VFD
Houston County,WIREGRASS PARK,994.0,661.0,1032.0,616.0,1061.0,,,586.0,518.0,,501.0,818.0,,401.0,1049.0,602.0,Houston County,WIREGRASS PARK
