county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Jackson County,ABSENTEE,123.0,311.0,115.0,310.0,,,,326.0,,,331.0,57.0,,205.0,122.0,306.0,Jackson County,ABSENTEE
Jackson County,ASPEL JACKSON WATERWORKS,25.0,87.0,26.0,84.0,,,,84.0,,,94.0,12.0,,62.0,24.0,85.0,Jackson County,ASPEL JACKSON WATERWORKS
Jackson County,BISHOP HALL'S STORE,17.0,18.0,13.0,22.0,,,,21.0,,,23.0,8.0,,15.0,16.0,19.0,Jackson County,BISHOP HALL'S STORE
Jackson County,BRIDGEPORT COMMUNITY CTR,233.0,672.0,234.0,652.0,,,,687.0,,,696.0,126.0,,378.0,248.0,653.0,Jackson County,BRIDGEPORT COMMUNITY CTR
Jackson County,BRYANT COMMUNITY BLDG_,86.0,558.0,78.0,561.0,,,,582.0,,,572.0,50.0,,412.0,87.0,554.0,Jackson County,BRYANT COMMUNITY BLDG_
Jackson County,CHRISTIAN HOME,28.0,151.0,27.0,153.0,,,,156.0,,,154.0,15.0,,91.0,35.0,144.0,Jackson County,CHRISTIAN HOME
Jackson County,CROW FIRE HALL,22.0,96.0,16.0,98.0,,,,95.0,,,95.0,9.0,,64.0,17.0,99.0,Jackson County,CROW FIRE HALL
Jackson County,DEAN'S CHAPEL COMMUNITY,46.0,206.0,44.0,208.0,,,,211.0,,,213.0,20.0,,137.0,46.0,206.0,Jackson County,DEAN'S CHAPEL COMMUNITY
Jackson County,DUTTON CITY HALL,179.0,563.0,155.0,585.0,,,,601.0,,,613.0,79.0,,380.0,177.0,562.0,Jackson County,DUTTON CITY HALL
Jackson County,ESTILL FORK PRINCES STORE,11.0,57.0,4.0,63.0,,,,60.0,,,59.0,3.0,,46.0,7.0,60.0,Jackson County,ESTILL FORK PRINCES STORE
Jackson County,FACKLER FIRE HALL,53.0,231.0,55.0,221.0,,,,234.0,,,240.0,27.0,,114.0,58.0,218.0,Jackson County,FACKLER FIRE HALL
Jackson County,FLAT ROCK RURITAN BLDG_,39.0,291.0,37.0,288.0,,,,294.0,,,297.0,18.0,,190.0,46.0,281.0,Jackson County,FLAT ROCK RURITAN BLDG_
Jackson County,GARTH BAPTIST CHURCH,10.0,62.0,5.0,66.0,,,,66.0,,,66.0,4.0,,54.0,10.0,62.0,Jackson County,GARTH BAPTIST CHURCH
