county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Jefferson County,BESSEMER ABSENTEE,1055.0,554.0,1042.0,559.0,1043.0,,,402.0,1058.0,,292.0,902.0,,438.0,1054.0,403.0,Jefferson County,BESSEMER ABSENTEE
Jefferson County,BIRMINGHAM ABSENTEE 1,1650.0,359.0,1619.0,372.0,1602.0,29.0,,83.0,1604.0,,83.0,1219.0,,240.0,1652.0,188.0,Jefferson County,BIRMINGHAM ABSENTEE 1
Jefferson County,BIRMINGHAM ABSENTEE 2,1297.0,1445.0,1195.0,1513.0,1109.0,14.0,,1444.0,695.0,,1446.0,668.0,,1099.0,1175.0,1538.0,Jefferson County,BIRMINGHAM ABSENTEE 2
Jefferson County,PREC 1010 - OUR LADY OF L,2656.0,708.0,2656.0,694.0,2749.0,,,0.0,2755.0,,,2122.0,,497.0,2697.0,421.0,Jefferson County,PREC 1010 - OUR LADY OF L
Jefferson County,PREC 1020 - TOM BRADFORD,2016.0,656.0,2004.0,656.0,1703.0,,,178.0,1804.0,,155.0,1570.0,,493.0,2068.0,135.0,Jefferson County,PREC 1020 - TOM BRADFORD
Jefferson County,PREC 1030 - L_M_ SMITH MI,2029.0,271.0,2056.0,243.0,2107.0,,,,2106.0,,,1717.0,,164.0,2112.0,,Jefferson County,PREC 1030 - L_M_ SMITH MI
Jefferson County,PREC 1040 - BETHEL BAPTIS,1962.0,51.0,1965.0,42.0,1980.0,,,,1979.0,,,1692.0,,25.0,1987.0,,Jefferson County,PREC 1040 - BETHEL BAPTIS
Jefferson County,PREC 1050 - MIDFIELD COMM,1588.0,162.0,1596.0,149.0,1624.0,,,,1622.0,,,1409.0,,112.0,1628.0,,Jefferson County,PREC 1050 - MIDFIELD COMM
Jefferson County,PREC 1060 - SUN VALLEY EL,1909.0,245.0,1927.0,224.0,1963.0,,,,1969.0,,,1564.0,,141.0,1954.0,120.0,Jefferson County,PREC 1060 - SUN VALLEY EL
Jefferson County,PREC 1070 - CRESTWOOD ED,1711.0,503.0,1597.0,586.0,1679.0,209.0,,,1656.0,,,866.0,,340.0,1598.0,591.0,Jefferson County,PREC 1070 - CRESTWOOD ED
Jefferson County,PREC 1080 - GEORGE FRENCH,981.0,28.0,990.0,18.0,998.0,,,,1001.0,,,931.0,,11.0,997.0,,Jefferson County,PREC 1080 - GEORGE FRENCH
Jefferson County,PREC 1090 - FORESTDALE SQ,1680.0,203.0,1684.0,196.0,1727.0,,,,1732.0,,,1438.0,,136.0,1733.0,,Jefferson County,PREC 1090 - FORESTDALE SQ
Jefferson County,PREC 1100 - SOUTH HAMPTON,1293.0,44.0,1294.0,40.0,1305.0,,,,1314.0,,,1147.0,,19.0,1319.0,,Jefferson County,PREC 1100 - SOUTH HAMPTON
Jefferson County,PREC 1110 - DON HAWKINS P,1288.0,398.0,1266.0,407.0,1317.0,9.0,,,1328.0,,,904.0,,291.0,1336.0,,Jefferson County,PREC 1110 - DON HAWKINS P
Jefferson County,PREC 1120 - ROBINSON ELEM,1005.0,139.0,1028.0,119.0,1021.0,54.0,,,1046.0,,,898.0,,87.0,1052.0,,Jefferson County,PREC 1120 - ROBINSON ELEM
Jefferson County,PREC 1130 - MARTHA GASKIN,1102.0,200.0,1108.0,195.0,1132.0,,,,1133.0,,,930.0,,130.0,1143.0,,Jefferson County,PREC 1130 - MARTHA GASKIN
Jefferson County,PREC 1140 - BIRMINGHAM FI,1294.0,194.0,1256.0,222.0,1291.0,94.0,,,1284.0,,,832.0,,101.0,1322.0,,Jefferson County,PREC 1140 - BIRMINGHAM FI
Jefferson County,PREC 1150 - ADAMSVILLE CH,817.0,370.0,813.0,373.0,858.0,,,,858.0,,,705.0,,289.0,833.0,258.0,Jefferson County,PREC 1150 - ADAMSVILLE CH
Jefferson County,PREC 1160 - FAITH CHAPEL,817.0,110.0,815.0,106.0,822.0,,,,826.0,,,754.0,,90.0,828.0,,Jefferson County,PREC 1160 - FAITH CHAPEL
Jefferson County,PREC 1170 - HUDSON MIDDLE,824.0,23.0,831.0,13.0,839.0,,,,839.0,,,773.0,,5.0,839.0,,Jefferson County,PREC 1170 - HUDSON MIDDLE
Jefferson County,PREC 1180 - BARRETT ELEME,931.0,59.0,946.0,39.0,960.0,,,,959.0,,,841.0,,27.0,960.0,,Jefferson County,PREC 1180 - BARRETT ELEME
Jefferson County,PREC 1190 - INGLENOOK ELE,902.0,41.0,916.0,26.0,924.0,,,,928.0,,,852.0,,15.0,926.0,,Jefferson County,PREC 1190 - INGLENOOK ELE
Jefferson County,PREC 1200 - NORWOOD COMMU,839.0,29.0,845.0,15.0,839.0,1.0,,,847.0,,,760.0,,8.0,851.0,,Jefferson County,PREC 1200 - NORWOOD COMMU
Jefferson County,PREC 1210 - GLEN OAKS ELE,1099.0,52.0,1108.0,41.0,1119.0,,,,1119.0,,,973.0,,26.0,1122.0,,Jefferson County,PREC 1210 - GLEN OAKS ELE
