county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Lamar County,ABSENTEE,21.0,122.0,14.0,126.0,,,,129.0,15.0,,127.0,8.0,,88.0,14.0,129.0,Lamar County,ABSENTEE
Lamar County,BEAVERTON CITY HALL NORTH,4.0,23.0,3.0,24.0,,,,25.0,2.0,,23.0,2.0,,16.0,2.0,24.0,Lamar County,BEAVERTON CITY HALL NORTH
Lamar County,BEAVERTON CITY HALL SOUTH,16.0,107.0,15.0,105.0,,,,108.0,13.0,,106.0,11.0,,66.0,13.0,111.0,Lamar County,BEAVERTON CITY HALL SOUTH
Lamar County,BEDFORD MILITARY,19.0,82.0,17.0,86.0,,,,83.0,16.0,,86.0,9.0,,49.0,15.0,88.0,Lamar County,BEDFORD MILITARY
Lamar County,BLOOMING GROVE,1.0,43.0,3.0,40.0,,,,42.0,3.0,,43.0,2.0,,17.0,3.0,42.0,Lamar County,BLOOMING GROVE
Lamar County,CREWS METHODIST CHURCH,15.0,183.0,22.0,174.0,,,,182.0,18.0,,179.0,7.0,,114.0,16.0,180.0,Lamar County,CREWS METHODIST CHURCH
Lamar County,CROSSVILLE LAWRENCE,35.0,143.0,28.0,146.0,,,,153.0,24.0,,153.0,11.0,,86.0,27.0,149.0,Lamar County,CROSSVILLE LAWRENCE
Lamar County,DETROIT CITY HALL,18.0,191.0,20.0,186.0,,,,186.0,24.0,,182.0,12.0,,103.0,21.0,186.0,Lamar County,DETROIT CITY HALL
Lamar County,FAIRVIEW SIZEMORE,21.0,32.0,17.0,34.0,,,,39.0,17.0,,35.0,12.0,,16.0,17.0,36.0,Lamar County,FAIRVIEW SIZEMORE
Lamar County,FERNBANK COMMUNITY CENTER,13.0,155.0,9.0,158.0,,,,160.0,12.0,,156.0,6.0,,99.0,10.0,159.0,Lamar County,FERNBANK COMMUNITY CENTER
Lamar County,GUIN MT OLIVE,6.0,79.0,7.0,78.0,,,,81.0,6.0,,79.0,4.0,,38.0,6.0,80.0,Lamar County,GUIN MT OLIVE
Lamar County,HENSON SPRINGS FIRE STATION,6.0,52.0,5.0,53.0,,,,52.0,4.0,,54.0,4.0,,38.0,4.0,54.0,Lamar County,HENSON SPRINGS FIRE STATION
Lamar County,HIGHTOGY RIDGE,11.0,144.0,6.0,148.0,,,,146.0,7.0,,145.0,4.0,,83.0,5.0,149.0,Lamar County,HIGHTOGY RIDGE
Lamar County,KENNEDY COMMUNITY CENTER,75.0,376.0,58.0,393.0,,,,404.0,56.0,,398.0,43.0,,259.0,54.0,402.0,Lamar County,KENNEDY COMMUNITY CENTER
Lamar County,MILLPORT LIBRARY,170.0,253.0,158.0,265.0,,,,280.0,157.0,,267.0,122.0,,138.0,153.0,270.0,Lamar County,MILLPORT LIBRARY
Lamar County,MOLLOY BETTS,15.0,165.0,11.0,169.0,,,,166.0,13.0,,167.0,7.0,,103.0,13.0,169.0,Lamar County,MOLLOY BETTS
Lamar County,MT_ PLEASANT CURRY,5.0,72.0,3.0,74.0,,,,76.0,6.0,,72.0,2.0,,43.0,3.0,74.0,Lamar County,MT_ PLEASANT CURRY
Lamar County,PINE SPRINGS,15.0,100.0,16.0,96.0,,,,98.0,12.0,,101.0,6.0,,63.0,13.0,102.0,Lamar County,PINE SPRINGS
Lamar County,PROVISIONAL,1.0,2.0,1.0,2.0,,,,1.0,1.0,,2.0,0.0,,0.0,1.0,2.0,Lamar County,PROVISIONAL
Lamar County,STAR COMMUNITY CENTER,2.0,71.0,3.0,67.0,,,,67.0,5.0,,68.0,0.0,,32.0,3.0,68.0,Lamar County,STAR COMMUNITY CENTER
Lamar County,STRICKLAND KINGVILLE,8.0,79.0,6.0,79.0,,,,81.0,5.0,,81.0,1.0,,48.0,3.0,81.0,Lamar County,STRICKLAND KINGVILLE
Lamar County,SULLIGENT CITY HALL NORTH,159.0,517.0,142.0,530.0,,,,539.0,139.0,,528.0,101.0,,356.0,133.0,539.0,Lamar County,SULLIGENT CITY HALL NORTH
Lamar County,SULLIGENT CITY HALL SOUTH,75.0,214.0,80.0,209.0,,,,225.0,72.0,,217.0,48.0,,135.0,70.0,218.0,Lamar County,SULLIGENT CITY HALL SOUTH
Lamar County,TRULL,3.0,101.0,4.0,100.0,,,,100.0,1.0,,103.0,1.0,,57.0,4.0,100.0,Lamar County,TRULL
Lamar County,VAILS,10.0,165.0,7.0,166.0,,,,164.0,6.0,,167.0,3.0,,122.0,7.0,164.0,Lamar County,VAILS
Lamar County,VERNON ARMORY EAST,75.0,360.0,59.0,376.0,,,,385.0,60.0,,373.0,22.0,,233.0,59.0,376.0,Lamar County,VERNON ARMORY EAST
Lamar County,VERNON ARMORY WEST,175.0,568.0,166.0,560.0,,,,583.0,166.0,,564.0,110.0,,293.0,155.0,580.0,Lamar County,VERNON ARMORY WEST
