county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Lauderdale County,1ST PRESBYTERIAN CHURCH,243.0,163.0,264.0,137.0,,195.0,,131.0,279.0,,124.0,151.0,,76.0,261.0,142.0,Lauderdale County,1ST PRESBYTERIAN CHURCH
Lauderdale County,ABSENTEE,384.0,736.0,379.0,737.0,207.0,125.0,,704.0,403.0,,720.0,217.0,,503.0,383.0,735.0,Lauderdale County,ABSENTEE
Lauderdale County,ANDERSON TOWN HALL,151.0,476.0,141.0,484.0,169.0,,,453.0,155.0,,471.0,74.0,,330.0,156.0,471.0,Lauderdale County,ANDERSON TOWN HALL
Lauderdale County,ATLAS CHURCH OF CHRIST,496.0,1647.0,447.0,1661.0,,311.0,,1694.0,547.0,,1581.0,175.0,,896.0,491.0,1630.0,Lauderdale County,ATLAS CHURCH OF CHRIST
Lauderdale County,BROADWAY REC_ CENTER,294.0,286.0,301.0,275.0,,311.0,,212.0,319.0,,260.0,191.0,,163.0,302.0,275.0,Lauderdale County,BROADWAY REC_ CENTER
Lauderdale County,CENTER STAR 1ST BAPTIST,425.0,1392.0,406.0,1398.0,456.0,,,1345.0,459.0,,1360.0,208.0,,840.0,437.0,1381.0,Lauderdale County,CENTER STAR 1ST BAPTIST
Lauderdale County,CENTRAL BAPTIST CHURCH,188.0,151.0,193.0,141.0,15.0,149.0,,126.0,211.0,,123.0,125.0,,76.0,197.0,137.0,Lauderdale County,CENTRAL BAPTIST CHURCH
Lauderdale County,CENTRAL COMM_ CENTER,250.0,808.0,239.0,808.0,103.0,130.0,,780.0,301.0,,751.0,103.0,,417.0,235.0,813.0,Lauderdale County,CENTRAL COMM_ CENTER
Lauderdale County,CHRIST CHAPEL CH_ & ANNEX,612.0,1182.0,574.0,1203.0,489.0,105.0,,1139.0,666.0,,1128.0,280.0,,685.0,627.0,1160.0,Lauderdale County,CHRIST CHAPEL CH_ & ANNEX
Lauderdale County,CLOVERDALE COMM_ CENTER,221.0,749.0,216.0,739.0,,223.0,,677.0,250.0,,713.0,98.0,,423.0,238.0,727.0,Lauderdale County,CLOVERDALE COMM_ CENTER
Lauderdale County,E CAMPUS WOODMONT BAP CH,278.0,493.0,264.0,501.0,177.0,85.0,,454.0,298.0,,468.0,115.0,,267.0,287.0,483.0,Lauderdale County,E CAMPUS WOODMONT BAP CH
Lauderdale County,ELGIN SENIOR CENTER,232.0,762.0,216.0,775.0,244.0,,,746.0,241.0,,751.0,132.0,,528.0,231.0,760.0,Lauderdale County,ELGIN SENIOR CENTER
Lauderdale County,FAIRGROUNDS RD SENIOR CTR,338.0,317.0,329.0,328.0,,326.0,,268.0,360.0,,297.0,197.0,,186.0,343.0,314.0,Lauderdale County,FAIRGROUNDS RD SENIOR CTR
