county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Lawrence County,ABSENTEE,87.0,209.0,78.0,213.0,91.0,,,200.0,25.0,,202.0,53.0,,87.0,79.0,215.0,Lawrence County,ABSENTEE
Lawrence County,BOARD OF EDUCATION 25-1,239.0,657.0,171.0,702.0,295.0,,,591.0,,,676.0,68.0,,234.0,157.0,726.0,Lawrence County,BOARD OF EDUCATION 25-1
Lawrence County,CADDO FIRE  DEPT_,156.0,661.0,128.0,674.0,148.0,,,658.0,,,671.0,62.0,,342.0,108.0,698.0,Lawrence County,CADDO FIRE  DEPT_
Lawrence County,CADDO SR_ CENTER,158.0,669.0,129.0,697.0,148.0,,,676.0,,,699.0,38.0,,321.0,113.0,709.0,Lawrence County,CADDO SR_ CENTER
Lawrence County,CHALYBEATE FIRE DEPT 17-1,97.0,494.0,74.0,511.0,108.0,,,476.0,,,494.0,29.0,,222.0,70.0,518.0,Lawrence County,CHALYBEATE FIRE DEPT 17-1
Lawrence County,DONALD BAPTIST CHURCH,93.0,212.0,86.0,217.0,100.0,,,200.0,,,205.0,58.0,,95.0,85.0,217.0,Lawrence County,DONALD BAPTIST CHURCH
Lawrence County,FAIRFIELD CH 22-1 & 30-1,53.0,151.0,37.0,159.0,50.0,,,151.0,,,159.0,23.0,,59.0,35.0,161.0,Lawrence County,FAIRFIELD CH 22-1 & 30-1
Lawrence County,FREEMAN TABERNACLE 26-1,155.0,17.0,156.0,12.0,156.0,,,13.0,,,18.0,131.0,,8.0,154.0,14.0,Lawrence County,FREEMAN TABERNACLE 26-1
Lawrence County,HATTON CHURCH OF CHRIST,171.0,473.0,156.0,465.0,173.0,,,460.0,,,451.0,54.0,,185.0,138.0,482.0,Lawrence County,HATTON CHURCH OF CHRIST
Lawrence County,HILLSBORO CITY HALL 1-1,305.0,63.0,306.0,59.0,304.0,,,64.0,308.0,,54.0,263.0,,29.0,303.0,62.0,Lawrence County,HILLSBORO CITY HALL 1-1
Lawrence County,HILLSBORO FIRE DEPT_,175.0,136.0,168.0,142.0,176.0,,,133.0,177.0,,133.0,129.0,,60.0,160.0,146.0,Lawrence County,HILLSBORO FIRE DEPT_
Lawrence County,KITCHENS MILL 29-1 & 35-1,87.0,421.0,77.0,426.0,97.0,,,404.0,,,425.0,26.0,,213.0,70.0,433.0,Lawrence County,KITCHENS MILL 29-1 & 35-1
Lawrence County,LANDERSVILLE METHOD 12-1,77.0,189.0,71.0,186.0,78.0,,,183.0,,,183.0,31.0,,66.0,60.0,201.0,Lawrence County,LANDERSVILLE METHOD 12-1
Lawrence County,LAWRENCE HEALTH DEPT 19-1,176.0,459.0,141.0,484.0,192.0,,,434.0,,,469.0,70.0,,191.0,133.0,496.0,Lawrence County,LAWRENCE HEALTH DEPT 19-1
Lawrence County,LINDSEY HALL CHURCH 31-1,12.0,39.0,8.0,43.0,17.0,,,32.0,,,40.0,2.0,,18.0,8.0,42.0,Lawrence County,LINDSEY HALL CHURCH 31-1
Lawrence County,LOOSIER CH OF CHRIST 16-1,69.0,161.0,62.0,161.0,68.0,,,161.0,,,157.0,14.0,,66.0,54.0,172.0,Lawrence County,LOOSIER CH OF CHRIST 16-1
Lawrence County,MCCARLEY CTR_ 6-1,121.0,129.0,113.0,128.0,134.0,,,110.0,,,134.0,79.0,,44.0,99.0,147.0,Lawrence County,MCCARLEY CTR_ 6-1
Lawrence County,MOULTON CITY HALL 24-1,40.0,170.0,33.0,173.0,50.0,,,158.0,,,163.0,14.0,,73.0,32.0,178.0,Lawrence County,MOULTON CITY HALL 24-1
Lawrence County,MT_ HOPE BAPT_ FELLOWSHIP,74.0,349.0,61.0,341.0,73.0,,,348.0,,,314.0,25.0,,99.0,53.0,356.0,Lawrence County,MT_ HOPE BAPT_ FELLOWSHIP
Lawrence County,MT_ MORIAH METHODIST,80.0,383.0,76.0,369.0,104.0,,,352.0,,,371.0,27.0,,149.0,74.0,380.0,Lawrence County,MT_ MORIAH METHODIST
Lawrence County,NEW ZION BAPTIST,41.0,124.0,33.0,123.0,37.0,,,126.0,,,119.0,11.0,,37.0,25.0,134.0,Lawrence County,NEW ZION BAPTIST
Lawrence County,N_ COURTLAND SR_ CTR_,369.0,30.0,378.0,20.0,379.0,,,22.0,381.0,,20.0,327.0,,8.0,375.0,24.0,Lawrence County,N_ COURTLAND SR_ CTR_
Lawrence County,PILGRAM MISSIONARY BAPT,60.0,382.0,60.0,364.0,109.0,,,323.0,,,377.0,17.0,,175.0,50.0,380.0,Lawrence County,PILGRAM MISSIONARY BAPT
Lawrence County,PINE GROVE CH 36-1,82.0,379.0,56.0,403.0,76.0,,,379.0,,,393.0,18.0,,205.0,51.0,408.0,Lawrence County,PINE GROVE CH 36-1
Lawrence County,PINEY GROVE CHURCH 32-1,17.0,73.0,14.0,74.0,15.0,,,73.0,,,75.0,6.0,,50.0,13.0,75.0,Lawrence County,PINEY GROVE CHURCH 32-1
