county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Lee County,ABSENTEE BS 1-20,585.0,670.0,571.0,679.0,558.0,,,653.0,586.0,,670.0,383.0,,505.0,593.0,662.0,Lee County,ABSENTEE BS 1-20
Lee County,ABSENTEE BS 21-45,199.0,343.0,195.0,341.0,200.0,,,270.0,197.0,,343.0,143.0,,274.0,194.0,345.0,Lee County,ABSENTEE BS 21-45
Lee County,BEULAH FIRE DEPT #3,141.0,1073.0,144.0,1071.0,149.0,,,1063.0,141.0,,1071.0,106.0,,851.0,145.0,1073.0,Lee County,BEULAH FIRE DEPT #3
Lee County,BEULAH HIGH SCHOOL,78.0,767.0,76.0,766.0,84.0,,,758.0,81.0,,762.0,40.0,,548.0,85.0,764.0,Lee County,BEULAH HIGH SCHOOL
Lee County,BOYKIN COMM CTR,2166.0,1889.0,2145.0,1874.0,2081.0,,,1903.0,2215.0,,1809.0,1357.0,,1119.0,2273.0,1782.0,Lee County,BOYKIN COMM CTR
Lee County,CLARION INN S COLLEGE,2607.0,4017.0,2520.0,4042.0,2612.0,,,3219.0,2727.0,,3837.0,1423.0,,2444.0,2800.0,3819.0,Lee County,CLARION INN S COLLEGE
Lee County,COVINGTON PARK COMM CTR,1022.0,163.0,1041.0,143.0,1038.0,,,133.0,1032.0,,143.0,909.0,,100.0,1036.0,142.0,Lee County,COVINGTON PARK COMM CTR
Lee County,CRAWFORD VFD,313.0,378.0,314.0,376.0,314.0,,,373.0,306.0,,384.0,240.0,,283.0,315.0,376.0,Lee County,CRAWFORD VFD
Lee County,DEAN ROAD REC CTR,1521.0,1885.0,1488.0,1860.0,1442.0,,,1934.0,1592.0,,1784.0,748.0,,1026.0,1664.0,1732.0,Lee County,DEAN ROAD REC CTR
Lee County,DOWNTOWN MARVYN,142.0,144.0,150.0,136.0,149.0,,,131.0,144.0,,136.0,114.0,,92.0,153.0,131.0,Lee County,DOWNTOWN MARVYN
Lee County,EAMC HEALTH RESOURCE CTR,1003.0,1709.0,987.0,1703.0,1018.0,,,1133.0,972.0,,1704.0,591.0,,1153.0,1044.0,1660.0,Lee County,EAMC HEALTH RESOURCE CTR
Lee County,FARMVILLE VFD,418.0,898.0,403.0,907.0,532.0,,,,438.0,,860.0,203.0,,553.0,461.0,860.0,Lee County,FARMVILLE VFD
Lee County,FRANK BROWN REC CTR,2067.0,1853.0,2044.0,1856.0,2013.0,,,1697.0,2095.0,,1805.0,1137.0,,1095.0,2200.0,1731.0,Lee County,FRANK BROWN REC CTR
Lee County,GLENWOOD SCHOOL,746.0,2113.0,760.0,2091.0,698.0,,,2158.0,740.0,,2112.0,508.0,,1634.0,769.0,2094.0,Lee County,GLENWOOD SCHOOL
Lee County,LOACHAPOKA COMM CTR,713.0,438.0,719.0,425.0,798.0,,,,728.0,,420.0,592.0,,254.0,739.0,415.0,Lee County,LOACHAPOKA COMM CTR
Lee County,OPELIKA LEARNING CTR,1449.0,519.0,1478.0,480.0,1484.0,,,470.0,1465.0,,491.0,1204.0,,332.0,1499.0,475.0,Lee County,OPELIKA LEARNING CTR
Lee County,OPELIKA REC CTR,588.0,963.0,560.0,978.0,594.0,,,940.0,583.0,,952.0,354.0,,633.0,623.0,921.0,Lee County,OPELIKA REC CTR
Lee County,OPELIKA SPORTSPLEX,1123.0,2453.0,1111.0,2460.0,1190.0,,,2006.0,1127.0,,2443.0,714.0,,1662.0,1178.0,2399.0,Lee County,OPELIKA SPORTSPLEX
Lee County,PINE GROVE CHURCH,253.0,718.0,267.0,701.0,253.0,,,708.0,264.0,,699.0,201.0,,513.0,261.0,710.0,Lee County,PINE GROVE CHURCH
Lee County,PROVIDENCE CHURCH,601.0,1317.0,588.0,1317.0,616.0,,,993.0,605.0,,1311.0,411.0,,919.0,629.0,1291.0,Lee County,PROVIDENCE CHURCH
Lee County,PROVISIONAL BS 1-20,43.0,75.0,46.0,72.0,45.0,,,71.0,46.0,,70.0,33.0,,57.0,51.0,67.0,Lee County,PROVISIONAL BS 1-20
Lee County,PROVISIONAL BS 21-45,20.0,16.0,21.0,15.0,21.0,,,10.0,21.0,,15.0,18.0,,12.0,20.0,16.0,Lee County,PROVISIONAL BS 21-45
Lee County,SENIOR CTR SMITH STATION,519.0,1284.0,527.0,1278.0,513.0,,,1292.0,517.0,,1288.0,397.0,,976.0,536.0,1272.0,Lee County,SENIOR CTR SMITH STATION
Lee County,SMITHS STATION AUDITORIUM,1445.0,2875.0,1456.0,2856.0,1420.0,,,2890.0,1457.0,,2856.0,1119.0,,2179.0,1462.0,2863.0,Lee County,SMITHS STATION AUDITORIUM
Lee County,UPTOWN WAVERLY,97.0,110.0,102.0,106.0,108.0,,,,99.0,,108.0,80.0,,80.0,100.0,109.0,Lee County,UPTOWN WAVERLY
Lee County,WACOOCHEE JR HIGH SCHOOL,162.0,568.0,166.0,563.0,174.0,,,552.0,173.0,,556.0,122.0,,402.0,172.0,559.0,Lee County,WACOOCHEE JR HIGH SCHOOL
