county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Limestone County,ABSENTEE,445.0,771.0,421.0,781.0,315.0,3.0,,799.0,318.0,,788.0,265.0,,448.0,444.0,762.0,Limestone County,ABSENTEE
Limestone County,ARDMORE MUNICIPAL ANNEX,197.0,830.0,166.0,848.0,55.0,,,864.0,180.0,,832.0,82.0,,425.0,202.0,822.0,Limestone County,ARDMORE MUNICIPAL ANNEX
Limestone County,ATHENS RECREATION CTR,666.0,1593.0,604.0,1643.0,572.0,,,1671.0,621.0,,1609.0,320.0,,721.0,643.0,1607.0,Limestone County,ATHENS RECREATION CTR
Limestone County,ATHENS SENIOR CITIZEN CTR,356.0,634.0,343.0,639.0,344.0,,,632.0,360.0,,622.0,200.0,,281.0,362.0,628.0,Limestone County,ATHENS SENIOR CITIZEN CTR
Limestone County,BELMOR BAPTIST CHURCH,422.0,269.0,426.0,261.0,404.0,31.0,,248.0,,,320.0,308.0,,133.0,438.0,248.0,Limestone County,BELMOR BAPTIST CHURCH
Limestone County,BETHEL CHURCH OF CHRIST,671.0,1903.0,615.0,1950.0,428.0,,,1955.0,628.0,,1930.0,319.0,,995.0,649.0,1919.0,Limestone County,BETHEL CHURCH OF CHRIST
Limestone County,CAPSHAW BAPTIST CHURCH,1216.0,1418.0,1194.0,1426.0,,,,1600.0,1220.0,,1400.0,723.0,,827.0,1208.0,1412.0,Limestone County,CAPSHAW BAPTIST CHURCH
Limestone County,CLEMENTS BAPTIST CHURCH,237.0,707.0,201.0,730.0,222.0,,,701.0,222.0,,707.0,112.0,,318.0,236.0,708.0,Limestone County,CLEMENTS BAPTIST CHURCH
Limestone County,COPELAND PRESBYTERIAN CH,285.0,886.0,275.0,893.0,13.0,,,930.0,268.0,,900.0,139.0,,468.0,292.0,873.0,Limestone County,COPELAND PRESBYTERIAN CH
Limestone County,ELKMONT TOWN HALL,199.0,782.0,169.0,801.0,173.0,,,789.0,175.0,,790.0,92.0,,334.0,196.0,776.0,Limestone County,ELKMONT TOWN HALL
Limestone County,ELKTON RD BAPTIST CHURCH,205.0,672.0,172.0,697.0,176.0,,,688.0,193.0,,668.0,96.0,,286.0,205.0,667.0,Limestone County,ELKTON RD BAPTIST CHURCH
Limestone County,FIRST BAPT_ CHURCH TANNER,241.0,225.0,234.0,226.0,233.0,3.0,,227.0,,,247.0,178.0,,120.0,243.0,216.0,Limestone County,FIRST BAPT_ CHURCH TANNER
Limestone County,FRIENDSHIP UNITED METH CH,478.0,1142.0,437.0,1165.0,427.0,,,1172.0,457.0,,1142.0,244.0,,477.0,472.0,1132.0,Limestone County,FRIENDSHIP UNITED METH CH
Limestone County,GOODSPRINGS SENIOR CTR_,37.0,222.0,26.0,229.0,26.0,,,228.0,32.0,,220.0,14.0,,97.0,32.0,226.0,Limestone County,GOODSPRINGS SENIOR CTR_
Limestone County,ISOM'S CHAPEL UNITED METH,383.0,1104.0,368.0,1120.0,96.0,,,1138.0,363.0,,1123.0,179.0,,573.0,389.0,1100.0,Limestone County,ISOM'S CHAPEL UNITED METH
Limestone County,LAMB OF GOD LUTHERAN CH,1250.0,1820.0,1213.0,1834.0,1124.0,167.0,,1734.0,,,2033.0,669.0,,1084.0,1251.0,1807.0,Limestone County,LAMB OF GOD LUTHERAN CH
Limestone County,LESTER TOWN HALL,17.0,77.0,16.0,77.0,13.0,,,79.0,16.0,,77.0,6.0,,31.0,19.0,75.0,Limestone County,LESTER TOWN HALL
Limestone County,LINDSAY LANE BAPTIST,598.0,1656.0,509.0,1743.0,479.0,,,1756.0,542.0,,1693.0,261.0,,787.0,557.0,1705.0,Limestone County,LINDSAY LANE BAPTIST
Limestone County,MAYS MEMORIAL BAPTIST,166.0,808.0,133.0,838.0,57.0,,,839.0,140.0,,832.0,73.0,,407.0,154.0,818.0,Limestone County,MAYS MEMORIAL BAPTIST
Limestone County,PINCHAM-LINCOLN CTR,907.0,627.0,891.0,632.0,879.0,,,644.0,902.0,,618.0,694.0,,298.0,907.0,620.0,Limestone County,PINCHAM-LINCOLN CTR
Limestone County,PLEASANT GROVE FIRE DEPT,79.0,484.0,62.0,489.0,64.0,,,473.0,74.0,,473.0,28.0,,160.0,80.0,472.0,Limestone County,PLEASANT GROVE FIRE DEPT
Limestone County,PROVISIONAL,71.0,140.0,64.0,143.0,58.0,2.0,,140.0,49.0,,146.0,46.0,,76.0,67.0,138.0,Limestone County,PROVISIONAL
Limestone County,RIDDLES HALL,115.0,310.0,100.0,317.0,112.0,,,308.0,127.0,,293.0,63.0,,122.0,129.0,295.0,Limestone County,RIDDLES HALL
Limestone County,ROUND ISLAND BAPTIST CHUR,521.0,1015.0,506.0,1009.0,491.0,56.0,,957.0,181.0,,1018.0,323.0,,415.0,519.0,996.0,Limestone County,ROUND ISLAND BAPTIST CHUR
Limestone County,WEST LIMESTONE FIRE DEPT,81.0,393.0,78.0,388.0,86.0,,,383.0,81.0,,387.0,31.0,,136.0,76.0,397.0,Limestone County,WEST LIMESTONE FIRE DEPT
Limestone County,WESTSIDE COMMUNITY CTR_,370.0,1550.0,319.0,1582.0,315.0,24.0,,1541.0,338.0,,1550.0,166.0,,623.0,348.0,1561.0,Limestone County,WESTSIDE COMMUNITY CTR_
Limestone County,WOOLEY SPRINGS BAPTIST CH,208.0,1175.0,194.0,1186.0,57.0,,,1196.0,201.0,,1178.0,86.0,,603.0,225.0,1161.0,Limestone County,WOOLEY SPRINGS BAPTIST CH
