county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Lowndes County,ABSENTEE,169.0,56.0,172.0,51.0,170.0,,,,133.0,74.0,,132.0,,17.0,172.0,,Lowndes County,ABSENTEE
Lowndes County,BETHEL CHURCH,240.0,67.0,246.0,59.0,263.0,,,,236.0,66.0,,209.0,,18.0,264.0,,Lowndes County,BETHEL CHURCH
Lowndes County,BURKEVILLE VOLUNTEER,272.0,119.0,282.0,107.0,301.0,,,,273.0,64.0,,228.0,,49.0,300.0,,Lowndes County,BURKEVILLE VOLUNTEER
Lowndes County,FT_ DEPOSIT ARMORY,346.0,192.0,381.0,151.0,401.0,,,,377.0,89.0,,304.0,,62.0,409.0,,Lowndes County,FT_ DEPOSIT ARMORY
Lowndes County,HAYNEVILLE C_H_ ANNEX,454.0,137.0,477.0,111.0,494.0,,,,453.0,102.0,,391.0,,42.0,491.0,,Lowndes County,HAYNEVILLE C_H_ ANNEX
Lowndes County,LILY BAPTIST CHURCH,56.0,91.0,62.0,83.0,74.0,,,,65.0,33.0,,50.0,,42.0,78.0,,Lowndes County,LILY BAPTIST CHURCH
Lowndes County,LOWNDES CITY DEV OFFICE,153.0,231.0,155.0,227.0,178.0,,,,153.0,108.0,,133.0,,123.0,181.0,,Lowndes County,LOWNDES CITY DEV OFFICE
Lowndes County,LOWNDESBORO CME CHURCH,83.0,281.0,76.0,286.0,121.0,,,,68.0,165.0,,49.0,,131.0,117.0,,Lowndes County,LOWNDESBORO CME CHURCH
Lowndes County,MOSSES TOWN HALL,547.0,42.0,573.0,15.0,576.0,,,,561.0,22.0,,496.0,,5.0,575.0,,Lowndes County,MOSSES TOWN HALL
Lowndes County,NEW HOPE CHURCH,256.0,15.0,266.0,7.0,265.0,,,,263.0,2.0,,240.0,,5.0,264.0,,Lowndes County,NEW HOPE CHURCH
Lowndes County,NEW SALEM CHURCH,234.0,108.0,240.0,100.0,260.0,,,,235.0,75.0,,210.0,,32.0,262.0,,Lowndes County,NEW SALEM CHURCH
Lowndes County,PROVISIONAL,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,,0.0,0.0,,Lowndes County,PROVISIONAL
Lowndes County,SANDY RIDGE COMMUNITY CTR,117.0,120.0,115.0,123.0,129.0,,,,113.0,67.0,,94.0,,54.0,135.0,,Lowndes County,SANDY RIDGE COMMUNITY CTR
Lowndes County,WHITEHALL TOWN HALL,560.0,96.0,568.0,79.0,582.0,,,,558.0,63.0,,494.0,,35.0,583.0,,Lowndes County,WHITEHALL TOWN HALL
