county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Macon County,ABSENTEE,188.0,54.0,196.0,41.0,200.0,,,,199.0,,,151.0,0.0,16.0,193.0,48.0,Macon County,ABSENTEE
Macon County,BROWNVILLE VFD,150.0,49.0,157.0,42.0,162.0,,,,164.0,,,129.0,0.0,31.0,154.0,44.0,Macon County,BROWNVILLE VFD
Macon County,CHISHOLM COMM_ CTR_,175.0,131.0,170.0,134.0,192.0,,,,196.0,,,145.0,0.0,84.0,178.0,126.0,Macon County,CHISHOLM COMM_ CTR_
Macon County,COTTON VALLEY REC_ CENTER,204.0,29.0,217.0,16.0,219.0,,,,219.0,,,191.0,0.0,14.0,211.0,22.0,Macon County,COTTON VALLEY REC_ CENTER
Macon County,DISTRICT 4 COMM_ CTR_,177.0,194.0,185.0,180.0,218.0,,,,212.0,,,135.0,0.0,85.0,182.0,185.0,Macon County,DISTRICT 4 COMM_ CTR_
Macon County,DISTRICT 4 RECREATION,231.0,16.0,237.0,8.0,238.0,,,,235.0,,,175.0,0.0,4.0,233.0,13.0,Macon County,DISTRICT 4 RECREATION
Macon County,FRANKLIN TOWN HALL,455.0,125.0,459.0,117.0,487.0,,,,491.0,,,335.0,1.0,39.0,460.0,116.0,Macon County,FRANKLIN TOWN HALL
Macon County,MARGARET MURRAY WASH HALL,168.0,2.0,167.0,1.0,164.0,,,,165.0,,,140.0,0.0,1.0,165.0,2.0,Macon County,MARGARET MURRAY WASH HALL
Macon County,NATIONAL GUARD ARMORY,853.0,67.0,884.0,32.0,877.0,,,,882.0,,,661.0,1.0,23.0,866.0,47.0,Macon County,NATIONAL GUARD ARMORY
Macon County,NOTASULGA TOWN HALL,389.0,314.0,385.0,318.0,473.0,,,,468.0,,,314.0,0.0,111.0,397.0,305.0,Macon County,NOTASULGA TOWN HALL
Macon County,PRAIRIE FARM REC_CTR_,483.0,175.0,500.0,154.0,526.0,,,,522.0,,,399.0,0.0,84.0,482.0,170.0,Macon County,PRAIRIE FARM REC_CTR_
Macon County,PROVISIONAL,20.0,2.0,21.0,0.0,21.0,,,,20.0,,,19.0,0.0,1.0,21.0,0.0,Macon County,PROVISIONAL
Macon County,SOJOURNER COMM_ CTR_,886.0,85.0,931.0,34.0,932.0,,,,929.0,,,695.0,0.0,15.0,920.0,46.0,Macon County,SOJOURNER COMM_ CTR_
Macon County,TUSKEGEE MUNICIPAL COMPLX,1035.0,63.0,1062.0,35.0,1067.0,,,,1076.0,,,843.0,0.0,16.0,1055.0,45.0,Macon County,TUSKEGEE MUNICIPAL COMPLX
Macon County,VOLUNTEER FIRE STATION,197.0,49.0,199.0,46.0,213.0,,,,212.0,,,170.0,0.0,22.0,198.0,47.0,Macon County,VOLUNTEER FIRE STATION
Macon County,WARRIOR DIST_2 REC_ CTR_,271.0,21.0,274.0,18.0,281.0,,,,279.0,,,252.0,0.0,11.0,273.0,19.0,Macon County,WARRIOR DIST_2 REC_ CTR_
