county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Madison County,1ST BAPTIST CHURCH,1161.0,1474.0,990.0,1619.0,975.0,,,1470.0,913.0,,1676.0,428.0,0.0,851.0,1191.0,1443.0,Madison County,1ST BAPTIST CHURCH
Madison County,A & M UNIVERSITY NEW GYM,1002.0,38.0,1015.0,25.0,1021.0,,,,1013.0,,25.0,891.0,0.0,15.0,1009.0,28.0,Madison County,A & M UNIVERSITY NEW GYM
Madison County,ABSENTEE #1,2078.0,2241.0,2018.0,2281.0,1593.0,,31.0,2063.0,1581.0,,2327.0,1150.0,0.0,1535.0,2128.0,2194.0,Madison County,ABSENTEE #1
Madison County,ABSENTEE #2,338.0,462.0,329.0,466.0,33.0,,,521.0,311.0,,470.0,184.0,0.0,309.0,350.0,449.0,Madison County,ABSENTEE #2
Madison County,ALDERSGATE UNITED METH_,1037.0,1850.0,979.0,1887.0,1115.0,,3.0,1748.0,,,1991.0,486.0,1.0,1200.0,1049.0,1836.0,Madison County,ALDERSGATE UNITED METH_
Madison County,ALL NATIONS CHURCH,1007.0,736.0,995.0,741.0,1003.0,,55.0,440.0,1004.0,,729.0,711.0,4.0,497.0,1040.0,700.0,Madison County,ALL NATIONS CHURCH
Madison County,BOB HARRISON SR_ CTR_,1494.0,187.0,1498.0,178.0,1518.0,,,24.0,1500.0,,168.0,1259.0,0.0,122.0,1507.0,170.0,Madison County,BOB HARRISON SR_ CTR_
Madison County,BOBO VOLUNTEER FIRE,501.0,1269.0,470.0,1293.0,,,,1344.0,480.0,,1268.0,295.0,0.0,892.0,516.0,1256.0,Madison County,BOBO VOLUNTEER FIRE
Madison County,BROWNSBORO BAPT_ CHURCH,437.0,1025.0,385.0,1071.0,38.0,,,1094.0,386.0,,1066.0,226.0,0.0,722.0,443.0,1019.0,Madison County,BROWNSBORO BAPT_ CHURCH
Madison County,CALVARY HILL FRIENDSHIP C,764.0,122.0,781.0,103.0,793.0,,,,782.0,,98.0,656.0,0.0,64.0,778.0,107.0,Madison County,CALVARY HILL FRIENDSHIP C
Madison County,CHARLES STONE AG_ CTR_,373.0,127.0,368.0,129.0,381.0,,,72.0,363.0,,134.0,292.0,0.0,76.0,377.0,122.0,Madison County,CHARLES STONE AG_ CTR_
Madison County,CLEMENTS BAPTIST CHURCH,607.0,632.0,533.0,694.0,525.0,,,696.0,497.0,,711.0,229.0,0.0,363.0,640.0,601.0,Madison County,CLEMENTS BAPTIST CHURCH
Madison County,COMMUNITY FELLOWSHIP,845.0,1444.0,808.0,1457.0,691.0,,112.0,1451.0,517.0,,1491.0,402.0,7.0,908.0,876.0,1408.0,Madison County,COMMUNITY FELLOWSHIP
Madison County,COVE CHURCH AT CHASE,1678.0,2254.0,1617.0,2286.0,1753.0,,,1530.0,1599.0,,2273.0,999.0,0.0,1538.0,1695.0,2225.0,Madison County,COVE CHURCH AT CHASE
Madison County,COVE UNITED METHODIST CH_,963.0,2260.0,814.0,2388.0,738.0,,,2301.0,711.0,,2419.0,350.0,0.0,1522.0,951.0,2269.0,Madison County,COVE UNITED METHODIST CH_
Madison County,COVENANT PRESBYTERIAN CH_,699.0,1166.0,599.0,1244.0,568.0,,,1269.0,555.0,,1288.0,287.0,0.0,753.0,714.0,1134.0,Madison County,COVENANT PRESBYTERIAN CH_
Madison County,CO_ COMMISSION DIST_ 1,416.0,1056.0,411.0,1051.0,,,,1102.0,64.0,,1098.0,248.0,0.0,726.0,428.0,1044.0,Madison County,CO_ COMMISSION DIST_ 1
Madison County,DR_ RICHARD SHOWERS CTR_,1037.0,71.0,1048.0,60.0,1068.0,,,,1047.0,,59.0,877.0,0.0,39.0,1047.0,64.0,Madison County,DR_ RICHARD SHOWERS CTR_
Madison County,FAITH LUTHERAN,1686.0,1670.0,1640.0,1704.0,523.0,,62.0,1836.0,1673.0,,1668.0,947.0,6.0,1007.0,1685.0,1672.0,Madison County,FAITH LUTHERAN
