county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Marengo County,ABSENTEE,240.0,139.0,237.0,138.0,258.0,,,,250.0,25.0,,214.0,,81.0,261.0,,Marengo County,ABSENTEE
Marengo County,AFLAME CHURCH,515.0,1118.0,452.0,1166.0,696.0,,,,662.0,,,360.0,,661.0,666.0,,Marengo County,AFLAME CHURCH
Marengo County,DEMOPOLIS CIVIC CENTER,551.0,196.0,534.0,207.0,564.0,,,,567.0,,,439.0,,102.0,585.0,,Marengo County,DEMOPOLIS CIVIC CENTER
Marengo County,DEMOPOLIS NAT'L GUARD,612.0,128.0,617.0,124.0,618.0,,,,626.0,,,547.0,,93.0,640.0,,Marengo County,DEMOPOLIS NAT'L GUARD
Marengo County,DIXONS MILLS VOL_ FIRE,444.0,141.0,453.0,128.0,464.0,,,,451.0,39.0,,426.0,,106.0,465.0,,Marengo County,DIXONS MILLS VOL_ FIRE
Marengo County,FAUNSDALE TOWN OFFICE,203.0,120.0,204.0,121.0,217.0,,,,203.0,64.0,,194.0,,81.0,218.0,,Marengo County,FAUNSDALE TOWN OFFICE
Marengo County,FLATWOODS COMM_ CENTER,75.0,1.0,75.0,1.0,75.0,,,,75.0,0.0,,75.0,,1.0,75.0,,Marengo County,FLATWOODS COMM_ CENTER
Marengo County,JEFFERSON VOL FIRE DEPT,162.0,59.0,163.0,57.0,174.0,,,,169.0,,,143.0,,36.0,170.0,,Marengo County,JEFFERSON VOL FIRE DEPT
Marengo County,LINDEN ARMORY,349.0,284.0,355.0,273.0,375.0,,,,343.0,151.0,,313.0,,156.0,380.0,,Marengo County,LINDEN ARMORY
Marengo County,LINDEN HWY 43,133.0,300.0,131.0,292.0,141.0,,,,140.0,59.0,,105.0,,188.0,152.0,,Marengo County,LINDEN HWY 43
Marengo County,MAGNOLIA COMM_ CENTER,167.0,71.0,171.0,68.0,173.0,,,,168.0,43.0,,161.0,,39.0,176.0,,Marengo County,MAGNOLIA COMM_ CENTER
Marengo County,MYRTLEWOOD COMMUNITY,85.0,117.0,89.0,111.0,99.0,,,,100.0,,,79.0,,74.0,104.0,,Marengo County,MYRTLEWOOD COMMUNITY
Marengo County,NANAFALIA,104.0,72.0,109.0,68.0,116.0,,,,118.0,,,88.0,,46.0,121.0,,Marengo County,NANAFALIA
Marengo County,NICHOLSVILLE BAPTIST,51.0,95.0,53.0,92.0,65.0,,,,67.0,,,47.0,,68.0,68.0,,Marengo County,NICHOLSVILLE BAPTIST
Marengo County,PROVIDENCE TOWN HALL,307.0,348.0,294.0,356.0,362.0,,,,294.0,147.0,,255.0,,198.0,343.0,,Marengo County,PROVIDENCE TOWN HALL
Marengo County,PROVISIONAL,6.0,2.0,6.0,2.0,6.0,,,,6.0,0.0,,6.0,,2.0,6.0,,Marengo County,PROVISIONAL
Marengo County,PUTNAM VOTING BOOTH,73.0,31.0,75.0,29.0,77.0,,,,77.0,,,68.0,,17.0,80.0,,Marengo County,PUTNAM VOTING BOOTH
Marengo County,RANGELINE BAPTIST CHURCH,28.0,129.0,24.0,134.0,49.0,,,,47.0,,,19.0,,81.0,44.0,,Marengo County,RANGELINE BAPTIST CHURCH
Marengo County,SURGINER COMM_ CENTER,121.0,183.0,122.0,179.0,143.0,,,,123.0,79.0,,114.0,,129.0,145.0,,Marengo County,SURGINER COMM_ CENTER
Marengo County,SWEET WATER TOWN OFFICE,212.0,279.0,212.0,277.0,242.0,,,,241.0,6.0,,195.0,,161.0,244.0,,Marengo County,SWEET WATER TOWN OFFICE
Marengo County,THOMASTON,297.0,216.0,298.0,214.0,320.0,,,,292.0,122.0,,269.0,,124.0,326.0,,Marengo County,THOMASTON
