county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Marion County,ABSENTEE,62.0,256.0,49.0,250.0,,,,263.0,80.0,,212.0,22.0,,116.0,44.0,270.0,Marion County,ABSENTEE
Marion County,BACCUS UNION HALL,23.0,169.0,15.0,176.0,,,,176.0,,,176.0,5.0,,95.0,10.0,182.0,Marion County,BACCUS UNION HALL
Marion County,BARNSVILLE TRAILER HWY 11,49.0,226.0,39.0,227.0,,,,224.0,96.0,,180.0,7.0,,81.0,31.0,241.0,Marion County,BARNSVILLE TRAILER HWY 11
Marion County,BEAR CREEK CITY HALL,117.0,632.0,86.0,656.0,,,,647.0,,,646.0,36.0,,391.0,101.0,646.0,Marion County,BEAR CREEK CITY HALL
Marion County,BEXAR  BEHIND OLD POST OF,47.0,166.0,40.0,170.0,,,,164.0,83.0,,131.0,22.0,,85.0,44.0,170.0,Marion County,BEXAR  BEHIND OLD POST OF
Marion County,BRILLIANT COMM_ CENTER,82.0,376.0,67.0,388.0,,,,393.0,108.0,,345.0,38.0,,226.0,59.0,399.0,Marion County,BRILLIANT COMM_ CENTER
Marion County,CLARK BLDG OFF 129,53.0,198.0,38.0,207.0,,,,197.0,,,207.0,15.0,,103.0,34.0,214.0,Marion County,CLARK BLDG OFF 129
Marion County,GUIN CITY HALL,214.0,794.0,157.0,834.0,,,,840.0,266.0,,739.0,74.0,,459.0,133.0,874.0,Marion County,GUIN CITY HALL
Marion County,HACKLEBURG CITY HALL,111.0,400.0,67.0,438.0,,,,445.0,,,437.0,30.0,,233.0,63.0,445.0,Marion County,HACKLEBURG CITY HALL
Marion County,HAMILTON POLICE DEPT_,473.0,1988.0,377.0,2019.0,,,,2006.0,580.0,,1688.0,119.0,,812.0,320.0,2121.0,Marion County,HAMILTON POLICE DEPT_
Marion County,HOWELL SULLINS CHURCH,25.0,145.0,17.0,150.0,,,,145.0,,,145.0,7.0,,82.0,15.0,154.0,Marion County,HOWELL SULLINS CHURCH
Marion County,KEMP PLEASANT SITE CHURCH,9.0,42.0,7.0,41.0,,,,47.0,18.0,,32.0,1.0,,19.0,6.0,44.0,Marion County,KEMP PLEASANT SITE CHURCH
Marion County,KIMBROUGH CRAFT COMM BLDG N,65.0,211.0,48.0,227.0,,,,238.0,,,238.0,18.0,,140.0,43.0,231.0,Marion County,KIMBROUGH CRAFT COMM BLDG N
Marion County,KIMBROUGH CRAFT COMM BLDG S,21.0,116.0,19.0,119.0,,,,121.0,,,122.0,5.0,,83.0,20.0,118.0,Marion County,KIMBROUGH CRAFT COMM BLDG S
Marion County,PEARCES MILL PEA RIDGE FD,31.0,133.0,22.0,140.0,,,,142.0,14.0,,134.0,4.0,,66.0,16.0,145.0,Marion County,PEARCES MILL PEA RIDGE FD
Marion County,PIKEVILLE TRAILER,9.0,76.0,6.0,80.0,,,,72.0,22.0,,60.0,1.0,,39.0,4.0,81.0,Marion County,PIKEVILLE TRAILER
Marion County,PROVISIONAL,1.0,0.0,1.0,0.0,,,,0.0,1.0,,0.0,1.0,,0.0,1.0,0.0,Marion County,PROVISIONAL
Marion County,RYE BYRD VOL_ FIRE DEPT_,28.0,161.0,25.0,158.0,,,,162.0,58.0,,131.0,4.0,,63.0,20.0,168.0,Marion County,RYE BYRD VOL_ FIRE DEPT_
Marion County,SHILOH COMM_ BLDG_,38.0,231.0,30.0,229.0,,,,228.0,82.0,,182.0,10.0,,110.0,32.0,234.0,Marion County,SHILOH COMM_ BLDG_
Marion County,SHOTTSVILLE FIRE DEPT_,45.0,293.0,30.0,287.0,,,,282.0,135.0,,205.0,13.0,,102.0,36.0,297.0,Marion County,SHOTTSVILLE FIRE DEPT_
Marion County,WIGINTON COMM BLDG HWY 53,32.0,69.0,21.0,78.0,,,,71.0,,,74.0,10.0,,24.0,21.0,80.0,Marion County,WIGINTON COMM BLDG HWY 53
Marion County,WINFIELD COMM_ CENTER,342.0,1339.0,253.0,1409.0,,,,1462.0,444.0,,1216.0,118.0,,654.0,220.0,1456.0,Marion County,WINFIELD COMM_ CENTER
