county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Marshall County,1ST BAPTIST CHURCH,425.0,1509.0,354.0,1578.0,,,,1594.0,,,1601.0,223.0,,1027.0,346.0,1581.0,Marshall County,1ST BAPTIST CHURCH
Marshall County,ABSENTEE,161.0,612.0,136.0,637.0,73.0,,,638.0,,,653.0,70.0,,465.0,135.0,642.0,Marshall County,ABSENTEE
Marshall County,ALBERTVILLE REC_ CENTER,646.0,2640.0,531.0,2747.0,,,,2742.0,,,2786.0,322.0,,1777.0,530.0,2742.0,Marshall County,ALBERTVILLE REC_ CENTER
Marshall County,ALDER SPRINGS COMM_ CTR_,94.0,451.0,72.0,474.0,1.0,,,472.0,,,481.0,32.0,,305.0,64.0,483.0,Marshall County,ALDER SPRINGS COMM_ CTR_
Marshall County,ARAB SENIOR CENTER,594.0,2992.0,505.0,3082.0,430.0,,,3134.0,,,3190.0,224.0,,2021.0,502.0,3095.0,Marshall County,ARAB SENIOR CENTER
Marshall County,ASBURY FIRE,92.0,460.0,61.0,490.0,32.0,,,472.0,,,481.0,26.0,,284.0,59.0,488.0,Marshall County,ASBURY FIRE
Marshall County,BOAZ RECREATION CENTER,458.0,1927.0,359.0,2035.0,,,,2019.0,,,2048.0,203.0,,1349.0,352.0,2039.0,Marshall County,BOAZ RECREATION CENTER
Marshall County,BOSHART PROSPECT CEMETARY,97.0,325.0,94.0,328.0,92.0,,,318.0,,,334.0,44.0,,218.0,88.0,328.0,Marshall County,BOSHART PROSPECT CEMETARY
Marshall County,BUCKSNORT COMMUNITY CTR_,64.0,298.0,50.0,315.0,53.0,,,305.0,,,312.0,25.0,,205.0,53.0,312.0,Marshall County,BUCKSNORT COMMUNITY CTR_
Marshall County,CRANFORD RUTH VFD,79.0,504.0,74.0,503.0,56.0,,,521.0,,,518.0,30.0,,341.0,73.0,506.0,Marshall County,CRANFORD RUTH VFD
Marshall County,DISTRICT 1 COUNTY SHOP,184.0,734.0,158.0,765.0,141.0,,,777.0,,,790.0,60.0,,469.0,146.0,773.0,Marshall County,DISTRICT 1 COUNTY SHOP
Marshall County,DISTRICT 4 COUNTY SHOP,86.0,431.0,73.0,440.0,,,,439.0,,,440.0,37.0,,273.0,74.0,443.0,Marshall County,DISTRICT 4 COUNTY SHOP
Marshall County,DOUGLAS CITY HALL,65.0,408.0,55.0,416.0,,,,410.0,,,410.0,28.0,,252.0,52.0,419.0,Marshall County,DOUGLAS CITY HALL
Marshall County,FRIENDSHIP PINE GROVE SCH,60.0,405.0,47.0,418.0,,,,414.0,,,419.0,20.0,,267.0,47.0,419.0,Marshall County,FRIENDSHIP PINE GROVE SCH
