county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Mobile County,1ST BAPTIST CH IRVINGTON #1,167.0,598.0,161.0,601.0,,,,613.0,154.0,,604.0,115.0,0.0,460.0,157.0,605.0,Mobile County,1ST BAPTIST CH IRVINGTON #1
Mobile County,1ST BAPTIST CH IRVINGTON #2,164.0,539.0,146.0,555.0,,,,575.0,146.0,,553.0,97.0,0.0,429.0,148.0,554.0,Mobile County,1ST BAPTIST CH IRVINGTON #2
Mobile County,1ST BAPTIST CH ST ELMO #1,181.0,570.0,167.0,580.0,22.0,,,593.0,167.0,,581.0,137.0,0.0,441.0,166.0,582.0,Mobile County,1ST BAPTIST CH ST ELMO #1
Mobile County,1ST BAPTIST CH ST ELMO #2,89.0,288.0,83.0,290.0,14.0,,,299.0,79.0,,294.0,60.0,0.0,230.0,78.0,293.0,Mobile County,1ST BAPTIST CH ST ELMO #2
Mobile County,1ST BAPTIST WILMER GYM #1,111.0,507.0,97.0,518.0,,,,524.0,,,530.0,72.0,0.0,407.0,100.0,519.0,Mobile County,1ST BAPTIST WILMER GYM #1
Mobile County,1ST BAPTIST WILMER GYM #2,79.0,321.0,77.0,320.0,,,,333.0,,,335.0,54.0,0.0,250.0,74.0,325.0,Mobile County,1ST BAPTIST WILMER GYM #2
Mobile County,ABSENTEE,1944.0,1720.0,1879.0,1762.0,1420.0,,0.0,1625.0,1574.0,,1473.0,1439.0,12.0,1276.0,1867.0,1795.0,Mobile County,ABSENTEE
Mobile County,APOSTOLIC CHURCH OF GOD #1,513.0,239.0,505.0,244.0,538.0,,,0.0,493.0,,251.0,405.0,0.0,156.0,507.0,245.0,Mobile County,APOSTOLIC CHURCH OF GOD #1
Mobile County,APOSTOLIC CHURCH OF GOD #2,348.0,170.0,343.0,172.0,372.0,,,0.0,346.0,,168.0,279.0,0.0,112.0,347.0,171.0,Mobile County,APOSTOLIC CHURCH OF GOD #2
Mobile County,AZALEA CITY CH OF CHRIST #1,320.0,405.0,320.0,403.0,267.0,,,416.0,,,428.0,242.0,0.0,303.0,318.0,407.0,Mobile County,AZALEA CITY CH OF CHRIST #1
Mobile County,AZALEA CITY CH OF CHRIST #2,348.0,295.0,345.0,297.0,282.0,,,308.0,,,324.0,253.0,0.0,218.0,335.0,306.0,Mobile County,AZALEA CITY CH OF CHRIST #2
Mobile County,BAYOU LA BATRE COMM CTR #1,183.0,522.0,172.0,531.0,,,,546.0,166.0,,534.0,132.0,0.0,412.0,174.0,530.0,Mobile County,BAYOU LA BATRE COMM CTR #1
Mobile County,BAYOU LA BATRE COMM CTR #2,210.0,674.0,198.0,680.0,,,,696.0,187.0,,689.0,152.0,0.0,529.0,195.0,684.0,Mobile County,BAYOU LA BATRE COMM CTR #2
Mobile County,BISHOP STATE COMM COLLEGE #1,515.0,65.0,517.0,60.0,492.0,,,81.0,514.0,,,408.0,0.0,33.0,519.0,62.0,Mobile County,BISHOP STATE COMM COLLEGE #1
Mobile County,BISHOP STATE COMM COLLEGE #2,239.0,39.0,234.0,40.0,232.0,,,45.0,249.0,,,187.0,0.0,17.0,233.0,44.0,Mobile County,BISHOP STATE COMM COLLEGE #2
Mobile County,BOYS & GIRLS CLUB #1,313.0,11.0,315.0,8.0,315.0,,,7.0,314.0,,,290.0,0.0,6.0,316.0,8.0,Mobile County,BOYS & GIRLS CLUB #1
Mobile County,BOYS & GIRLS CLUB #2,327.0,12.0,331.0,6.0,332.0,,,6.0,333.0,,,313.0,0.0,3.0,330.0,8.0,Mobile County,BOYS & GIRLS CLUB #2
Mobile County,CARVER CAMPUS BISHOP ST #1,529.0,22.0,528.0,21.0,525.0,,,22.0,535.0,,,441.0,0.0,15.0,528.0,22.0,Mobile County,CARVER CAMPUS BISHOP ST #1
Mobile County,CARVER CAMPUS BISHOP ST #2,424.0,14.0,426.0,8.0,422.0,,,12.0,425.0,,,365.0,0.0,6.0,428.0,8.0,Mobile County,CARVER CAMPUS BISHOP ST #2
Mobile County,CHRIST ANGLICAN CHURCH #1,553.0,156.0,556.0,149.0,575.0,,,,580.0,,,465.0,0.0,94.0,560.0,150.0,Mobile County,CHRIST ANGLICAN CHURCH #1
Mobile County,CHRIST ANGLICAN CHURCH #2,536.0,172.0,537.0,166.0,567.0,,,,562.0,,,465.0,0.0,107.0,541.0,167.0,Mobile County,CHRIST ANGLICAN CHURCH #2
Mobile County,CHUNCHULA BAPTIST CH #1,152.0,411.0,148.0,413.0,1.0,,,409.0,,,422.0,98.0,0.0,345.0,144.0,419.0,Mobile County,CHUNCHULA BAPTIST CH #1
Mobile County,CHUNCHULA BAPTIST CH #2,30.0,42.0,30.0,42.0,0.0,,,44.0,,,44.0,18.0,0.0,35.0,26.0,46.0,Mobile County,CHUNCHULA BAPTIST CH #2
Mobile County,CITRONELLE REC CTR #1,182.0,428.0,182.0,425.0,,,,446.0,,,443.0,135.0,0.0,326.0,178.0,432.0,Mobile County,CITRONELLE REC CTR #1
Mobile County,CITRONELLE REC CTR #2,204.0,536.0,200.0,539.0,,,,563.0,,,556.0,156.0,0.0,416.0,196.0,543.0,Mobile County,CITRONELLE REC CTR #2
Mobile County,CITY CHURCH OF MOBILE #1,494.0,216.0,492.0,222.0,508.0,,,0.0,493.0,,216.0,364.0,0.0,146.0,486.0,228.0,Mobile County,CITY CHURCH OF MOBILE #1
Mobile County,CITY CHURCH OF MOBILE #2,377.0,205.0,376.0,202.0,401.0,,,0.0,373.0,,203.0,273.0,0.0,142.0,375.0,206.0,Mobile County,CITY CHURCH OF MOBILE #2
Mobile County,COLLINS RHODES ELEMENTARY #1,759.0,148.0,765.0,141.0,766.0,,,54.0,766.0,,56.0,630.0,0.0,104.0,765.0,141.0,Mobile County,COLLINS RHODES ELEMENTARY #1
Mobile County,COLLINS RHODES ELEMENTARY #2,766.0,134.0,779.0,120.0,771.0,,,49.0,773.0,,53.0,637.0,0.0,85.0,776.0,121.0,Mobile County,COLLINS RHODES ELEMENTARY #2
Mobile County,CREEKWORD CH OF CHRIST #1,463.0,922.0,407.0,975.0,0.0,,,995.0,418.0,,960.0,287.0,0.0,677.0,410.0,977.0,Mobile County,CREEKWORD CH OF CHRIST #1
Mobile County,CREEKWORD CH OF CHRIST #2,398.0,787.0,373.0,799.0,0.0,,,845.0,363.0,,805.0,234.0,0.0,573.0,365.0,817.0,Mobile County,CREEKWORD CH OF CHRIST #2
Mobile County,CREEKWORD CH OF CHRIST #3,295.0,516.0,258.0,549.0,0.0,,,563.0,259.0,,547.0,174.0,0.0,375.0,260.0,549.0,Mobile County,CREEKWORD CH OF CHRIST #3
Mobile County,CREOLA SENIOR CITIZENS #1,192.0,525.0,179.0,530.0,220.0,,3.0,117.0,,,550.0,131.0,0.0,414.0,180.0,534.0,Mobile County,CREOLA SENIOR CITIZENS #1
Mobile County,CREOLA SENIOR CITIZENS #2,110.0,326.0,106.0,327.0,122.0,,2.0,83.0,,,341.0,67.0,0.0,256.0,104.0,331.0,Mobile County,CREOLA SENIOR CITIZENS #2
Mobile County,CYPRESS SHORES BAPTIST #1,113.0,413.0,91.0,432.0,84.0,,,440.0,89.0,,430.0,52.0,0.0,314.0,82.0,444.0,Mobile County,CYPRESS SHORES BAPTIST #1
Mobile County,CYPRESS SHORES BAPTIST #2,58.0,270.0,49.0,279.0,44.0,,,282.0,48.0,,279.0,24.0,0.0,207.0,47.0,282.0,Mobile County,CYPRESS SHORES BAPTIST #2
Mobile County,DAUPHIN ISLAND UNITED METH #1,116.0,337.0,94.0,357.0,0.0,,,353.0,96.0,,347.0,52.0,0.0,270.0,92.0,361.0,Mobile County,DAUPHIN ISLAND UNITED METH #1
Mobile County,DAUPHIN ISLAND UNITED METH #2,81.0,267.0,70.0,275.0,0.0,,,273.0,67.0,,279.0,37.0,0.0,204.0,69.0,278.0,Mobile County,DAUPHIN ISLAND UNITED METH #2
Mobile County,DAYSPRING BAPTIST #1,363.0,650.0,337.0,671.0,,,,697.0,,,700.0,213.0,0.0,448.0,324.0,686.0,Mobile County,DAYSPRING BAPTIST #1
Mobile County,DAYSPRING BAPTIST #2,351.0,655.0,322.0,673.0,,,,704.0,,,702.0,204.0,0.0,471.0,318.0,689.0,Mobile County,DAYSPRING BAPTIST #2
Mobile County,DAYSPRING BAPTIST #3,243.0,450.0,230.0,460.0,,,,476.0,,,479.0,149.0,0.0,324.0,221.0,475.0,Mobile County,DAYSPRING BAPTIST #3
Mobile County,DODGE ELEMENTARY #1,451.0,542.0,435.0,549.0,430.0,,,553.0,431.0,,553.0,289.0,0.0,377.0,419.0,573.0,Mobile County,DODGE ELEMENTARY #1
Mobile County,DODGE ELEMENTARY #2,286.0,388.0,276.0,394.0,267.0,,,405.0,269.0,,402.0,177.0,0.0,293.0,265.0,409.0,Mobile County,DODGE ELEMENTARY #2
Mobile County,EBENEZER BAPTIST CH #1,247.0,408.0,217.0,434.0,210.0,,,447.0,221.0,,428.0,140.0,0.0,268.0,220.0,436.0,Mobile County,EBENEZER BAPTIST CH #1
Mobile County,EBENEZER BAPTIST CH #2,238.0,416.0,215.0,431.0,200.0,,,444.0,203.0,,436.0,126.0,0.0,261.0,205.0,445.0,Mobile County,EBENEZER BAPTIST CH #2
Mobile County,EICHOLD-MERTZ ELEMENTARY #1,364.0,84.0,366.0,80.0,372.0,,,,377.0,,,312.0,0.0,57.0,369.0,78.0,Mobile County,EICHOLD-MERTZ ELEMENTARY #1
Mobile County,EICHOLD-MERTZ ELEMENTARY #2,236.0,58.0,239.0,54.0,242.0,,,,245.0,,,196.0,0.0,45.0,239.0,55.0,Mobile County,EICHOLD-MERTZ ELEMENTARY #2
Mobile County,E_R_ DICKSON ELEMENTARY #1,426.0,806.0,336.0,868.0,,,,910.0,,,897.0,192.0,0.0,488.0,316.0,910.0,Mobile County,E_R_ DICKSON ELEMENTARY #1
Mobile County,E_R_ DICKSON ELEMENTARY #2,294.0,545.0,230.0,593.0,,,,614.0,,,596.0,121.0,0.0,340.0,222.0,612.0,Mobile County,E_R_ DICKSON ELEMENTARY #2
Mobile County,FELLOWSHIP BAPTIST #1,40.0,215.0,36.0,221.0,,,,225.0,,,226.0,27.0,0.0,174.0,32.0,223.0,Mobile County,FELLOWSHIP BAPTIST #1
Mobile County,FELLOWSHIP BAPTIST #2,43.0,234.0,40.0,236.0,,,,238.0,,,236.0,34.0,0.0,194.0,42.0,234.0,Mobile County,FELLOWSHIP BAPTIST #2
Mobile County,FOREST HILL ELEMENTARY #1,741.0,233.0,750.0,222.0,750.0,,,214.0,777.0,,,587.0,0.0,152.0,752.0,221.0,Mobile County,FOREST HILL ELEMENTARY #1
Mobile County,FOREST HILL ELEMENTARY #2,793.0,280.0,804.0,263.0,795.0,,,271.0,831.0,,,640.0,0.0,178.0,794.0,280.0,Mobile County,FOREST HILL ELEMENTARY #2
Mobile County,FRIENDSHIP BAPTIST CH #1,153.0,643.0,141.0,649.0,,,,660.0,135.0,,658.0,103.0,0.0,494.0,139.0,656.0,Mobile County,FRIENDSHIP BAPTIST CH #1
Mobile County,FRIENDSHIP BAPTIST CH #2,130.0,426.0,111.0,443.0,,,,452.0,98.0,,458.0,78.0,0.0,334.0,109.0,444.0,Mobile County,FRIENDSHIP BAPTIST CH #2
Mobile County,FRIENDSHIP MISS BAPTIST CH #1,474.0,89.0,470.0,90.0,377.0,,,101.0,459.0,,28.0,378.0,0.0,60.0,470.0,91.0,Mobile County,FRIENDSHIP MISS BAPTIST CH #1
Mobile County,FRIENDSHIP MISS BAPTIST CH #2,472.0,67.0,484.0,53.0,381.0,,,65.0,469.0,,20.0,411.0,0.0,30.0,487.0,52.0,Mobile County,FRIENDSHIP MISS BAPTIST CH #2
Mobile County,GEORGETOWN BAPTIST CH #1,91.0,558.0,81.0,566.0,,,,575.0,,,578.0,57.0,0.0,433.0,78.0,571.0,Mobile County,GEORGETOWN BAPTIST CH #1
Mobile County,GEORGETOWN BAPTIST CH #2,51.0,314.0,46.0,316.0,,,,327.0,,,323.0,32.0,0.0,246.0,42.0,322.0,Mobile County,GEORGETOWN BAPTIST CH #2
Mobile County,GRACEPOINT CH OF GOD #1,635.0,651.0,593.0,681.0,0.0,,,786.0,0.0,,783.0,379.0,0.0,412.0,574.0,708.0,Mobile County,GRACEPOINT CH OF GOD #1
Mobile County,GRACEPOINT CH OF GOD #2,302.0,289.0,278.0,307.0,0.0,,,357.0,0.0,,355.0,177.0,0.0,189.0,266.0,322.0,Mobile County,GRACEPOINT CH OF GOD #2
Mobile County,GRAND BAY MIDDLE SCHOOL #1,72.0,398.0,71.0,399.0,0.0,,,411.0,62.0,,408.0,53.0,0.0,322.0,66.0,405.0,Mobile County,GRAND BAY MIDDLE SCHOOL #1
