county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Monroe County,ABSENTEE,310.0,169.0,310.0,163.0,325.0,,,68.0,234.0,71.0,53.0,282.0,,66.0,304.0,174.0,Monroe County,ABSENTEE
Monroe County,ANTIOCH BAPTIST CHURCH 3,76.0,29.0,79.0,23.0,80.0,,,,77.0,13.0,,75.0,,11.0,77.0,27.0,Monroe County,ANTIOCH BAPTIST CHURCH 3
Monroe County,BEATRICE TOWN HALL,267.0,101.0,283.0,75.0,294.0,,,,284.0,57.0,,252.0,,29.0,286.0,77.0,Monroe County,BEATRICE TOWN HALL
Monroe County,BETHEL BAPTIST CHURCH,337.0,9.0,340.0,3.0,340.0,,,,261.0,2.0,3.0,312.0,,0.0,337.0,6.0,Monroe County,BETHEL BAPTIST CHURCH
Monroe County,BUENA VISTA VREN FD,131.0,49.0,139.0,40.0,144.0,,,,142.0,20.0,,131.0,,22.0,139.0,40.0,Monroe County,BUENA VISTA VREN FD
Monroe County,BURNT CORN FIRE DEPT_,86.0,52.0,92.0,44.0,102.0,,,,92.0,25.0,,84.0,,15.0,93.0,43.0,Monroe County,BURNT CORN FIRE DEPT_
Monroe County,CHRYSLER/ELISKA,71.0,125.0,68.0,124.0,75.0,,,116.0,0.0,2.0,125.0,57.0,,53.0,67.0,125.0,Monroe County,CHRYSLER/ELISKA
Monroe County,CHURCH OF CHRIST,88.0,173.0,85.0,174.0,115.0,,,23.0,84.0,115.0,0.0,70.0,,64.0,87.0,171.0,Monroe County,CHURCH OF CHRIST
Monroe County,COLEMAN ASSEMBLY OF GOD,14.0,123.0,7.0,128.0,12.0,,,120.0,,,118.0,3.0,,38.0,10.0,125.0,Monroe County,COLEMAN ASSEMBLY OF GOD
Monroe County,EXCEL ASSEMBLY,172.0,938.0,167.0,928.0,186.0,,,890.0,0.0,7.0,920.0,122.0,,280.0,170.0,932.0,Monroe County,EXCEL ASSEMBLY
