county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Montgomery County,101 D,1289.0,1693.0,1161.0,1783.0,1340.0,,,,1287.0,,1583.0,595.0,,797.0,1218.0,1763.0,Montgomery County,101 D
Montgomery County,102 V,2057.0,1454.0,2054.0,1440.0,2182.0,,,,2136.0,,1307.0,1299.0,,758.0,2123.0,1384.0,Montgomery County,102 V
Montgomery County,103 M,1495.0,816.0,1498.0,802.0,1561.0,,,233.0,1490.0,,808.0,964.0,,436.0,1535.0,772.0,Montgomery County,103 M
Montgomery County,104 W,1191.0,347.0,1213.0,313.0,1251.0,,,,1236.0,,287.0,888.0,,170.0,1241.0,297.0,Montgomery County,104 W
Montgomery County,105 A,2053.0,448.0,2085.0,404.0,2130.0,,,,2091.0,,381.0,1554.0,,238.0,2104.0,397.0,Montgomery County,105 A
Montgomery County,106 P,1956.0,126.0,2001.0,69.0,2013.0,,,,1993.0,,77.0,1656.0,,31.0,2029.0,,Montgomery County,106 P
Montgomery County,107 T,876.0,66.0,899.0,42.0,912.0,,,,904.0,,36.0,741.0,,16.0,918.0,,Montgomery County,107 T
Montgomery County,201 S,1622.0,491.0,1647.0,450.0,1715.0,,,,1664.0,,424.0,1218.0,,194.0,1671.0,439.0,Montgomery County,201 S
Montgomery County,202 B,1967.0,113.0,2015.0,58.0,2038.0,,,,1993.0,,77.0,1680.0,,20.0,2045.0,1.0,Montgomery County,202 B
Montgomery County,203 H,702.0,128.0,746.0,82.0,674.0,109.0,,,743.0,,80.0,584.0,,50.0,750.0,47.0,Montgomery County,203 H
Montgomery County,204 F,2722.0,269.0,2801.0,172.0,2827.0,6.0,,,2802.0,,176.0,2264.0,,91.0,2852.0,14.0,Montgomery County,204 F
Montgomery County,205 S,1417.0,99.0,1458.0,58.0,1374.0,113.0,,,1444.0,,69.0,1246.0,,29.0,1471.0,5.0,Montgomery County,205 S
Montgomery County,206 M,985.0,145.0,1019.0,96.0,1032.0,16.0,,,1022.0,,98.0,821.0,,52.0,1051.0,,Montgomery County,206 M
Montgomery County,207 H,213.0,87.0,224.0,74.0,216.0,37.0,,,223.0,,75.0,189.0,,49.0,223.0,75.0,Montgomery County,207 H
Montgomery County,208 C,264.0,414.0,263.0,410.0,302.0,,,,289.0,,383.0,195.0,,258.0,294.0,382.0,Montgomery County,208 C
Montgomery County,209 F,69.0,139.0,64.0,142.0,75.0,,,,67.0,,136.0,41.0,,95.0,81.0,,Montgomery County,209 F
Montgomery County,210 P,371.0,564.0,369.0,561.0,405.0,,,,360.0,,569.0,273.0,,359.0,389.0,537.0,Montgomery County,210 P
Montgomery County,211 R,615.0,37.0,624.0,24.0,580.0,63.0,,,620.0,,30.0,491.0,,6.0,638.0,,Montgomery County,211 R
Montgomery County,301 D,1000.0,1643.0,934.0,1693.0,889.0,,,1745.0,948.0,,1676.0,580.0,,1035.0,1049.0,1589.0,Montgomery County,301 D
Montgomery County,302 F,711.0,902.0,697.0,900.0,682.0,,,869.0,716.0,,876.0,474.0,,535.0,780.0,824.0,Montgomery County,302 F
Montgomery County,303 E,918.0,1784.0,875.0,1817.0,812.0,,,1813.0,860.0,,1811.0,536.0,,1098.0,951.0,1744.0,Montgomery County,303 E
Montgomery County,304 L,891.0,1270.0,863.0,1285.0,826.0,,,1324.0,864.0,,1275.0,563.0,,817.0,928.0,1231.0,Montgomery County,304 L
Montgomery County,305 F,2616.0,2056.0,2624.0,2012.0,2120.0,243.0,,1648.0,2584.0,,2047.0,1699.0,,1207.0,2670.0,1979.0,Montgomery County,305 F
Montgomery County,306 E,860.0,278.0,895.0,238.0,811.0,192.0,,37.0,891.0,,236.0,656.0,,133.0,892.0,240.0,Montgomery County,306 E
Montgomery County,401 S,632.0,57.0,642.0,46.0,642.0,,,,637.0,,51.0,552.0,,23.0,648.0,35.0,Montgomery County,401 S
Montgomery County,402 M,1206.0,87.0,1243.0,40.0,1222.0,50.0,,,1202.0,,81.0,1064.0,,14.0,1261.0,6.0,Montgomery County,402 M
Montgomery County,403 C,1002.0,167.0,1005.0,153.0,1027.0,,,,995.0,,163.0,758.0,,75.0,1030.0,76.0,Montgomery County,403 C
Montgomery County,404 A,848.0,110.0,856.0,97.0,865.0,,,,857.0,,88.0,700.0,,53.0,872.0,58.0,Montgomery County,404 A
