county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Perry County,ABSENTEE,289.0,41.0,286.0,43.0,302.0,,,,270.0,43.0,,268.0,,19.0,298.0,,Perry County,ABSENTEE
Perry County,ARMORY,1013.0,351.0,996.0,356.0,1075.0,,,,989.0,256.0,,941.0,,146.0,1075.0,,Perry County,ARMORY
Perry County,COMMUNITY LIFE BLDG,773.0,30.0,778.0,22.0,782.0,,,,777.0,22.0,,733.0,,10.0,786.0,,Perry County,COMMUNITY LIFE BLDG
Perry County,EAST PERRY,41.0,59.0,42.0,56.0,44.0,,,,38.0,48.0,,37.0,,43.0,48.0,,Perry County,EAST PERRY
Perry County,HAMBURG VFD,127.0,57.0,127.0,54.0,136.0,,,,128.0,47.0,,122.0,,29.0,139.0,,Perry County,HAMBURG VFD
Perry County,HEIBERGER,37.0,155.0,35.0,154.0,51.0,,,,37.0,82.0,,29.0,,95.0,47.0,,Perry County,HEIBERGER
Perry County,HINTON HALL,98.0,1.0,98.0,1.0,98.0,,,,98.0,0.0,,96.0,,1.0,98.0,,Perry County,HINTON HALL
Perry County,NORTH PERRY,50.0,94.0,46.0,96.0,51.0,,,,46.0,34.0,,44.0,,62.0,52.0,,Perry County,NORTH PERRY
Perry County,OFS FIRE STATION,97.0,87.0,93.0,91.0,100.0,,,,87.0,83.0,,88.0,,55.0,108.0,,Perry County,OFS FIRE STATION
Perry County,PROVISIONAL,6.0,3.0,7.0,2.0,7.0,,,,7.0,2.0,,7.0,,2.0,7.0,,Perry County,PROVISIONAL
Perry County,RADFORDVILLE,48.0,35.0,47.0,37.0,49.0,,,,42.0,34.0,,40.0,,16.0,51.0,,Perry County,RADFORDVILLE
Perry County,SEVERE,14.0,45.0,13.0,45.0,14.0,,,,11.0,34.0,,10.0,,19.0,19.0,,Perry County,SEVERE
Perry County,UNIONTOWN CITY HALL,365.0,47.0,366.0,43.0,381.0,,,,359.0,38.0,,348.0,,20.0,383.0,,Perry County,UNIONTOWN CITY HALL
Perry County,WEST PERRY,224.0,56.0,222.0,57.0,235.0,,,,223.0,39.0,,217.0,,33.0,231.0,,Perry County,WEST PERRY
