county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Pickens County,ABSENTEE,115.0,220.0,101.0,230.0,101.0,,,228.0,109.0,,164.0,77.0,,146.0,133.0,,Pickens County,ABSENTEE
Pickens County,ALICEVILLE,1209.0,421.0,1199.0,426.0,1208.0,,,417.0,1258.0,,,1050.0,,230.0,1270.0,,Pickens County,ALICEVILLE
Pickens County,BENEVOLA,9.0,42.0,7.0,44.0,9.0,,,41.0,7.0,,44.0,3.0,,34.0,10.0,,Pickens County,BENEVOLA
Pickens County,BETHLEHEM,13.0,87.0,4.0,92.0,5.0,,,87.0,6.0,,92.0,1.0,,61.0,16.0,,Pickens County,BETHLEHEM
Pickens County,CARROLLTON/SPEEDSMILL,409.0,516.0,380.0,535.0,400.0,,,515.0,386.0,,505.0,293.0,,291.0,484.0,,Pickens County,CARROLLTON/SPEEDSMILL
Pickens County,COCHRANE/DANCY,120.0,51.0,116.0,53.0,118.0,,,51.0,128.0,,,106.0,,24.0,128.0,,Pickens County,COCHRANE/DANCY
Pickens County,ETHELSVILLE,27.0,82.0,27.0,81.0,26.0,,,81.0,27.0,,82.0,22.0,,43.0,38.0,,Pickens County,ETHELSVILLE
Pickens County,FAIRVIEW/ZION,57.0,677.0,36.0,688.0,53.0,,,670.0,38.0,,690.0,12.0,,427.0,117.0,,Pickens County,FAIRVIEW/ZION
Pickens County,FORREST,22.0,189.0,21.0,187.0,26.0,,,181.0,18.0,,189.0,10.0,,116.0,48.0,,Pickens County,FORREST
Pickens County,GORDO,412.0,925.0,358.0,972.0,376.0,,,957.0,365.0,,971.0,261.0,,586.0,472.0,,Pickens County,GORDO
Pickens County,KIRK,19.0,152.0,7.0,156.0,10.0,,,156.0,6.0,,158.0,6.0,,110.0,23.0,,Pickens County,KIRK
Pickens County,LIBERTY,75.0,192.0,75.0,192.0,75.0,,,192.0,64.0,,203.0,61.0,,112.0,101.0,,Pickens County,LIBERTY
Pickens County,MACEDONIA,145.0,31.0,144.0,31.0,145.0,,,32.0,147.0,,,110.0,,15.0,153.0,,Pickens County,MACEDONIA
Pickens County,MCSHAN,30.0,72.0,25.0,74.0,26.0,,,74.0,24.0,,78.0,17.0,,38.0,39.0,,Pickens County,MCSHAN
Pickens County,PALMETTO,30.0,146.0,28.0,148.0,28.0,,,148.0,25.0,,151.0,17.0,,91.0,42.0,,Pickens County,PALMETTO
Pickens County,PICKENSVILLE,174.0,104.0,169.0,103.0,170.0,,,105.0,195.0,,,125.0,,53.0,196.0,,Pickens County,PICKENSVILLE
Pickens County,PINE GROVE,27.0,89.0,25.0,89.0,24.0,,,90.0,37.0,,20.0,11.0,,49.0,44.0,,Pickens County,PINE GROVE
Pickens County,PROVISIONAL,6.0,2.0,6.0,2.0,6.0,,,2.0,6.0,,2.0,5.0,,1.0,5.0,,Pickens County,PROVISIONAL
Pickens County,REFORM,457.0,556.0,437.0,565.0,439.0,,,563.0,435.0,,567.0,319.0,,303.0,540.0,,Pickens County,REFORM
Pickens County,SAPPS,299.0,55.0,299.0,50.0,296.0,,,50.0,308.0,,,239.0,,20.0,307.0,,Pickens County,SAPPS
Pickens County,SPRING HILL,17.0,27.0,20.0,24.0,19.0,,,25.0,24.0,,,15.0,,6.0,26.0,,Pickens County,SPRING HILL
