county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Pike County,ABSENTEE,173.0,189.0,182.0,180.0,190.0,,,174.0,,,191.0,150.0,,105.0,188.0,174.0,Pike County,ABSENTEE
Pike County,ANTIOCH CHURCH,34.0,182.0,38.0,177.0,44.0,,,172.0,,,183.0,20.0,,112.0,45.0,168.0,Pike County,ANTIOCH CHURCH
Pike County,BANKS VOTING CENTER #1,24.0,60.0,21.0,62.0,23.0,,,61.0,,,63.0,15.0,,40.0,23.0,60.0,Pike County,BANKS VOTING CENTER #1
Pike County,BANKS VOTING CTR_ #2,71.0,196.0,71.0,194.0,78.0,,,190.0,,,200.0,48.0,,109.0,74.0,192.0,Pike County,BANKS VOTING CTR_ #2
Pike County,BRUNDIDGE-HAISTEN BLDG_,103.0,147.0,108.0,141.0,103.0,,,146.0,,,140.0,76.0,,100.0,110.0,141.0,Pike County,BRUNDIDGE-HAISTEN BLDG_
Pike County,CHINA GROVE COUNTY BLDG_,52.0,83.0,60.0,75.0,53.0,,,82.0,,,84.0,47.0,,54.0,57.0,78.0,Pike County,CHINA GROVE COUNTY BLDG_
Pike County,DUNNS VOTING CENTER #1,9.0,8.0,9.0,8.0,10.0,,,7.0,,,8.0,7.0,,6.0,10.0,7.0,Pike County,DUNNS VOTING CENTER #1
Pike County,DUNNS VOTING CENTER #2,21.0,103.0,21.0,103.0,24.0,,,101.0,,,102.0,16.0,,66.0,29.0,95.0,Pike County,DUNNS VOTING CENTER #2
Pike County,EBENEZER VOTING CENTER #1,12.0,38.0,12.0,38.0,12.0,,,38.0,,,37.0,9.0,,24.0,13.0,36.0,Pike County,EBENEZER VOTING CENTER #1
Pike County,EBENEZER VOTING CTR_ #2,25.0,64.0,21.0,68.0,22.0,,,68.0,,,66.0,20.0,,45.0,26.0,62.0,Pike County,EBENEZER VOTING CTR_ #2
Pike County,ENON COUNTY BLDG_,17.0,139.0,21.0,134.0,28.0,,,128.0,,,133.0,16.0,,104.0,22.0,134.0,Pike County,ENON COUNTY BLDG_
Pike County,FIRST BAPTIST CHURCH,300.0,741.0,310.0,726.0,407.0,,,634.0,,,745.0,172.0,,373.0,346.0,694.0,Pike County,FIRST BAPTIST CHURCH
