county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Randolph County,ABSENTEE,53.0,241.0,53.0,238.0,41.0,,,254.0,51.0,,243.0,35.0,,194.0,53.0,241.0,Randolph County,ABSENTEE
Randolph County,BACON LEVEL,36.0,191.0,40.0,186.0,36.0,,,193.0,38.0,,191.0,29.0,,143.0,37.0,193.0,Randolph County,BACON LEVEL
Randolph County,BETHEL,7.0,128.0,8.0,127.0,5.0,,,130.0,4.0,,132.0,4.0,,95.0,6.0,129.0,Randolph County,BETHEL
Randolph County,CAVERS GROVE,24.0,170.0,20.0,167.0,19.0,,,176.0,25.0,,166.0,13.0,,126.0,27.0,166.0,Randolph County,CAVERS GROVE
Randolph County,CORINTH,20.0,168.0,13.0,171.0,12.0,,,172.0,13.0,,172.0,8.0,,116.0,13.0,171.0,Randolph County,CORINTH
Randolph County,GRAHAM,16.0,121.0,14.0,122.0,12.0,,,127.0,15.0,,123.0,11.0,,94.0,17.0,121.0,Randolph County,GRAHAM
Randolph County,LEVEL ROAD,42.0,212.0,49.0,204.0,42.0,,,211.0,44.0,,210.0,36.0,,152.0,45.0,209.0,Randolph County,LEVEL ROAD
Randolph County,MIDWAY,88.0,179.0,88.0,176.0,82.0,,,184.0,88.0,,178.0,74.0,,128.0,86.0,179.0,Randolph County,MIDWAY
Randolph County,MOORES STORE,21.0,179.0,18.0,177.0,10.0,,,189.0,11.0,,188.0,8.0,,136.0,18.0,176.0,Randolph County,MOORES STORE
Randolph County,MORRISON XR FD,48.0,159.0,60.0,145.0,57.0,,,151.0,59.0,,147.0,40.0,,104.0,55.0,153.0,Randolph County,MORRISON XR FD
Randolph County,NATL GUARD ARMORY 1,311.0,471.0,310.0,469.0,295.0,,,486.0,304.0,,477.0,269.0,,362.0,307.0,477.0,Randolph County,NATL GUARD ARMORY 1
Randolph County,NATL GUARD ARMORY 2,376.0,473.0,373.0,467.0,359.0,,,487.0,369.0,,480.0,317.0,,342.0,373.0,471.0,Randolph County,NATL GUARD ARMORY 2
Randolph County,NATL GUARD ARMORY 3,224.0,238.0,221.0,240.0,219.0,,,244.0,215.0,,246.0,198.0,,181.0,214.0,250.0,Randolph County,NATL GUARD ARMORY 3
Randolph County,NEW HOPE,20.0,94.0,19.0,89.0,13.0,,,101.0,16.0,,92.0,10.0,,69.0,21.0,94.0,Randolph County,NEW HOPE
Randolph County,OMAHA,13.0,142.0,13.0,140.0,7.0,,,149.0,10.0,,144.0,3.0,,110.0,12.0,145.0,Randolph County,OMAHA
Randolph County,OPHELIA,22.0,139.0,22.0,139.0,20.0,,,141.0,22.0,,138.0,12.0,,102.0,24.0,137.0,Randolph County,OPHELIA
Randolph County,PINE HILL,28.0,191.0,29.0,188.0,21.0,,,202.0,24.0,,197.0,17.0,,154.0,25.0,198.0,Randolph County,PINE HILL
Randolph County,PROVISIONAL,5.0,6.0,5.0,6.0,5.0,,,6.0,5.0,,6.0,5.0,,4.0,5.0,6.0,Randolph County,PROVISIONAL
Randolph County,ROCK MILLS,11.0,150.0,13.0,148.0,12.0,,,151.0,12.0,,152.0,8.0,,118.0,13.0,150.0,Randolph County,ROCK MILLS
Randolph County,SWAGG,42.0,211.0,33.0,216.0,29.0,,,222.0,35.0,,216.0,19.0,,165.0,33.0,220.0,Randolph County,SWAGG
Randolph County,TIN SHOP,23.0,344.0,22.0,339.0,17.0,,,351.0,21.0,,347.0,13.0,,239.0,20.0,349.0,Randolph County,TIN SHOP
Randolph County,WADLEY,67.0,201.0,60.0,203.0,57.0,,,210.0,57.0,,204.0,48.0,,137.0,63.0,202.0,Randolph County,WADLEY
Randolph County,WEDOWEE CITY HALL 1,188.0,486.0,175.0,490.0,148.0,,,523.0,176.0,,495.0,118.0,,359.0,180.0,495.0,Randolph County,WEDOWEE CITY HALL 1
Randolph County,WEDOWEE CITY HALL 2,65.0,212.0,58.0,219.0,50.0,,,231.0,56.0,,222.0,46.0,,161.0,62.0,216.0,Randolph County,WEDOWEE CITY HALL 2
Randolph County,WEHADKEE,12.0,45.0,12.0,44.0,12.0,,,45.0,12.0,,45.0,10.0,,36.0,12.0,45.0,Randolph County,WEHADKEE
Randolph County,WESLEY CHAPEL,17.0,116.0,13.0,119.0,12.0,,,119.0,14.0,,119.0,11.0,,88.0,13.0,119.0,Randolph County,WESLEY CHAPEL
Randolph County,WILSON STORE,25.0,102.0,26.0,101.0,25.0,,,102.0,25.0,,102.0,16.0,,76.0,26.0,100.0,Randolph County,WILSON STORE
Randolph County,WOODLAND FD,55.0,360.0,51.0,358.0,34.0,,,386.0,48.0,,366.0,26.0,,269.0,50.0,362.0,Randolph County,WOODLAND FD
