county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Russell County,ABSENTEE,181.0,222.0,184.0,217.0,183.0,,,195.0,195.0,,83.0,134.0,,145.0,181.0,220.0,Russell County,ABSENTEE
Russell County,AUSTIN SUMBRY PARK,559.0,192.0,582.0,166.0,580.0,,,138.0,607.0,,20.0,458.0,,93.0,567.0,182.0,Russell County,AUSTIN SUMBRY PARK
Russell County,CENTRAL ACTIVITIES BLDG,760.0,740.0,788.0,703.0,769.0,,,725.0,833.0,,454.0,626.0,,394.0,784.0,716.0,Russell County,CENTRAL ACTIVITIES BLDG
Russell County,CLAUDE PARKMAN BLDG,436.0,64.0,448.0,49.0,449.0,,,51.0,452.0,,1.0,365.0,,31.0,440.0,60.0,Russell County,CLAUDE PARKMAN BLDG
Russell County,COTTONTON FIRE STATION,77.0,175.0,81.0,170.0,109.0,,,,109.0,,,58.0,,112.0,78.0,174.0,Russell County,COTTONTON FIRE STATION
Russell County,CRAWFORD VFD,326.0,948.0,342.0,924.0,343.0,,,919.0,339.0,,936.0,259.0,,492.0,337.0,939.0,Russell County,CRAWFORD VFD
Russell County,CVCC,552.0,239.0,569.0,214.0,566.0,,,216.0,584.0,,172.0,443.0,,124.0,566.0,226.0,Russell County,CVCC
Russell County,DIXIE VFD,86.0,179.0,88.0,176.0,85.0,,,170.0,87.0,,173.0,68.0,,117.0,89.0,176.0,Russell County,DIXIE VFD
Russell County,FIRE DEPARTMENT HURTSBORO,453.0,140.0,458.0,134.0,475.0,,,,485.0,,,426.0,,74.0,449.0,143.0,Russell County,FIRE DEPARTMENT HURTSBORO
Russell County,FT_ MITCHELL COMM CENTER,870.0,549.0,891.0,525.0,977.0,,,,976.0,,,732.0,,376.0,891.0,527.0,Russell County,FT_ MITCHELL COMM CENTER
Russell County,GOLDEN ACRES BAPTIST,159.0,350.0,169.0,332.0,147.0,,,360.0,226.0,,32.0,111.0,,170.0,168.0,339.0,Russell County,GOLDEN ACRES BAPTIST
Russell County,HATCHECHUBBEE FIRE,90.0,80.0,92.0,78.0,100.0,,,0.0,106.0,,,83.0,,47.0,92.0,78.0,Russell County,HATCHECHUBBEE FIRE
Russell County,LADONIA VFD,508.0,1153.0,535.0,1111.0,501.0,,,1154.0,528.0,,1077.0,383.0,,664.0,523.0,1135.0,Russell County,LADONIA VFD
Russell County,OLD SEALE COURTHOUSE,312.0,361.0,315.0,351.0,318.0,,,326.0,373.0,,25.0,255.0,,207.0,316.0,358.0,Russell County,OLD SEALE COURTHOUSE
Russell County,PITTSVIEW FIRE,183.0,95.0,193.0,85.0,205.0,,,1.0,210.0,,,179.0,,48.0,192.0,85.0,Russell County,PITTSVIEW FIRE
Russell County,PROVISIONAL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Russell County,PROVISIONAL
Russell County,ROY MARTIN CENTER,595.0,1429.0,609.0,1400.0,550.0,,,1450.0,900.0,,0.0,401.0,,717.0,606.0,1418.0,Russell County,ROY MARTIN CENTER
Russell County,RUSSELL COUNTY COURTHOUSE,416.0,159.0,436.0,141.0,430.0,,,144.0,457.0,,51.0,347.0,,77.0,420.0,157.0,Russell County,RUSSELL COUNTY COURTHOUSE
Russell County,SPENCER REC CENTER,1298.0,91.0,1321.0,64.0,1325.0,,,60.0,1334.0,,0.0,1151.0,,34.0,1317.0,68.0,Russell County,SPENCER REC CENTER
