county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
St. Clair County,1ST UNITED METHODIST,507.0,2726.0,422.0,2817.0,,,,2873.0,409.0,,2819.0,225.0,,2067.0,408.0,2831.0,St. Clair County,1ST UNITED METHODIST
St. Clair County,ABSENTEE,191.0,692.0,192.0,693.0,100.0,,,715.0,146.0,,706.0,113.0,,589.0,182.0,703.0,St. Clair County,ABSENTEE
St. Clair County,ARGO TOWN HALL,508.0,1597.0,436.0,1663.0,,,,1735.0,427.0,,1670.0,245.0,,1218.0,434.0,1668.0,St. Clair County,ARGO TOWN HALL
St. Clair County,ASHVILLE CITY HALL,286.0,558.0,277.0,560.0,283.0,,,548.0,,,563.0,192.0,,366.0,276.0,559.0,St. Clair County,ASHVILLE CITY HALL
St. Clair County,BRANCHVILLE CUMBERLAND,160.0,968.0,139.0,986.0,,,,1006.0,140.0,,984.0,85.0,,736.0,139.0,985.0,St. Clair County,BRANCHVILLE CUMBERLAND
St. Clair County,CEDAR GROVE BAPTIST,214.0,684.0,176.0,722.0,,,,737.0,162.0,,719.0,93.0,,496.0,170.0,722.0,St. Clair County,CEDAR GROVE BAPTIST
St. Clair County,CELEBRATIONS,236.0,1019.0,179.0,1071.0,179.0,,,1071.0,173.0,,1075.0,119.0,,764.0,187.0,1066.0,St. Clair County,CELEBRATIONS
St. Clair County,CHANDLER MT_ COMM_ CTR,13.0,99.0,10.0,99.0,11.0,,,98.0,,,100.0,6.0,,79.0,11.0,96.0,St. Clair County,CHANDLER MT_ COMM_ CTR
St. Clair County,COOK SPRINGS VFD,102.0,589.0,89.0,598.0,33.0,,,616.0,85.0,,598.0,41.0,,463.0,86.0,603.0,St. Clair County,COOK SPRINGS VFD
St. Clair County,FAIRVIEW CHURCH,13.0,117.0,9.0,122.0,11.0,,,120.0,,,123.0,5.0,,90.0,11.0,120.0,St. Clair County,FAIRVIEW CHURCH
St. Clair County,FRIENDSHIP BAPTIST,127.0,766.0,97.0,796.0,68.0,,,799.0,59.0,,796.0,57.0,,554.0,97.0,795.0,St. Clair County,FRIENDSHIP BAPTIST
St. Clair County,GALLANT VFD,16.0,91.0,13.0,95.0,12.0,,,93.0,,,96.0,7.0,,68.0,11.0,97.0,St. Clair County,GALLANT VFD
St. Clair County,GUM SPRINGS CHURCH,32.0,304.0,24.0,311.0,22.0,,,313.0,,,308.0,10.0,,215.0,24.0,311.0,St. Clair County,GUM SPRINGS CHURCH
