county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Talladega County,ABSENTEE,263.0,414.0,250.0,423.0,190.0,,,428.0,132.0,,423.0,214.0,,317.0,253.0,421.0,Talladega County,ABSENTEE
Talladega County,ANTIOCH BAPTIST CHURCH,645.0,1403.0,613.0,1431.0,,,,1520.0,658.0,,1380.0,426.0,,1053.0,620.0,1418.0,Talladega County,ANTIOCH BAPTIST CHURCH
Talladega County,BEMISTON REC CTR,62.0,186.0,56.0,191.0,,,,202.0,51.0,,195.0,27.0,,129.0,56.0,190.0,Talladega County,BEMISTON REC CTR
Talladega County,BERNEYS STATION VFD,177.0,89.0,183.0,81.0,9.0,,,90.0,,,88.0,161.0,,60.0,181.0,85.0,Talladega County,BERNEYS STATION VFD
Talladega County,BETHEL BAPTIST CHURCH,375.0,119.0,376.0,119.0,379.0,,,114.0,,,129.0,336.0,,77.0,370.0,123.0,Talladega County,BETHEL BAPTIST CHURCH
Talladega County,BON AIR CITY HALL,215.0,141.0,216.0,138.0,220.0,,,133.0,,,153.0,187.0,,85.0,218.0,137.0,Talladega County,BON AIR CITY HALL
Talladega County,BRECON REC CTR,570.0,434.0,565.0,441.0,304.0,,,461.0,554.0,,448.0,475.0,,304.0,553.0,449.0,Talladega County,BRECON REC CTR
Talladega County,COUNTY LINE VFD,40.0,261.0,34.0,267.0,35.0,,,264.0,33.0,,266.0,18.0,,212.0,32.0,268.0,Talladega County,COUNTY LINE VFD
Talladega County,EASTABOGA COMM CTR,195.0,343.0,189.0,345.0,71.0,,,354.0,206.0,,325.0,151.0,,243.0,193.0,340.0,Talladega County,EASTABOGA COMM CTR
Talladega County,FAYETTEVILLE VFD,131.0,465.0,124.0,472.0,90.0,,,504.0,125.0,,463.0,70.0,,346.0,104.0,490.0,Talladega County,FAYETTEVILLE VFD
Talladega County,IRONATON VFD,129.0,417.0,122.0,421.0,,,,441.0,128.0,,415.0,88.0,,278.0,120.0,427.0,Talladega County,IRONATON VFD
Talladega County,J CRAIG SMITH COMM CTR,1782.0,2580.0,1736.0,2611.0,1688.0,,,2649.0,1721.0,,2611.0,1377.0,,1878.0,1713.0,2641.0,Talladega County,J CRAIG SMITH COMM CTR
Talladega County,KINGSTON BAPTIST CHURCH,189.0,85.0,190.0,83.0,196.0,,,77.0,,,96.0,168.0,,52.0,189.0,84.0,Talladega County,KINGSTON BAPTIST CHURCH
Talladega County,LAY LAKE VOL FIRE DEPT,33.0,433.0,29.0,437.0,40.0,,,422.0,27.0,,434.0,18.0,,326.0,27.0,439.0,Talladega County,LAY LAKE VOL FIRE DEPT
Talladega County,LIMBAUGH COMM  CTR,817.0,1239.0,786.0,1265.0,766.0,,,1276.0,6.0,,1332.0,629.0,,870.0,772.0,1281.0,Talladega County,LIMBAUGH COMM  CTR
Talladega County,LINCOLN OLD HIGH SCH GYM,823.0,1403.0,786.0,1442.0,784.0,,,1432.0,792.0,,1430.0,618.0,,1100.0,788.0,1439.0,Talladega County,LINCOLN OLD HIGH SCH GYM
Talladega County,MABRA CENTER,1340.0,224.0,1349.0,211.0,1349.0,,,211.0,79.0,,251.0,1242.0,,153.0,1345.0,216.0,Talladega County,MABRA CENTER
Talladega County,MUNFORD OLD HIGH SCH GYM,369.0,740.0,353.0,752.0,,,,807.0,381.0,,722.0,271.0,,516.0,350.0,754.0,Talladega County,MUNFORD OLD HIGH SCH GYM
Talladega County,OAK GROVE CITY HALL,312.0,623.0,307.0,626.0,289.0,,,643.0,93.0,,643.0,230.0,,446.0,303.0,630.0,Talladega County,OAK GROVE CITY HALL
Talladega County,PROVISIONAL,10.0,13.0,10.0,13.0,10.0,,,13.0,10.0,,12.0,10.0,,8.0,10.0,13.0,Talladega County,PROVISIONAL
Talladega County,RENFROE VFD,249.0,596.0,236.0,610.0,242.0,,,595.0,241.0,,602.0,165.0,,446.0,235.0,610.0,Talladega County,RENFROE VFD
Talladega County,SPRING STREET COMM CTR,536.0,1114.0,481.0,1163.0,19.0,,,1219.0,452.0,,1164.0,353.0,,801.0,482.0,1166.0,Talladega County,SPRING STREET COMM CTR
Talladega County,ST ANDREWS METHODIST CH,144.0,458.0,136.0,467.0,127.0,,,471.0,134.0,,468.0,95.0,,333.0,132.0,471.0,Talladega County,ST ANDREWS METHODIST CH
Talladega County,STEMLEY VFD,343.0,741.0,347.0,734.0,358.0,,,719.0,332.0,,749.0,247.0,,557.0,339.0,743.0,Talladega County,STEMLEY VFD
Talladega County,SYCAMORE NUTRITION CTR,133.0,206.0,129.0,209.0,121.0,,,209.0,131.0,,209.0,106.0,,152.0,127.0,213.0,Talladega County,SYCAMORE NUTRITION CTR
Talladega County,TALLADEGA CO CENTRAL HS,189.0,84.0,191.0,81.0,190.0,,,80.0,,,88.0,175.0,,61.0,190.0,82.0,Talladega County,TALLADEGA CO CENTRAL HS
Talladega County,WALDO CITY HALL,61.0,252.0,55.0,256.0,,,,260.0,56.0,,254.0,43.0,,198.0,58.0,251.0,Talladega County,WALDO CITY HALL
Talladega County,WINTERBORO VFD,474.0,558.0,460.0,571.0,427.0,,,566.0,11.0,,587.0,370.0,,418.0,452.0,582.0,Talladega County,WINTERBORO VFD
