county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Tallapoosa County,A/C HOUS AUTH Y&A SERVICE,336.0,266.0,326.0,272.0,336.0,,,259.0,,,285.0,264.0,,201.0,319.0,273.0,Tallapoosa County,A/C HOUS AUTH Y&A SERVICE
Tallapoosa County,ABSENTEE,166.0,442.0,162.0,442.0,159.0,,,431.0,121.0,,444.0,113.0,,302.0,157.0,451.0,Tallapoosa County,ABSENTEE
Tallapoosa County,ALEX CITY FIRE LAKE HILL,148.0,561.0,116.0,593.0,139.0,,,566.0,135.0,,574.0,69.0,,391.0,122.0,588.0,Tallapoosa County,ALEX CITY FIRE LAKE HILL
Tallapoosa County,ALEX CITY NATIONAL GUARD,481.0,958.0,395.0,1037.0,459.0,,,977.0,297.0,,1037.0,273.0,,699.0,407.0,1034.0,Tallapoosa County,ALEX CITY NATIONAL GUARD
Tallapoosa County,COOPER COMMUNITY CENTER,822.0,288.0,799.0,308.0,816.0,,,286.0,,,331.0,713.0,,184.0,792.0,303.0,Tallapoosa County,COOPER COMMUNITY CENTER
Tallapoosa County,DADEVILLE REC_ CENTER,550.0,620.0,534.0,620.0,532.0,,,627.0,550.0,,607.0,461.0,,387.0,557.0,610.0,Tallapoosa County,DADEVILLE REC_ CENTER
Tallapoosa County,DAVISTON COMMUNITY CENTER,54.0,156.0,42.0,165.0,40.0,,,168.0,44.0,,166.0,29.0,,66.0,45.0,162.0,Tallapoosa County,DAVISTON COMMUNITY CENTER
Tallapoosa County,DUNCAN MEMORIAL COMM_CTR_,251.0,412.0,247.0,411.0,251.0,,,409.0,252.0,,409.0,181.0,,276.0,239.0,417.0,Tallapoosa County,DUNCAN MEMORIAL COMM_CTR_
Tallapoosa County,EAGLE CREEK VOTING HOUSE,32.0,163.0,29.0,166.0,30.0,,,164.0,27.0,,165.0,17.0,,129.0,26.0,167.0,Tallapoosa County,EAGLE CREEK VOTING HOUSE
Tallapoosa County,FELLOWSHIP BAPTIST COMM_,18.0,91.0,19.0,90.0,18.0,,,91.0,18.0,,90.0,15.0,,62.0,21.0,88.0,Tallapoosa County,FELLOWSHIP BAPTIST COMM_
Tallapoosa County,HACKNEYVILLE COMMUNITY CT,61.0,543.0,37.0,560.0,48.0,,,551.0,49.0,,550.0,19.0,,306.0,40.0,559.0,Tallapoosa County,HACKNEYVILLE COMMUNITY CT
Tallapoosa County,HILLABEE BAPTIST CHURCH,71.0,459.0,45.0,482.0,62.0,,,466.0,59.0,,469.0,24.0,,271.0,48.0,482.0,Tallapoosa County,HILLABEE BAPTIST CHURCH
Tallapoosa County,JACKSONS GAP V_F_D_,181.0,703.0,141.0,731.0,162.0,,,715.0,158.0,,721.0,81.0,,455.0,153.0,731.0,Tallapoosa County,JACKSONS GAP V_F_D_
Tallapoosa County,MANOY VOTING HOUSE,102.0,660.0,87.0,671.0,91.0,,,665.0,94.0,,662.0,40.0,,470.0,91.0,667.0,Tallapoosa County,MANOY VOTING HOUSE
Tallapoosa County,MARY'S CROSS ROADS V HOUS,111.0,104.0,109.0,106.0,122.0,,,,113.0,,102.0,93.0,,74.0,112.0,103.0,Tallapoosa County,MARY'S CROSS ROADS V HOUS
Tallapoosa County,MONCRIEF,31.0,165.0,32.0,162.0,33.0,,,160.0,,,162.0,20.0,,107.0,35.0,162.0,Tallapoosa County,MONCRIEF
Tallapoosa County,MT_ LOVELY BAPTIST CHURCH,499.0,44.0,505.0,39.0,505.0,,,,501.0,,40.0,451.0,,30.0,500.0,42.0,Tallapoosa County,MT_ LOVELY BAPTIST CHURCH
Tallapoosa County,NEW PACES PT_ V_F_D_,185.0,835.0,162.0,856.0,161.0,,,852.0,174.0,,844.0,77.0,,588.0,180.0,842.0,Tallapoosa County,NEW PACES PT_ V_F_D_
Tallapoosa County,NEW SITE TOWN HALL,75.0,419.0,61.0,416.0,68.0,,,416.0,59.0,,427.0,39.0,,235.0,62.0,427.0,Tallapoosa County,NEW SITE TOWN HALL
Tallapoosa County,OURTOWN V_F_D_,120.0,480.0,82.0,512.0,82.0,,,513.0,,,510.0,47.0,,364.0,87.0,510.0,Tallapoosa County,OURTOWN V_F_D_
Tallapoosa County,PENTECOST UNITED METH_ CH,28.0,80.0,22.0,88.0,27.0,,,65.0,24.0,,85.0,16.0,,66.0,24.0,86.0,Tallapoosa County,PENTECOST UNITED METH_ CH
Tallapoosa County,PROVISIONAL,17.0,25.0,12.0,29.0,15.0,,,26.0,7.0,,28.0,11.0,,19.0,11.0,31.0,Tallapoosa County,PROVISIONAL
Tallapoosa County,REELTOWN FIRE DEPT_,103.0,666.0,92.0,683.0,100.0,,,676.0,93.0,,682.0,65.0,,425.0,97.0,680.0,Tallapoosa County,REELTOWN FIRE DEPT_
Tallapoosa County,ROCKY CREEK BAPTIST CH,48.0,329.0,37.0,333.0,44.0,,,330.0,42.0,,334.0,29.0,,168.0,40.0,339.0,Tallapoosa County,ROCKY CREEK BAPTIST CH
Tallapoosa County,SARDIS COMMUNITY BUILDING,88.0,141.0,79.0,149.0,81.0,,,147.0,80.0,,149.0,49.0,,74.0,85.0,145.0,Tallapoosa County,SARDIS COMMUNITY BUILDING
Tallapoosa County,TALLASSEE CITY HALL,89.0,364.0,77.0,373.0,119.0,,,,82.0,,369.0,50.0,,243.0,81.0,373.0,Tallapoosa County,TALLASSEE CITY HALL
Tallapoosa County,UNION COMMUNITY BUILDING,78.0,521.0,75.0,525.0,70.0,,,527.0,80.0,,517.0,39.0,,376.0,82.0,518.0,Tallapoosa County,UNION COMMUNITY BUILDING
Tallapoosa County,WALL STREET COMM_ CENTER,270.0,208.0,269.0,210.0,296.0,,,,266.0,,211.0,226.0,,143.0,271.0,208.0,Tallapoosa County,WALL STREET COMM_ CENTER
