county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Tuscaloosa County,ABERNANT BAPTIST,116.0,501.0,93.0,522.0,91.0,,,520.0,100.0,,514.0,56.0,,400.0,144.0,,Tuscaloosa County,ABERNANT BAPTIST
Tuscaloosa County,ABSENTEE,848.0,940.0,767.0,997.0,512.0,,,813.0,709.0,,842.0,474.0,,736.0,776.0,503.0,Tuscaloosa County,ABSENTEE
Tuscaloosa County,ALBERTA BAPTIST,1774.0,543.0,1656.0,645.0,1342.0,,,394.0,1734.0,,311.0,1234.0,,354.0,1793.0,,Tuscaloosa County,ALBERTA BAPTIST
Tuscaloosa County,BELK ACTIVITY CENTER,2616.0,1183.0,2462.0,1324.0,2643.0,,,25.0,2533.0,,794.0,1790.0,,831.0,2658.0,,Tuscaloosa County,BELK ACTIVITY CENTER
Tuscaloosa County,BIG SANDY BAPTIST,1145.0,1142.0,1027.0,1238.0,1009.0,,,1255.0,1029.0,,1237.0,764.0,,762.0,1209.0,,Tuscaloosa County,BIG SANDY BAPTIST
Tuscaloosa County,BOBBY MILLER ACTIVITY,2568.0,2245.0,2342.0,2446.0,2484.0,,,1166.0,2381.0,,2176.0,1618.0,,1522.0,2666.0,,Tuscaloosa County,BOBBY MILLER ACTIVITY
Tuscaloosa County,BUHL VFD STATION,33.0,275.0,20.0,289.0,29.0,,,278.0,26.0,,281.0,10.0,,202.0,20.0,287.0,Tuscaloosa County,BUHL VFD STATION
Tuscaloosa County,CARROLLS CREEK BAPTIST,526.0,1835.0,364.0,1981.0,,,,2036.0,,,2033.0,162.0,,1365.0,337.0,2001.0,Tuscaloosa County,CARROLLS CREEK BAPTIST
Tuscaloosa County,CHAPEL HILL BAPTIST,511.0,1261.0,394.0,1363.0,405.0,,,1339.0,5.0,,1402.0,226.0,,866.0,369.0,1381.0,Tuscaloosa County,CHAPEL HILL BAPTIST
Tuscaloosa County,CHURCH OF THE HIGHLANDS,1599.0,1795.0,1138.0,2211.0,,,,2461.0,1139.0,,2194.0,549.0,,1191.0,1052.0,2285.0,Tuscaloosa County,CHURCH OF THE HIGHLANDS
Tuscaloosa County,COALING TOWN HALL,314.0,924.0,242.0,987.0,244.0,,,973.0,241.0,,992.0,145.0,,674.0,333.0,,Tuscaloosa County,COALING TOWN HALL
Tuscaloosa County,COKER FIRE DEPT,97.0,488.0,68.0,513.0,78.0,,,494.0,68.0,,512.0,37.0,,359.0,61.0,512.0,Tuscaloosa County,COKER FIRE DEPT
Tuscaloosa County,COMMUNITY CHURCH COTTONDALE,498.0,730.0,428.0,787.0,438.0,,,752.0,461.0,,668.0,286.0,,512.0,519.0,,Tuscaloosa County,COMMUNITY CHURCH COTTONDALE
Tuscaloosa County,CORNERSTONE BAPTIST,817.0,65.0,815.0,63.0,831.0,,,0.0,835.0,,0.0,739.0,,35.0,836.0,,Tuscaloosa County,CORNERSTONE BAPTIST
