county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Walker County,ABSENTEE,152.0,413.0,145.0,415.0,,,,449.0,,,450.0,57.0,,258.0,144.0,420.0,Walker County,ABSENTEE
Walker County,ABUNDANT LIFE CHURCH,32.0,176.0,31.0,176.0,,,,181.0,,,184.0,8.0,,86.0,26.0,182.0,Walker County,ABUNDANT LIFE CHURCH
Walker County,ARGO FIRE DEPT,84.0,185.0,73.0,191.0,,,,221.0,,,213.0,29.0,,121.0,64.0,202.0,Walker County,ARGO FIRE DEPT
Walker County,BETHEL ASSEMBLY OF GOD CH,54.0,207.0,39.0,217.0,,,,219.0,,,227.0,21.0,,119.0,39.0,221.0,Walker County,BETHEL ASSEMBLY OF GOD CH
Walker County,BEVILL STATE COMM COLLEGE,204.0,1070.0,163.0,1109.0,,,,1157.0,,,1152.0,69.0,,695.0,148.0,1130.0,Walker County,BEVILL STATE COMM COLLEGE
Walker County,BOLDO COMM CTR,130.0,628.0,86.0,663.0,,,,662.0,,,672.0,27.0,,323.0,85.0,667.0,Walker County,BOLDO COMM CTR
Walker County,CARBON HILL COMM CTR,190.0,471.0,151.0,486.0,,,,525.0,,,528.0,69.0,,265.0,131.0,517.0,Walker County,CARBON HILL COMM CTR
Walker County,COPELAND FERRY CHURCH GOD,39.0,154.0,28.0,165.0,,,,175.0,,,178.0,7.0,,107.0,25.0,168.0,Walker County,COPELAND FERRY CHURCH GOD
Walker County,CORDOVA VFW BLDG,299.0,810.0,233.0,867.0,,,,915.0,,,930.0,105.0,,444.0,235.0,863.0,Walker County,CORDOVA VFW BLDG
Walker County,CORONA BAPTIST,29.0,89.0,17.0,98.0,,,,98.0,,,97.0,4.0,,47.0,13.0,102.0,Walker County,CORONA BAPTIST
Walker County,CROSSROADS CHURCH CHRIST,34.0,224.0,26.0,227.0,,,,229.0,,,228.0,7.0,,94.0,23.0,235.0,Walker County,CROSSROADS CHURCH CHRIST
Walker County,CURRY COMM CTR,166.0,848.0,115.0,884.0,,,,902.0,,,911.0,33.0,,524.0,105.0,895.0,Walker County,CURRY COMM CTR
Walker County,DILWORTH COMM CTR,34.0,203.0,28.0,203.0,,,,211.0,,,208.0,14.0,,137.0,24.0,209.0,Walker County,DILWORTH COMM CTR
Walker County,DORA CIVIC CTR,234.0,644.0,202.0,671.0,,,,709.0,,,707.0,129.0,,432.0,192.0,682.0,Walker County,DORA CIVIC CTR
Walker County,ELDRIDGE CITY HALL,23.0,151.0,14.0,160.0,,,,162.0,,,162.0,4.0,,93.0,9.0,166.0,Walker County,ELDRIDGE CITY HALL
Walker County,EMPIRE UNION BLDG,116.0,476.0,108.0,481.0,,,,515.0,,,515.0,40.0,,281.0,95.0,497.0,Walker County,EMPIRE UNION BLDG
Walker County,FARMSTEAD BAPTIST,348.0,1385.0,233.0,1483.0,,,,1542.0,,,1565.0,63.0,,742.0,216.0,1515.0,Walker County,FARMSTEAD BAPTIST
Walker County,JASPER MALL,428.0,1398.0,297.0,1510.0,,,,1582.0,,,1599.0,108.0,,742.0,283.0,1535.0,Walker County,JASPER MALL
Walker County,KANSAS CITY HALL,36.0,104.0,25.0,110.0,,,,110.0,,,109.0,9.0,,54.0,28.0,113.0,Walker County,KANSAS CITY HALL
Walker County,LIBERTY HILL CHURCH,7.0,52.0,8.0,49.0,,,,53.0,,,53.0,2.0,,24.0,8.0,49.0,Walker County,LIBERTY HILL CHURCH
Walker County,MANCHESTER COMM BLDG,48.0,204.0,31.0,219.0,,,,222.0,,,224.0,10.0,,123.0,35.0,216.0,Walker County,MANCHESTER COMM BLDG
Walker County,MCCOLLUM MIDWAY FIRE/RESCUE,61.0,215.0,36.0,234.0,,,,236.0,,,242.0,12.0,,97.0,33.0,239.0,Walker County,MCCOLLUM MIDWAY FIRE/RESCUE
Walker County,MCCOLLUM NATL GUARD,31.0,156.0,24.0,163.0,,,,167.0,,,168.0,6.0,,71.0,23.0,165.0,Walker County,MCCOLLUM NATL GUARD
Walker County,MEADOWSMITH LIBRARY/FRISCO,422.0,531.0,386.0,557.0,,,,628.0,,,621.0,240.0,,273.0,379.0,574.0,Walker County,MEADOWSMITH LIBRARY/FRISCO
Walker County,MEMORIAL PARK NATATORIUM,218.0,576.0,167.0,611.0,,,,668.0,,,670.0,60.0,,294.0,154.0,633.0,Walker County,MEMORIAL PARK NATATORIUM
Walker County,NAUVOO CITY HALL,98.0,318.0,89.0,320.0,,,,340.0,,,338.0,42.0,,178.0,81.0,335.0,Walker County,NAUVOO CITY HALL
Walker County,NEW BETHANY CHURCH GOD,31.0,167.0,15.0,182.0,,,,177.0,,,180.0,8.0,,106.0,19.0,179.0,Walker County,NEW BETHANY CHURCH GOD
Walker County,NEW HOPE MISSIONARY,85.0,433.0,71.0,444.0,,,,461.0,,,465.0,25.0,,246.0,63.0,455.0,Walker County,NEW HOPE MISSIONARY
Walker County,OAKMAN COMM CTR,194.0,427.0,148.0,460.0,,,,485.0,,,490.0,73.0,,218.0,136.0,478.0,Walker County,OAKMAN COMM CTR
Walker County,OLD HERMAN CHURCH,62.0,309.0,45.0,323.0,,,,329.0,,,337.0,20.0,,169.0,44.0,322.0,Walker County,OLD HERMAN CHURCH
Walker County,PARRISH HIGH SCHOOL GYM,214.0,652.0,187.0,666.0,,,,711.0,,,716.0,95.0,,304.0,177.0,681.0,Walker County,PARRISH HIGH SCHOOL GYM
Walker County,PINEYWOODS FIRE DEPT,74.0,368.0,48.0,392.0,,,,401.0,,,405.0,16.0,,183.0,46.0,394.0,Walker County,PINEYWOODS FIRE DEPT
Walker County,PLEASANTFIELD COMMUNITY,19.0,88.0,16.0,91.0,,,,92.0,,,92.0,6.0,,46.0,17.0,90.0,Walker County,PLEASANTFIELD COMMUNITY
Walker County,POCAHONTAS FREEWILL CHURCH,38.0,151.0,29.0,156.0,,,,163.0,,,162.0,14.0,,76.0,25.0,163.0,Walker County,POCAHONTAS FREEWILL CHURCH
Walker County,PROSPECT METHODIST CHURCH,97.0,416.0,72.0,441.0,,,,444.0,,,454.0,37.0,,238.0,74.0,438.0,Walker County,PROSPECT METHODIST CHURCH
Walker County,PROVISIONAL,14.0,28.0,13.0,28.0,,,,8.0,,,27.0,11.0,,18.0,13.0,28.0,Walker County,PROVISIONAL
Walker County,RICES CHAPEL CHURCH,31.0,116.0,21.0,125.0,,,,129.0,,,129.0,9.0,,73.0,20.0,128.0,Walker County,RICES CHAPEL CHURCH
Walker County,SARAGOSSA COMM CTR,65.0,276.0,52.0,291.0,,,,297.0,,,304.0,14.0,,135.0,51.0,293.0,Walker County,SARAGOSSA COMM CTR
Walker County,SIPSEY COMM CTR,144.0,280.0,130.0,286.0,,,,297.0,,,303.0,80.0,,147.0,120.0,298.0,Walker County,SIPSEY COMM CTR
Walker County,THACH SCHOOL,81.0,349.0,50.0,374.0,,,,382.0,,,385.0,22.0,,206.0,46.0,383.0,Walker County,THACH SCHOOL
Walker County,TOWNLEY COMM CTR,44.0,124.0,34.0,132.0,,,,139.0,,,134.0,15.0,,66.0,28.0,137.0,Walker County,TOWNLEY COMM CTR
Walker County,TOWNLEY VOL FIRE DEPT #2,33.0,128.0,23.0,137.0,,,,148.0,,,147.0,4.0,,78.0,22.0,141.0,Walker County,TOWNLEY VOL FIRE DEPT #2
Walker County,TUTWILER FIRE DEPT,42.0,177.0,29.0,188.0,,,,190.0,,,195.0,15.0,,125.0,34.0,185.0,Walker County,TUTWILER FIRE DEPT
Walker County,TWILLEY TOWN CHURCH,136.0,261.0,127.0,266.0,,,,277.0,,,282.0,89.0,,159.0,120.0,272.0,Walker County,TWILLEY TOWN CHURCH
Walker County,UNION CHAPEL COMM CTR,156.0,709.0,118.0,736.0,,,,765.0,,,773.0,35.0,,389.0,110.0,746.0,Walker County,UNION CHAPEL COMM CTR
Walker County,UNION HALL GOODSPRINGS,73.0,272.0,45.0,294.0,,,,311.0,,,316.0,17.0,,144.0,41.0,303.0,Walker County,UNION HALL GOODSPRINGS
Walker County,WESTSIDE BAPTIST,318.0,252.0,314.0,243.0,,,,301.0,,,296.0,221.0,,130.0,307.0,253.0,Walker County,WESTSIDE BAPTIST
