county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Washington County,ABSENTEE,57.0,198.0,56.0,190.0,110.0,,,141.0,,,191.0,39.0,,60.0,58.0,194.0,Washington County,ABSENTEE
Washington County,CHARITY CHAPEL FIRE HOUSE,19.0,141.0,20.0,134.0,20.0,,,141.0,,,132.0,8.0,,70.0,14.0,140.0,Washington County,CHARITY CHAPEL FIRE HOUSE
Washington County,CHATOM COURTHOUSE,165.0,470.0,151.0,468.0,320.0,,,318.0,,,463.0,95.0,,92.0,141.0,492.0,Washington County,CHATOM COURTHOUSE
Washington County,COPELAND ASSEMBLY OF GOD,12.0,229.0,9.0,223.0,60.0,,,183.0,,,206.0,2.0,,86.0,7.0,231.0,Washington County,COPELAND ASSEMBLY OF GOD
Washington County,DEER PARK FIRE HOUSE,179.0,311.0,173.0,314.0,164.0,,,323.0,,,325.0,137.0,,105.0,159.0,332.0,Washington County,DEER PARK FIRE HOUSE
Washington County,FAIRFORD FIRE HOUSE,89.0,179.0,83.0,171.0,91.0,,,174.0,,,182.0,46.0,,62.0,87.0,175.0,Washington County,FAIRFORD FIRE HOUSE
Washington County,FRANKVILLE FIRE HOUSE,94.0,186.0,95.0,178.0,121.0,,,155.0,,,178.0,77.0,,67.0,91.0,183.0,Washington County,FRANKVILLE FIRE HOUSE
Washington County,FRUITDALE FIRE HOUSE,77.0,296.0,61.0,297.0,92.0,,,285.0,,,291.0,35.0,,84.0,62.0,299.0,Washington County,FRUITDALE FIRE HOUSE
Washington County,HOBSON FIRE HOUSE,19.0,165.0,9.0,167.0,68.0,,,115.0,,,156.0,4.0,,50.0,11.0,173.0,Washington County,HOBSON FIRE HOUSE
Washington County,LATON HILL FIRE HOUSE,21.0,197.0,14.0,198.0,42.0,,,176.0,,,189.0,9.0,,85.0,13.0,202.0,Washington County,LATON HILL FIRE HOUSE
Washington County,LEROY FIRE HOUSE,156.0,329.0,139.0,345.0,222.0,,,265.0,,,336.0,104.0,,104.0,141.0,344.0,Washington County,LEROY FIRE HOUSE
Washington County,MALCOM CENTER,146.0,78.0,142.0,77.0,146.0,,,77.0,,,86.0,105.0,,48.0,143.0,79.0,Washington County,MALCOM CENTER
Washington County,MILLRY FIRE HOUSE,185.0,372.0,174.0,371.0,277.0,,,278.0,,,353.0,130.0,,133.0,183.0,367.0,Washington County,MILLRY FIRE HOUSE
Washington County,MOWA CHOCTAW COMM_ CTR_,216.0,254.0,207.0,251.0,184.0,,,286.0,,,298.0,104.0,,113.0,210.0,253.0,Washington County,MOWA CHOCTAW COMM_ CTR_
Washington County,McINTOSH COMMUNITY,336.0,62.0,344.0,54.0,334.0,,,64.0,,,78.0,186.0,,17.0,346.0,49.0,Washington County,McINTOSH COMMUNITY
Washington County,PROVISIONAL,4.0,5.0,4.0,5.0,2.0,,,7.0,,,6.0,0.0,,0.0,4.0,5.0,Washington County,PROVISIONAL
Washington County,RED CREEK FIRE HOUSE,20.0,262.0,12.0,257.0,40.0,,,242.0,,,246.0,2.0,,126.0,10.0,261.0,Washington County,RED CREEK FIRE HOUSE
Washington County,ST_ STEPHENS FIRE HOUSE,94.0,209.0,93.0,208.0,131.0,,,172.0,,,205.0,74.0,,63.0,92.0,207.0,Washington County,ST_ STEPHENS FIRE HOUSE
Washington County,TIBBIE FIRE HOUSE,74.0,285.0,44.0,300.0,77.0,,,284.0,,,296.0,15.0,,82.0,38.0,310.0,Washington County,TIBBIE FIRE HOUSE
Washington County,WAGARVILLE FIRE HOUSE,144.0,295.0,139.0,289.0,193.0,,,243.0,,,302.0,97.0,,98.0,137.0,294.0,Washington County,WAGARVILLE FIRE HOUSE
Washington County,YARBO FIRE HOUSE,65.0,206.0,62.0,201.0,102.0,,,172.0,,,195.0,39.0,,64.0,57.0,212.0,Washington County,YARBO FIRE HOUSE
