county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Wilcox County,ABSENTEE,189.0,85.0,192.0,77.0,200.0,,,,189.0,49.0,,172.0,,31.0,204.0,,Wilcox County,ABSENTEE
Wilcox County,ARLINGTON COMM CTR,87.0,52.0,90.0,48.0,91.0,,,,90.0,36.0,,78.0,,21.0,96.0,,Wilcox County,ARLINGTON COMM CTR
Wilcox County,CALDONIA,47.0,15.0,48.0,12.0,48.0,,,,49.0,10.0,,43.0,,3.0,50.0,,Wilcox County,CALDONIA
Wilcox County,CLIFTON VOC_ BLDG DIST 4,78.0,6.0,78.0,3.0,78.0,,,,78.0,3.0,,76.0,,0.0,79.0,,Wilcox County,CLIFTON VOC_ BLDG DIST 4
Wilcox County,COY PUBLIC SCH HOUSE,133.0,43.0,143.0,31.0,148.0,,,,146.0,15.0,,126.0,,14.0,155.0,,Wilcox County,COY PUBLIC SCH HOUSE
Wilcox County,FAITH FELLOWSHIP,244.0,13.0,252.0,5.0,252.0,,,,250.0,6.0,,243.0,,2.0,253.0,,Wilcox County,FAITH FELLOWSHIP
Wilcox County,FURMAN TATES CHAPEL DIST 1,22.0,2.0,21.0,2.0,20.0,,,,21.0,2.0,,16.0,,0.0,22.0,,Wilcox County,FURMAN TATES CHAPEL DIST 1
Wilcox County,FURMAN TATES CHAPEL DIST 2,31.0,16.0,31.0,16.0,31.0,,,,32.0,12.0,,28.0,,4.0,31.0,,Wilcox County,FURMAN TATES CHAPEL DIST 2
Wilcox County,GEE'S BEND FERRY TERMINAL,162.0,15.0,167.0,10.0,171.0,,,,169.0,4.0,,163.0,,5.0,173.0,,Wilcox County,GEE'S BEND FERRY TERMINAL
Wilcox County,HOLY CROSS DIST 3,349.0,30.0,353.0,18.0,357.0,,,,353.0,14.0,,316.0,,10.0,358.0,,Wilcox County,HOLY CROSS DIST 3
Wilcox County,HOLY CROSS DIST 5,6.0,17.0,7.0,15.0,9.0,,,,6.0,12.0,,5.0,,8.0,9.0,,Wilcox County,HOLY CROSS DIST 5
Wilcox County,HWY 10/28 DIST 1,120.0,42.0,128.0,24.0,127.0,,,,132.0,12.0,,104.0,,17.0,135.0,,Wilcox County,HWY 10/28 DIST 1
Wilcox County,HWY 10/28 DIST 2,41.0,41.0,43.0,39.0,46.0,,,,42.0,24.0,,39.0,,17.0,48.0,,Wilcox County,HWY 10/28 DIST 2
Wilcox County,LOWER PEACHTREE DIST 5,88.0,6.0,95.0,0.0,94.0,,,,94.0,1.0,,87.0,,0.0,95.0,,Wilcox County,LOWER PEACHTREE DIST 5
Wilcox County,LOWER PEACHTREE DIST 6,64.0,1.0,63.0,1.0,62.0,,,,64.0,0.0,,60.0,,1.0,64.0,,Wilcox County,LOWER PEACHTREE DIST 6
Wilcox County,MILLER FERRY RIVERVIEW CH,18.0,122.0,18.0,120.0,28.0,,,,16.0,84.0,,12.0,,69.0,29.0,,Wilcox County,MILLER FERRY RIVERVIEW CH
