county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Winston County,ABSENTEE,41.0,221.0,40.0,221.0,4.0,,,216.0,,,223.0,21.0,,173.0,38.0,223.0,Winston County,ABSENTEE
Winston County,ADDISON COMMUNITY CTR_,77.0,598.0,62.0,610.0,,,,620.0,,,618.0,36.0,,486.0,54.0,619.0,Winston County,ADDISON COMMUNITY CTR_
Winston County,ARLEY FIRE DEPT_,169.0,859.0,110.0,914.0,,,,929.0,,,925.0,52.0,,661.0,107.0,919.0,Winston County,ARLEY FIRE DEPT_
Winston County,ASHRIDGE FIRE DEPT,52.0,405.0,38.0,420.0,,,,427.0,,,424.0,17.0,,317.0,30.0,427.0,Winston County,ASHRIDGE FIRE DEPT
Winston County,BLACK POND FIRE DEPT_,44.0,267.0,35.0,272.0,,,,274.0,,,276.0,21.0,,194.0,37.0,273.0,Winston County,BLACK POND FIRE DEPT_
Winston County,DELMAR FIRE DEPT_,15.0,133.0,18.0,130.0,,,,134.0,,,131.0,12.0,,77.0,22.0,125.0,Winston County,DELMAR FIRE DEPT_
Winston County,DOUBLE SPRINGS MUN_ BLDG_,157.0,730.0,116.0,771.0,,,,767.0,,,769.0,59.0,,515.0,124.0,763.0,Winston County,DOUBLE SPRINGS MUN_ BLDG_
Winston County,HALEYVILLE SENIOR CENTER,140.0,984.0,107.0,1017.0,120.0,,,1003.0,,,1028.0,40.0,,710.0,101.0,1021.0,Winston County,HALEYVILLE SENIOR CENTER
Winston County,HELICON FIRE DEPT_,45.0,318.0,44.0,320.0,,,,330.0,,,332.0,17.0,,251.0,38.0,326.0,Winston County,HELICON FIRE DEPT_
Winston County,HOUSTON FIRE DEPT_,76.0,307.0,64.0,315.0,,,,327.0,,,322.0,37.0,,237.0,57.0,325.0,Winston County,HOUSTON FIRE DEPT_
Winston County,LYNN CITY HALL,63.0,423.0,48.0,441.0,,,,442.0,,,439.0,23.0,,336.0,49.0,439.0,Winston County,LYNN CITY HALL
Winston County,MORELAND FIRE DEPT,11.0,121.0,6.0,126.0,,,,123.0,,,119.0,4.0,,96.0,7.0,124.0,Winston County,MORELAND FIRE DEPT
Winston County,NATURAL BRIDGE CITY HALL,9.0,71.0,6.0,74.0,,,,69.0,,,73.0,6.0,,59.0,8.0,72.0,Winston County,NATURAL BRIDGE CITY HALL
Winston County,NEIGHBORHOOD FCLTY,93.0,421.0,79.0,431.0,20.0,,,433.0,,,443.0,37.0,,307.0,73.0,437.0,Winston County,NEIGHBORHOOD FCLTY
Winston County,NESMITH COMM_ CENTER,13.0,128.0,7.0,130.0,,,,131.0,,,129.0,5.0,,100.0,8.0,131.0,Winston County,NESMITH COMM_ CENTER
Winston County,OLD UNION CHURCH,4.0,60.0,5.0,59.0,,,,60.0,,,60.0,2.0,,44.0,4.0,60.0,Winston County,OLD UNION CHURCH
Winston County,PEBBLE FIRE HOUSE,18.0,150.0,11.0,156.0,15.0,,,151.0,,,149.0,9.0,,106.0,16.0,154.0,Winston County,PEBBLE FIRE HOUSE
Winston County,PROVISIONAL,2.0,11.0,2.0,10.0,2.0,,,8.0,,,9.0,1.0,,7.0,3.0,10.0,Winston County,PROVISIONAL
Winston County,UPSHAW FIRE DEPT,35.0,132.0,28.0,138.0,,,,142.0,,,139.0,16.0,,110.0,24.0,143.0,Winston County,UPSHAW FIRE DEPT
Winston County,WALDROP FREEWILL BAPTIST,38.0,241.0,28.0,247.0,8.0,,,241.0,,,241.0,15.0,,175.0,29.0,245.0,Winston County,WALDROP FREEWILL BAPTIST
